rank	username	minecraft:mined/minecraft:birch_log
138	MyNamaSheff	614
140	jnp_gaming	603
141	PizzaJake	600
142	cheerytomato	595
143	lcvezra	593
144	Tommhh	591
145	MilleGrug	581
146	djancak	579
147	xxPipperDipperxx	576
148	SkyHighSkier	574
149	Jimi7hits	567
150	Swalt	561
151	The_slideV3	560
152	T045RTY	549
152	purpolepickle	549
154	set67	548
154	Inbefour	548
156	CattSoup	538
157	TheThomas69	534
158	Russiancat1	531
159	Onennon	528
160	Rebytre	526
161	Blu3beast	521
162	Groovy_MoonBird	510
162	MelodyGaysharks	510
164	TechnoNinja64	509
165	Sabby65	505
165	walll	505
167	calamariclam_I	503
168	SyntheticSurgeon	501
169	301851	495
169	seramalen	495
171	YinToYin	494
172	SoftSix	492
173	TheSeismicDuck	484
174	grislgrobl	482
175	Nicky_H225	471
176	Felenov	466
177	WyngGoy	462
178	Fuad_R	459
179	Soplight	458
179	Skippeh	458
181	NatalieTW	455
181	Austinizzle	455
183	ItzYaBoiPicard	450
183	burbankbuilder28	450
183	ConnorDanky_	450
186	TheDankPlatypus	448
187	Vorlice	444
188	crying_wolf_13	443
188	UrbanPlanningEx	443
190	KlausVonStiglitz	442
190	Blaiku	442
192	Iagoku	438
193	stellarjay	429
194	shineh10	426
194	Katsuragi0243218	426
196	00000000-0000-0000-0009-01ff0c3e5e4f	425
197	33sudo	424
198	DanTheBuilderino	421
199	Bumpy419	420
200	KeruNatsema	409
201	lillips	406
202	Marbz_	402
202	PuFY	402
204	MissCeleste7	399
205	ReflexCode	394
206	6king6colt6	393
207	NameGenerat0r	392
207	MAns_44	392
209	The11thDoctor	390
210	12Magner05	387
210	stuy9	387
210	jaimshae	387
213	NinjaKnifeKill	383
214	SvenskaSara	382
215	brycepants	381
215	UCP_TheKingK	381
217	xPixelRainx	379
218	Optiprimus	378
219	F_Uhre	376
219	audiocracked	376
221	ProfessorDiaper	375
221	LeEricc	375
223	InfernalMound	373
224	pixelviolin	371
225	M_Patata	369
225	Drewen24	369
225	MasterNueve	369
228	SPUDonSTEROIDS	367
229	Sheldor097	366
230	zToasty69z	364
231	oreee	363
231	ADEXTV	363
231	TheEnderMan548	363
234	PegLegPete93	354
234	MangoTheFish	354
234	AlphaWolfPlaysMC	354
237	The_Quack_Dealer	350
238	NotMeanttoChange	348
238	Typadopoulos	348
240	xolstoi	345
241	DubDoesGams	343
241	E775	343
243	Lez_	342
243	Meatlaugh	342
243	UltraZombie	342
246	wobn	338
247	BobDeBouwer1337	332
248	Gamergirl420628	331
248	Arceus1975	331
250	BreadBacon	328
251	Wooptey	325
251	SDMNAEK	325
253	ROY4LE	318
254	wwwwinnebagoooo	315
255	h2p_emrld	309
256	LilLizardWizard	308
257	Teebone15	304
258	binman420	302
259	smarticuno	295
260	07shiny	293
261	ougstur	291
261	DarlaMeow	291
263	CollinMH06	289
264	q_wq	287
265	hcb238	286
266	Tyrannosplart	282
267	Shin69	278
267	SammiWolfGirl	278
269	WeebleSock	276
270	SvenskaHugo	274
271	Stiar	270
271	NYJ	270
273	Foof13	268
274	hollowww	264
274	Cocoamallows	264
276	Hormones	263
277	ediballbearings	262
277	non089	262
279	Kubeusz2010	258
280	RyuNeko932000	256
280	PabloGonza02	256
282	jacxhadow	255
283	Kynigito	254
284	ratglock	251
284	Quincannon	251
286	fkGrim	247
287	surfinggiraffejp	245
288	bigstankyy	243
288	stavgod	243
290	Winklepicker279	242
291	Ravenbie	241
292	YahooScreen9000	240
292	RadarHz	240
294	MyNameIsDakar	238
295	Bolete	237
295	GlitchyPlate810	237
295	Jordan_R	237
298	coobert42	234
299	kars0n	232
300	natajimi	231
