rank	username	minecraft:mined/minecraft:birch_stairs
115	XboxPanda	17
115	RodSerlingCringe	17
118	MrBeesMan	16
118	picardred	16
118	CollinMH06	16
118	07shiny	16
118	jcool7	16
123	Mariopreeet	15
123	Inchef	15
123	thewindmillman	15
123	Groundler	15
123	SingedBread	15
123	stahouo	15
123	SammiWolfGirl	15
130	IWorkAtIkea	14
130	Myhym	14
130	560cool	14
133	yulgur1	13
133	Kubeusz2010	13
135	MangoTheFish	12
135	YahooScreen9000	12
135	Akoot_	12
135	TheTrueClipse	12
135	420BreadLizard	12
135	fkGrim	12
135	fluddd	12
135	stavgod	12
135	SvenskaHugo	12
135	potatocan	12
135	diggydog67	12
146	bigstankyy	11
146	Nostrom	11
146	CaptainSteve345	11
146	DC_XII	11
146	YungMaki	11
146	stellarjay	11
146	PortlyPete69	11
153	MinttyFressh	10
153	funnyblitz123	10
153	Werbe	10
153	AssEatrAndLicker	10
153	Spacewardharpy7	10
158	thescout7	9
158	NameGenerat0r	9
158	DukBob	9
158	GravitySaint	9
158	NebulousBadger	9
163	The_Great_Jake	8
163	NibPicker	8
163	Malorn_Aetherius	8
163	AnnieBathory	8
163	Zielo2017PL	8
163	KeruNatsema	8
163	PuFY	8
163	Drewen24	8
163	LetsDoItLive	8
163	BlankityMcBlank	8
173	Iagoku	7
173	Kkanot	7
173	FlashMigma	7
173	El_Jalapeno	7
173	561cool	7
178	Sleek_Storm_721	6
178	jimbo61101jr	6
178	dopplexd	6
178	Motsaro	6
178	Kubelz	6
178	AJplaysMC_	6
178	epiksk8erduck	6
178	Nagasaki_Riku	6
186	cowgirlkasia	5
186	NoraTheYandere	5
186	himak1	5
186	CharlieButt	5
186	burbankbuilder28	5
186	Blamphe	5
186	DarlaMeow	5
193	BlancoFlaco	4
193	awesomeoneme	4
193	CompoundMedic	4
193	crying_wolf_13	4
193	LotusProject	4
193	loveseeker	4
193	Di_infiri	4
193	Hyp3rion_	4
193	fred870d	4
193	tyraxxx	4
193	Lord_Jord	4
193	privatemeekly	4
193	JESS_THE_RERE	4
193	Matorz	4
193	SUN_DREAM	4
193	monky_irl	4
193	radioactv_jelly	4
193	ReyTheLegend	4
193	EcksD	4
193	AltnumberF4	4
193	Enderslayerxz3	4
193	Sral7	4
215	hollowww	3
215	Tommhh	3
215	Historical_Sand	3
215	Swalt	3
215	Atroxes	3
215	ccormacs	3
215	Zedducius	3
215	CarltheCuck	3
215	ChillenChiggen	3
215	Hiryu27	3
215	wrinkledpiglet	3
215	_bruhhhhh	3
215	brycepants	3
215	HellsSponge	3
215	Blaiku	3
215	Jij0	3
215	Winston_Ingram	3
215	RoboTramp7865	3
215	PlasticOtari	3
234	Tobinator_007	2
234	Mr_Byzantine	2
234	HollieDaNugget	2
234	jimintyy	2
234	Otto_chan	2
234	TheSecondLord	2
234	ashetrays	2
234	BilboBaggins23	2
234	paranoid_plant	2
234	intropass	2
234	noam464	2
234	RustyKedel	2
234	Bazongoman	2
234	_Buffo	2
234	pappaberg	2
234	regulator75	2
234	Bumpy419	2
234	MustardDrinker	2
234	RobotMinion101	2
234	Kynigito	2
234	thgrocks	2
234	lizardfightclub	2
234	Gryglu583	2
234	Quinasin	2
234	Fuhrer_Teemo	2
234	KermitTheKripple	2
234	BumbleBeever	2
234	voiding_	2
234	bloomkieren	2
234	_Yonk_	2
234	Vellu21	2
234	JasmineGK	2
234	kinas45y5	2
267	Groovy_MoonBird	1
267	Jalvajar	1
267	Cowison	1
267	teslawolf38	1
267	SaucyDark	1
267	eitanzaki	1
267	Jackster03	1
267	joethahobo	1
267	FirsTimeGamingTV	1
267	Rich_Kat	1
267	Covalents	1
267	Zaridey	1
267	BlueZabu	1
267	Giannism	1
267	__Fanda__	1
267	Chromary	1
267	yaboo88	1
267	andy_rex	1
267	AlexStrange	1
267	N7November	1
267	doctoruwot	1
267	StormPool	1
267	jewbacaman	1
267	wezzzi	1
267	RoyalDorrr	1
267	ElderRifken	1
267	proxivitoid	1
267	claivin	1
267	MAns_44	1
267	Kijiki	1
267	_TCARREIRA_	1
267	SpicyDuckMan	1
267	DennyKai	1
267	_3Stump_	1
