rank	username	minecraft:mined/minecraft:birch_leaves
105	Lez_	321
106	xxPipperDipperxx	318
106	killmeiamtraitor	318
108	noam464	317
109	tompup	315
110	parodypatient	313
111	PizzaJake	312
111	_Karmaa	312
113	RoofTyler	311
114	Eraxa	304
115	Wowful	303
116	Nycteus_	302
117	hanaryheatwave	296
118	CarltheCuck	293
119	Kijiki	289
120	Optiprimus	288
121	sp00ky_ghost977	285
122	nattybears	282
122	Chazama	282
124	brycepants	280
125	DSYisDizzy	278
126	InfernalMound	273
126	zToasty69z	273
128	swag_bro2004	269
129	Bumpy419	266
130	NameGenerat0r	260
131	boog4loo	254
131	Inbefour	254
133	titanlax	253
133	SlayerCrypto	253
135	_Cloverbelle_	250
135	GoofySilly	250
135	xzvu	250
135	lcvezra	250
139	Malorn_Aetherius	248
140	ARandomHedge	239
141	Frozil20	238
142	tuckerdoodle	237
143	Kryktal	236
144	Lord_Jord	234
144	monky_irl	234
146	lorpus	230
147	MelodyGaysharks	227
148	jaimshae	226
149	_Nuf	224
149	luseis	224
149	Groundler	224
149	Kubeusz2010	224
153	bloodbiter	221
154	ZeroAbyssTTV	219
154	Jonafrog99	219
156	Hormones	215
156	CarryLine	215
158	ZaneABrain	211
159	Deguns123	210
160	Awyrlas	209
161	nocturne78	208
162	PigDab	206
162	NoChumpChange	206
164	AlazelTheReal	205
165	SvenskaSara	204
166	diggydog67	201
167	Hiryu27	194
168	Powowowow	192
169	Simon_Lowell	191
169	12Magner05	191
171	heckface	189
172	ADEXTV	188
173	Syropatathe	184
174	ThePoliteG	182
175	Rebytre	180
176	_Dean_123	179
177	NomadicRobin_	177
178	Racengan	174
178	BumbleBeever	174
180	Crasswolf	171
180	Blaiku	171
182	Steelynan	169
183	ooga47	168
184	rarrq	167
185	SuperPooch06	166
185	Katthaj	166
187	dendydoom	163
188	Vellu21	161
189	cheerytomato	160
189	burbankbuilder28	160
189	MightyWertu	160
189	CACTUSLAD	160
193	ProfessorBee	154
193	ConnorDanky_	154
195	BioKing99	153
196	RadarHz	152
197	FishyBoy3811	151
198	Blu3beast	150
199	AdvertisingMerc	148
200	I_Am_Mushkin	147
201	WyngGoy	146
202	Lukeee33	144
203	FelixPSY375	143
204	TheHarryMeister	142
204	xolstoi	142
206	eviltunix	140
206	The_Quack_Dealer	140
208	MinuteMira	137
209	CliffEmAll	136
210	hcb238	135
210	MyNameIsJobo	135
210	Fuhrer_Teemo	135
213	Ithaca19	134
214	Human_Resource	133
215	Muffindrake	132
216	TheSecondLord	131
216	Russiancat1	131
216	_AAZAR	131
219	TinMaster	128
220	ese_wn_po	127
220	anbbang	127
222	Inchef	125
222	ReflexCode	125
224	SammiWolfGirl	124
225	SoftSix	122
225	__Fanda__	122
227	DarkFisto	121
228	PegLegPete93	120
228	BlueZabu	120
230	Elastiq	119
231	No_Bena	118
231	CharlieButt	118
231	Onennon	118
234	LeDuctTape	117
234	picardred	117
234	SHAOBADMAN	117
234	AlexxO_o	117
238	_stets	116
238	thescout7	116
238	Leyna3	116
238	EngagedGrub41	116
242	eclipseboi	115
243	DermeinUser	114
243	jnp_gaming	114
245	oreee	113
245	SPUDonSTEROIDS	113
245	07shiny	113
248	CompoundMedic	112
249	yulgur1	111
250	Whiterooster001	110
250	KlausVonStiglitz	110
252	Jij0	108
253	TheEnderMan548	107
254	wobn	106
255	Groovy_MoonBird	105
255	FroggoTheDoggo	105
257	Typadopoulos	104
257	NebulousBadger	104
259	crying_wolf_13	103
260	Stiar	102
261	NatalieTW	100
261	T045RTY	100
263	Barlycorn	98
264	AJplaysMC_	97
265	Windo_licker	96
265	wrinkledpiglet	96
265	Suraidu	96
268	soundad	95
269	PhantomsGhost_	94
269	shdesolt	94
269	CattSoup	94
272	Paint	93
272	jacxhadow	93
272	Luigipunch989	93
275	AlexStrange	92
275	SSytex_X	92
277	ApophisNova	91
277	MyNamaSheff	91
279	ssleepless	90
279	Base_Tempest	90
279	eiC_	90
282	Yirtle	88
282	MineMaster0012	88
282	00000000-0000-0000-0009-01ff0c3e5e4f	88
285	Felenov	86
285	Tristankill	86
287	DinoDoctor_	85
287	Corbsman	85
289	Foof13	84
289	platinumzero	84
289	Kaziglubey	84
292	CarsonDoesMine	83
292	Huwulling	83
292	CalebDHawk	83
295	Deliriohm	82
296	Franco093	81
296	MissCeleste7	81
298	TheBiggestFeller	80
299	MrKrabOnCoke	79
299	Xalithia	79
