rank	username	minecraft:mined/minecraft:diorite
272	nataliecool	1632
272	lizardfightclub	1632
274	Cyntrical	1623
275	Sheldor097	1603
276	FirsTimeGamingTV	1592
277	RyuNeko932000	1573
278	ayamefag	1571
279	TheOuterCore	1564
280	Bandito_Roamer	1555
281	BronkerBrum	1544
282	djancak	1531
283	2blox	1521
284	selectrix	1514
285	emrekn	1507
286	fkGrim	1491
287	IAmTheWalrus910	1488
288	DemTechAlpha	1467
289	Wooptey	1465
289	Typadopoulos	1465
291	SellyZ	1436
292	TheDumbHuman	1435
293	Tolhart	1431
294	kinas45y5	1421
295	Fildyr	1389
296	Russiancat1	1377
297	Sabby65	1370
298	cog	1369
299	little_dUki	1364
300	Quaintster	1362
