rank	username	minecraft:mined/minecraft:ancient_debris
216	Swexti	13
216	Chickenchaser2	13
216	whoaluv	13
216	Arceus1975	13
216	ogoa	13
216	_Karmaa	13
216	YoshikageBites	13
223	CliffEmAll	12
223	YungJakobo	12
223	Solar_Power	12
223	Steven1282598	12
223	Nagasaki_Riku	12
223	Skippeh	12
229	MangoTheFish	11
229	coobert42	11
231	Da_Boss_Rani	10
231	mimbo1211	10
231	pumpfonzo	10
231	Mattesco	10
231	AlexxO_o	10
231	DemTechAlpha	10
231	MAns_44	10
231	ProfessorDiaper	10
231	hdtpm	10
240	Flores991	9
240	Boboczus	9
240	Scathra	9
240	Awyrlas	9
240	mexicancharlie	9
240	Agent108	9
240	AssFullaCum	9
240	stahouo	9
240	CalebDHawk	9
249	Paint	8
249	xo_Marren_xo	8
249	MyNameIsDakar	8
249	NameGenerat0r	8
249	UCP_TheKingK	8
249	Sheldor097	8
249	WYFYoyo	8
256	XboxPanda	7
256	FishyBoy3811	7
256	NotMeowMix	7
256	brofrickcheaters	7
256	striker90333	7
261	Myrlewen	6
261	cwartzo	6
261	HAIRYCLOUD626	6
261	GlitchMixed	6
265	Historical_Sand	5
265	ratglock	5
265	Keith_Stark	5
265	Hail_the_wombat	5
269	strongman951753	4
269	teslawolf38	4
269	EMC_	4
269	C0by3llis	4
269	KGTV	4
269	mariominejedi	4
269	Rocco_Lane	4
269	Maenara	4
269	cichy096	4
278	BobDeBouwer1337	3
278	noodlepack	3
278	Z3braYTIL	3
278	burbankbuilder28	3
278	lizardfightclub	3
278	gustarbite	3
278	ConJaBz	3
278	ItsDeltaMC	3
278	SirBreadward	3
287	MixerDixer	2
287	ccwildfire1	2
287	xxPipperDipperxx	2
287	WET_WET_WET	2
287	GreedyFern8581	2
287	wwwwinnebagoooo	2
293	chimpmunker	1
293	Incinere	1
293	NatrixxddxYT	1
293	tramizu	1
293	Blackberry1310	1
293	_Dean_123	1
293	Masssonnn	1
293	paranoid_plant	1
