rank	username	minecraft:mined/minecraft:oak_planks
93	Blazebit	596
93	oscminus	596
95	Quotary	595
96	Lord_Jord	591
97	Manaateee	589
98	Ezekson	588
99	parodypatient	585
100	Deathkob	581
101	Natty	578
102	excelsionprime	577
102	Zoeyfortnite	577
104	Gingayy	576
105	MattieHD	565
106	q_wq	557
106	Whiterooster001	557
108	claivin	544
109	TheEnderMan548	539
110	CoffeeNoir	537
111	SpacesickPrism	533
112	emrekn	529
113	fkGrim	524
114	kekhon	512
115	Luigipunch989	502
116	Inbefour	499
117	KingMatthew506	498
118	2Stout	496
119	Akoot_	494
120	MirielThePastor	493
121	Smashic	490
122	MovingFish7	485
123	Tyrannosplart	480
124	MissCeleste7	478
125	6king6colt6	475
126	thewindmillman	468
126	StinkyDiplomat	468
128	ElderRifken	467
129	ShedJr_	456
130	non089	449
131	Alteriity	447
132	hanaryheatwave	445
133	Myntsys	440
134	NarwhalTaco	436
135	KarlKaek	433
136	SammiWolfGirl	431
137	bloodbiter	429
137	Spacewardharpy7	429
139	catandmoose	425
140	CollinMH06	424
141	SkateboardR6	423
142	Groovy_MoonBird	418
143	The11thDoctor	416
144	OreTheBear	407
145	I_Am_Mushkin	404
146	MoistMicrowave	402
147	PegLegPete93	400
148	Xclax101	398
149	TableTim	394
150	diggydog67	392
151	lizardfightclub	389
152	DrGrant	386
152	jnp_gaming	386
154	Barlycorn	381
155	himak1	369
155	masskedman	369
157	Ev0luti0nz	362
157	T045RTY	362
157	Malorn_Aetherius	362
157	Soap_Bender	362
161	Sorry_Arey	358
162	Fullut	356
163	_Virify_	354
163	sp00ky_ghost977	354
165	wrinkledpiglet	353
165	FormulaNewt3627	353
167	The_Cruncy	346
168	jcool7	345
168	Hermanni__	345
170	noam464	339
171	NYJ	337
171	Spenduh	337
173	BPTY4618	336
173	IAmTheWalrus910	336
175	toj__	328
176	Stiar	326
176	SvenskaHugo	326
178	Jiminbub	325
179	Azmodan_246	323
179	Lutres_	323
181	heckface	320
182	Kakolbus	319
182	jewbacaman	319
184	Eczbek	317
184	xolstoi	317
186	Archsam	316
187	LeauVox4921	315
188	Merv__	314
189	DarkFisto	313
190	QueenShuvi	311
190	GeromeMerris	311
190	anbbang	311
193	Hiryu27	309
194	Huwulling	307
195	Cocoamallows	304
196	Ozixar	303
197	yatsuta	302
198	Prodiginus	300
198	mihimihimihi	300
200	ProfessorDiaper	298
201	__tomato	296
202	FishyBoy3811	294
203	Warlord324	292
204	Logain42	289
205	FishisTTV	288
206	TechnoNinja64	286
206	MadmanRaven	286
208	Samificator	285
209	NoChumpChange	282
210	Zaridey	279
211	benediktine1	278
212	Nekomin0	277
213	Cowison	276
213	Soplight	276
215	nattybears	274
216	Dakar_	273
216	OrewaSora	273
218	queenalina123	272
218	00000000-0000-0000-0009-01fc3bb26159	272
220	k_ce	271
220	301851	271
220	KliBeast21	271
223	Calbo_	270
224	Yatitay	269
225	j5ylim	268
225	PeteO1995	268
227	lotarp	265
228	teslawolf38	264
228	Franco093	264
228	purpolepickle	264
228	Steve897	264
232	Robby_Cream	261
233	ImpavidArcher	260
233	Eraxa	260
233	Skippeh	260
236	Matek_	257
237	sufjanlover	255
238	Blu3beast	252
239	Frozil20	251
239	_k2x	251
241	slkiey	248
241	Hyp3rion_	248
243	stuy9	247
243	Groundler	247
245	epiksk8erduck	246
245	PlzNoBM	246
247	ROY4LE	245
247	RobotMinion101	245
249	YairZaki	244
249	ItsHydroMC	244
249	Wowful	244
252	LeonelSalamanca	242
253	Rasmanden	241
254	RadarHz	239
255	youhjjhhhjj	238
255	Freedrik	238
257	weezygator	235
258	seanitoo	233
259	Raspberry_Sodas	232
259	TheRoboSock	232
261	fluddd	228
262	Lord_Zacler	226
262	XxCookiequeenxX	226
264	Iagoku	224
264	CarryLine	224
266	bigstankyy	222
266	PortlyPete69	222
268	fffMike	221
269	BobDeBouwer1337	219
270	DanTheBuilderino	218
271	Upstro10	214
271	Dan_Scha	214
271	Decaying_Lotus	214
274	bloomkieren	212
275	OffWithTheirHead	211
276	Jovaphobic	209
277	Incinere	208
278	Megarboh	206
279	BlancoFlaco	205
279	Fuhrer_Teemo	205
281	Bandito_Roamer	203
282	Kubeusz2010	202
283	Flores991	201
283	Meatlaugh	201
285	DeeDeeThonk	199
285	aldplaysmc	199
287	Werbe	198
287	tompup	198
289	DermeinUser	197
289	Dabatha	197
291	Gryglu583	196
292	_Bguette_	195
293	OfficerAnvil	194
294	DanielMmm	193
295	Jackster03	190
296	JMK208	189
296	SvenskaSara	189
298	Nicserso	188
299	lorpus	186
299	lillips	186
