rank	username	minecraft:mined/minecraft:packed_ice
248	RobotMinion101	285
249	excelsionprime	282
250	Barlycorn	280
251	Saucepeh	269
252	SaucyDark	263
253	Alteriity	262
254	JayToe	247
255	_Boipl_	242
256	wickedword	240
257	WyngGoy	238
258	KingMatthew506	237
259	wwwwinnebagoooo	235
260	fanofbands101	234
261	XboxPanda	233
262	IforgotCS_Source	230
263	Slavisaa	226
263	TheRealAndrin	226
265	CloroxBleach385	213
266	SvenskaHugo	208
267	OfficerAnvil	204
268	Eczbek	202
269	IamCL4SSY	198
270	powercas_gamer	191
271	corvidpartyfor6	189
272	jimintyy	188
273	jacxhadow	179
274	Euclidoris	174
275	Giannism	171
276	SOA1RR	167
277	FreakGenius	163
278	groofles	157
279	Inbefour	148
280	Kouridragon	145
281	_Mythic____	142
282	Zaridey	133
283	ReflexCode	131
284	hanaryheatwave	130
285	ogoa	126
286	CaptainDeadBread	122
287	Secret_Canary	118
287	fxiryglitch	118
289	monomara	117
290	CuzIm2Kev	116
291	xxPipperDipperxx	115
292	Soffbord	114
293	MinttyFressh	111
293	Marbz_	111
295	Moofyman	109
295	Lord_Jord	109
297	BartekB19	105
298	Toriankel	104
298	WinterYoke	104
300	MrExplorer	102
