rank	username	minecraft:mined/minecraft:cobblestone_stairs
152	Notta	77
153	ThePoliteG	76
154	rotten_mango	75
154	Warlord324	75
156	TooManyDuck	74
157	Meatlaugh	73
158	eitanzaki	72
158	H72l9w	72
158	Soffbord	72
161	Kegradigm	70
162	Steelynan	69
163	roxycherry	68
163	Arceus1975	68
163	Toiton	68
166	_stets	67
166	Dabatha	67
168	Cortexia	65
169	Sloths_Ender	64
169	wwwwinnebagoooo	64
171	BlankityMcBlank	61
171	BreadBacon	61
173	jaimshae	60
174	SuperPooch06	59
175	CoffeeNoir	58
175	Purplehere	58
175	Maenara	58
175	wezzzi	58
175	Fuhrer_Teemo	58
175	GravitySaint	58
175	Skippeh	58
182	UncleDanDan	57
182	CaptainSteve345	57
182	AuroraSkies	57
182	Russiancat1	57
182	ewpunk	57
182	MentheMan09	57
188	IsabellasOF	55
188	Factoroni	55
190	CarryLine	54
190	Fildyr	54
192	fr0stss	53
192	Matorz	53
192	vandmanden	53
195	Alteriity	51
196	CadenSteele	50
197	NatalieTW	49
197	thewindmillman	49
197	majlin16	49
200	AlphaWolfPlaysMC	48
201	StylesK	47
202	cheerytomato	46
202	Auseawesome	46
202	dartwaffle	46
205	whoaluv	45
205	MinerDec	45
205	Tyrannosplart	45
205	silverpopcorn	45
205	WyngGoy	45
210	Mowelan	44
210	Ssor69	44
210	CollinMH06	44
210	cytotoxaint	44
214	diggydog67	43
215	diamondgolem35	41
215	Jonte0599	41
215	censorsheep	41
215	mihimihimihi	41
219	Ev0luti0nz	40
219	jessemgaming	40
219	Fullut	40
219	Stiar	40
219	dendydoom	40
219	Skylord_Luke	40
219	tyraxxx	40
226	JustAWill_	39
226	bitsplease	39
228	ThiccExotic	38
228	SpicyMeatballs	38
228	_k2x	38
228	Ripzch	38
232	Ailmast	37
232	emrekn	37
234	DSYisDizzy	36
234	k1ngGilgamesh	36
234	Dragonlfw	36
234	Lord_Zacler	36
234	radioactv_jelly	36
234	xzvu	36
240	FirsTimeGamingTV	35
240	500am	35
240	Lord_Doob	35
243	Silenttieg	34
243	SteveCraftBlocks	34
243	560cool	34
243	TheOuterCore	34
247	SaucyDark	33
247	Windo_licker	33
247	Toasty_Tom	33
247	420BreadLizard	33
247	NameGenerat0r	33
252	JohnnyMines	32
252	RebelAndroid	32
252	SamZombie	32
252	Nycteus_	32
252	djancak	32
257	bigstankyy	31
257	Fakiuss	31
257	JohnPrice	31
260	BlueZabu	30
260	RyuNeko932000	30
260	epiksk8erduck	30
260	audiocracked	30
260	lillips	30
260	LordSpeed37	30
260	_Tilariel_	30
267	nitram49b	29
267	RoofTyler	29
267	Fuad_R	29
267	starbits140	29
271	Froste131	28
271	Nicky_H225	28
271	Nicole_Plus	28
271	IamCL4SSY	28
271	Nicserso	28
276	KarlKaek	27
276	Smussa	27
276	bladeefan2009	27
279	breadbowlgamer	26
279	fenkuu	26
279	Dan_Scha	26
279	DizzleJay311	26
279	masskedman	26
279	Meepcraft	26
279	Blu3beast	26
279	Dusk_95	26
279	Seindi	26
279	Jimb0nat0r	26
279	MandenR1	26
290	LikeableSausage	25
290	hcb238	25
290	MyNameIsJobo	25
290	Hiryu27	25
290	cichy096	25
295	rats_life	24
295	KiRemon77	24
295	301851	24
295	Kubelz	24
295	Queen_Jalapeno	24
295	J4ko8_	24
