rank	username	minecraft:mined/minecraft:oak_stairs
91	LeCavalier636	133
91	Akoot_	133
91	Meatlaugh	133
91	TheKingK_	133
95	Krowuss	130
96	vvhing	129
97	NotMyLucKMC	124
98	toj__	123
99	FiguraDei	122
100	Sleepy_Time_	121
101	Inbefour	120
101	Soplight	120
103	Snowflowe	117
103	Vol_Rod33	117
105	HypixelForums	115
106	livingdaydreams	112
106	Stiar	112
108	Archsam	111
108	Arceus1975	111
108	MakeHistory157	111
111	KingMatthew506	110
112	CrazyPotater	109
113	knarian	108
113	Legendosh	108
115	Fuad_R	107
116	chiakirice	106
117	Rebytre	105
118	Secret_Canary	104
119	fenkuu	102
119	PlasticOtari	102
121	seanitoo	101
121	Skylord_Luke	101
123	TheDankPlatypus	100
124	DanTheBuilderino	99
125	CalebDHawk	98
126	Incinere	97
126	Calbo_	97
128	Matemkas	93
129	Eczbek	91
130	Nekomin0	90
131	TheFlfthHorseman	89
131	laron58	89
133	DrGrant	87
134	07shiny	86
135	emreknugrlu	85
136	Groovy_MoonBird	84
136	Matorz	84
136	Warlord324	84
139	PazinGaming	83
139	Di_infiri	83
141	Nicserso	81
141	Jimb0nat0r	81
143	DrowsyOracle	79
143	CattSoup	79
145	T045RTY	78
145	Quotary	78
147	royal_2	77
147	FishisTTV	77
149	craaaash	76
150	I_Am_Mushkin	75
150	ROY4LE	75
152	TableTim	74
152	SammiWolfGirl	74
152	TheWickedBird	74
155	jacxhadow	73
155	Juansinmiedo18	73
155	_KuruKuru	73
158	JollyDroopy52	72
158	LordSpeed37	72
160	ImDisconnected_	71
161	LagVibes	70
162	FroggoTheDoggo	68
162	Malorn_Aetherius	68
162	oscminus	68
165	Blazebit	67
166	dopplexd	65
166	fw3xy	65
168	Skyler_Diablo	64
168	Nicky_H225	64
168	slkiey	64
168	HeraclesOGU	64
168	parodypatient	64
168	ogoa	64
174	tompup	63
175	shineh10	62
176	Xclax101	61
177	Ev0luti0nz	60
177	TheSecondLord	60
179	kyouma777	59
179	TwinTowerV2	59
181	Syropatathe	57
181	SvenskaHugo	57
183	joethahobo	55
183	TinMaster	55
183	PlzNoBM	55
186	iSammael	53
186	BreadBacon	53
188	titanlax	52
189	Paguz01	51
189	00000000-0000-0000-0009-01fc3bb26159	51
191	powercas_gamer	50
191	lorpus	50
191	Samificator	50
194	MixerDixer	49
194	hm947	49
194	SteveCraftBlocks	49
194	Zaridey	49
194	epiksk8erduck	49
199	Wooptey	48
199	set67	48
199	thewindmillman	48
199	Paul_Katan	48
199	ReyTheLegend	48
204	fr0stss	47
205	MyMawgDonaldsGon	46
205	Drewen24	46
207	Mimiir345	44
207	xorompole	44
207	Kateesaur	44
210	Huwulling	43
210	Blu3beast	43
212	FirsTimeGamingTV	42
212	Avrelion	42
212	burbankbuilder28	42
212	__tomato	42
212	Spenduh	42
217	EfficientC52	41
218	Literally_Rat	40
218	PegLegPete93	40
220	Minimize501	39
220	Saucepeh	39
220	Freedrik	39
223	Zee_zey	38
223	Crowman1	38
223	NebulousBadger	38
226	Freeman666	37
226	Myntsys	37
226	MrShojo	37
229	Mowelan	36
229	Frozil20	36
229	ShedJr_	36
229	Deathkob	36
233	Fullut	35
233	bl1ss0	35
235	6king6colt6	34
235	tyraxxx	34
237	SkateboardR6	33
238	nattybears	32
238	purpolepickle	32
238	Solar_Power	32
238	NYJ	32
238	MAns_44	32
238	jcool7	32
244	2Stout	31
244	SlayerCrypto	31
244	Norrhede	31
244	The11thDoctor	31
244	PigDab	31
244	Avocadogerms	31
244	c0la_c0ca	31
251	Louiis123	30
251	Cavetorch	30
251	BlankityMcBlank	30
251	taengoos	30
255	GingerNeutron	29
255	impossibleteapot	29
255	wrinkledpiglet	29
255	Sorry_Arey07	29
255	FlashMigma	29
255	ConnorDanky_	29
261	Z3braYTIL	28
261	Kakolbus	28
261	Hyp3rion_	28
261	JitteryJared2	28
261	Choco_Spy	28
261	AlphaWolfPlaysMC	28
261	Barlycorn	28
261	__Auspicious	28
261	stellarjay	28
270	Paleshield	27
270	Jackattack53	27
270	WET_WET_WET	27
270	hoaimi	27
270	AuroraSkies	27
270	Jiminbub	27
276	Ao_Ken	26
276	Inchef	26
276	Zythose	26
276	LugusMcGrugus	26
280	MunkaKris	25
280	Ravenbie	25
280	DaviusMaximoose	25
280	Tou3bann	25
280	MightyWertu	25
280	bruh072	25
280	Shin69	25
287	maxdacatz	24
287	NatalieTW	24
287	Yatitay	24
287	Meepcraft	24
287	_k2x	24
287	Spacewardharpy7	24
287	pixelviolin	24
294	Tersea_	23
294	r123moore	23
294	legal_tax_evader	23
294	VersionD	23
294	LuceImaginary	23
294	wwwwinnebagoooo	23
294	Deliriohm	23
