rank	username	minecraft:mined/minecraft:oxeye_daisy
278	_8man	6
278	SvenskaSara	6
278	Bumpy419	6
278	KartivGal	6
278	F_Uhre	6
278	PigDab	6
278	Leyna3	6
278	Maenara	6
278	DanTheBuilderino	6
278	lolpoottoot	6
278	iSammael	6
