rank	username	minecraft:mined/minecraft:melon
121	whoaluv	53
121	AnnieBathory	53
123	ooga47	52
124	Kamflame10	50
125	FirsTimeGamingTV	48
126	diamondgolem35	47
126	Historical_Sand	47
126	leaf26	47
126	Frozil12	47
130	Joestra	46
130	WYFYoyo	46
132	Merv__	45
133	rats_life	44
133	SpaceTurtleOX	44
133	Zoeyfortnite	44
136	Zythose	43
136	Soplight	43
138	TakeThis2UrGrave	42
139	NatrixxddxYT	41
139	OtariCharlie	41
139	Akoot_	41
139	brofrickcheaters	41
143	natajimi	40
143	HesDemonPants	40
145	Michaelelelelele	39
146	DarkFisto	38
147	Hpdinosaur	37
147	T045RTY	37
147	ShedJr_	37
147	Cryptacity	37
151	Mercadies	36
151	IdeallyGrey	36
153	jnp_gaming	35
154	Ssor69	34
154	The_slideV3	34
156	WET_WET_WET	33
156	KingMatthew506	33
158	ROY4LE	32
158	gcaisawesome	32
158	Vorlice	32
158	sp00ky_ghost977	32
162	Bruh77	31
162	John6970	31
164	Bumpy419	30
164	grislgrobl	30
164	Soul_Atreus	30
164	Spenduh	30
164	oxfordschool	30
169	Jackattack53	29
170	bloodbiter	28
170	TheSeismicDuck	28
172	AuroraValkyrie	27
172	numbra	27
172	MustardDrinker	27
172	KeruNatsema	27
172	Blu3beast	27
172	SirBreadward	27
172	FGamerJ	27
179	set67	26
179	Eraxa	26
179	Kubeusz2010	26
182	lia1337owo	25
182	AlexStrange	25
182	NarwhalTaco	25
182	lizardfightclub	25
182	Inbefour	25
182	MightyWertu	25
182	babycamm	25
189	Fildyr	24
190	Jackster03	23
190	Xalithia	23
190	0nly_sn1per	23
190	Russiancat1	23
194	Stright_	22
194	titanlax	22
194	_Karmaa	22
194	ImagineRamen	22
194	TrollerYT	22
199	TildaAndrea	21
199	Euclidoris	21
199	SwiftyPlayz__	21
199	mwrty	21
199	BlueZabu	21
199	Ecplosive	21
199	MyNameIsJobo	21
199	Ikea_Worker_1	21
199	Pickel_Lord	21
208	Drlzyy	20
208	Gundam_Steven	20
208	CollinMH06	20
208	Leeeegend	20
208	silverpopcorn	20
208	WyngGoy	20
214	bigstankyy	19
214	Hyugo	19
214	awesomeoneme	19
214	rarrq	19
214	mrnosetackle	19
214	MinerDec	19
214	Ender_Souls	19
214	Jiminie	19
214	Meatlaugh	19
214	__tomato	19
224	Zipdrip	18
224	Hormones	18
224	Vizzoid	18
224	Kouridragon	18
224	CarryLine	18
224	cytotoxaint	18
224	CoryJJ	18
224	cichy096	18
224	FishisTTV	18
233	heysushii	17
233	BlancoFlaco	17
233	shneed	17
233	Donutt	17
233	cedric72	17
233	pixelviolin	17
233	Hermanni__	17
240	dabloons	16
240	I_snowy_I	16
240	Natty	16
240	nitram49b	16
240	LilLizardWizard	16
240	Drewen24	16
240	SkateboardR6	16
247	Lain_13	15
247	KillerNekoRain	15
247	lillips	15
247	Toriankel	15
247	SUN_DREAM	15
247	HAruSAme14	15
247	Goat_Man512	15
254	H72l9w	14
254	CharlieButt	14
254	Arceus1975	14
254	ibarker21	14
254	jonathanwilson18	14
254	_Ruzeeq_	14
254	Cocoamallows	14
261	Tommhh	13
261	TooManyDuck	13
261	Lumien_	13
261	Diavri	13
261	sxc_	13
261	DTwenty	13
261	cog	13
261	Ripzch	13
261	_TCARREIRA_	13
261	Rainaldus	13
271	TheBiggestFeller	12
271	Malorn_Aetherius	12
271	LunarRedPanda	12
271	SokaOtaku	12
271	proxivitoid	12
271	IvarEXE	12
271	fffMike	12
271	EcksD	12
279	ratglock	11
279	Austine6698	11
279	500am	11
279	Windo_licker	11
279	Kars_Requiem	11
279	stuy9	11
279	DarlaMeow	11
279	gaming4Naming	11
287	elmer1234	10
287	dopplexd	10
287	Guillemet	10
287	AngalexikCZ	10
287	Cambo5000	10
287	Kubelz	10
287	moonman169	10
287	Blamphe	10
287	MrMonster61	10
287	markaus77	10
287	Nicserso	10
287	imaginek1d	10
287	kinas45y5	10
300	ImpavidArcher	9
