rank	username	minecraft:mined/minecraft:dark_oak_log
208	Marbz_	657
209	sp00ky_ghost977	652
210	Lutres_Torane	647
211	NormanFetus	646
212	Yatitay	633
213	Warlord324	631
214	SingedBread	630
215	MakeHistory157	622
216	Historical_Sand	620
216	theofiel	620
218	ThePoliteG	618
219	__hinterland__	616
220	Chromary	611
221	Flores991	607
222	Nach0Bear	587
222	VentiHilton	587
224	H72l9w	579
225	Toriankel	573
226	JESS_THE_RERE	572
227	dezxalo	569
228	WYFYoyo	568
229	Sral7	564
230	KlausVonStiglitz	553
231	Ardennes	550
232	claivin	542
233	OfficerAnvil	541
234	Racengan	540
235	Bumpy419	539
236	mwrty	530
237	ItzYaBoiPicard	519
238	Purplehere	504
239	Skylord_Luke	492
240	Vetral1	491
241	Groundler	482
242	youhjjhhhjj	476
243	GravitySaint	470
244	Lord_Zacler	468
245	intropass	465
246	brycepants	461
247	Nekomin0	458
248	SquadMonster	456
248	obzii	456
250	NinjaKnifeKill	448
251	ApophisNova	435
251	MyNamaSheff	435
253	annoyingenderman	431
254	KartivGal	429
255	Yahir091	428
256	PegLegPete93	425
256	IdeallyGrey	425
258	GlitchyPlate810	423
259	MrExplorer	420
259	TowenPL	420
261	Kijiki	418
262	Bolete	409
263	Tjhodskins19	401
264	ratglock	394
264	The_Fulgurator	394
266	carpet4_69	393
267	Foof13	391
268	voiding_	388
268	Lowjinx	388
270	Invisie	381
271	cowgirlkasia	380
272	OnlyOfficial	379
273	ArdaAslan02	376
274	SokaOtaku	374
275	sebastiensaborio	367
276	Leithz6	366
276	TheOuterCore	366
278	Noah_Bez	363
279	NotMeanttoChange	360
279	Karetoko	360
279	h2p_emrld	360
282	livingdaydreams	356
283	madderfall	355
284	Cryptacity	353
285	Lotheburgh	352
286	12Magner05	343
287	Wooptey	341
288	CookTheChef3	339
289	The11thDoctor	334
290	stellarjay	333
291	SLASHZEERA	330
292	CrazyPotater	328
293	actuallysadie	321
293	AJplaysMC_	321
295	LordSpeed37	320
296	Smiguli_	318
297	titanlax	314
298	YungJakobo	313
299	Skomo	309
300	PeteO1995	307
