rank	username	minecraft:mined/minecraft:acacia_planks
110	DennyKai	28
113	DarlaMeow	27
114	Tyrannosplart	26
114	560cool	26
116	SmashingPump	25
116	Myrosia	25
116	Toowny	25
116	Enderxz3	25
120	ImpavidArcher	23
120	Snowflowe	23
120	_beep_boop	23
123	MrKrabOnCoke	22
123	Miroryk	22
123	Hanselhoof	22
126	_Huge_Male_	21
126	Jackattack53	21
128	titanlax	20
128	rpmm	20
128	ReflexCode	20
128	xolstoi	20
132	C0oOK13M0N5T3R	19
132	Sral7	19
134	Rich_Kat	18
135	dimondking777	17
135	Swalt	17
135	TheSecondLord	17
135	lorpus	17
135	KillerNekoRain	17
135	HolyVenom	17
135	Groundler	17
135	ItsJunoIGuess	17
143	Euclidoris	16
143	ROY4LE	16
143	SvenskaHugo	16
143	UCP_TheKingK	16
143	xzvu	16
143	h2p_emrld	16
149	Di_infiri	15
149	Spenduh	15
149	Biites	15
152	Vizzoid	14
152	Ozixar	14
152	Fullut	14
152	Killtroxx	14
156	k_ce	13
156	_Dean_123	13
156	kars0n	13
156	Racengan	13
160	CEOofSHINS	12
160	King_Pancake1	12
160	MousePlays	12
160	MAns_44	12
160	tsitrawhy	12
165	o0z	11
165	BlueZabu	11
165	Lord_Zacler	11
165	Nicserso	11
169	stellarjay	10
169	Legendosh	10
171	Hpdinosaur	9
171	Tiberonus	9
171	SammiWolfGirl	9
174	funeralhome	8
174	500am	8
174	Kamflame10	8
174	himak1	8
174	SellyZ	8
174	Tibbby	8
174	Dreamdbr14	8
174	skrongus	8
174	Schlitzman	8
183	ShedJr_	7
183	FlackoJonah	7
183	Mercurius_III	7
183	Akoot_	7
183	Toriankel	7
183	xX_Stalin69_Xx	7
183	imaginek1d	7
190	AgressiveEggdog	6
190	Master_Kol	6
190	oscminus	6
190	IamCL4SSY	6
190	claivin	6
190	Chayula	6
190	MasterOwen1	6
197	SaucyDark	5
197	rarrq	5
197	MattieHD	5
197	switchNat	5
197	Resner	5
197	ItsAki_	5
197	MeanTugger	5
197	lizardfightclub	5
197	duqboy	5
197	XxCookiequeenxX	5
197	_Karmaa	5
197	kalzor	5
197	Blaiku	5
210	Elprone266	4
210	RatatJuice	4
210	xxPipperDipperxx	4
210	Rebytre	4
210	Pazantine	4
210	NomadicRobin_	4
210	audiocracked	4
210	_Bguette_	4
210	Dakar_	4
210	halfbakedlasagna	4
210	_Ruzeeq_	4
210	Kowcio_	4
210	__tomato	4
210	Soffbord	4
210	CattSoup	4
210	PlasticOtari	4
226	mix9ine_maz	3
226	PhantomsGhost_	3
226	Apples5009	3
226	SpaceGrenadier	3
226	firesgal3116	3
226	MeowMeowMcmuffin	3
226	mwrty	3
226	TylerDupree	3
226	noam464	3
226	pappaberg	3
226	RobotMinion101	3
226	ebanana	3
226	Quaintster	3
226	fluddd	3
226	tlustyCZARNY	3
226	Optiprimus	3
226	ediballbearings	3
226	Ryn777	3
226	UltraZombie	3
226	bitsplease	3
246	ImNotYuqii	2
246	Sleek_Storm_721	2
246	stevewithclout	2
246	joethahobo	2
246	Historical_Sand	2
246	tramizu	2
246	Zedducius	2
246	12Magner05	2
246	Megarboh	2
246	FemboyFwuit	2
246	groggregg42	2
246	PojkenJesper	2
246	Inchef	2
246	olliebollie48	2
246	mimbo1211	2
246	Aneurysmas	2
246	ItzSquidz	2
246	The11thDoctor	2
246	fqdeintoyou	2
246	twinkel_star24	2
246	marumochis	2
246	MightyWertu	2
246	Druid95	2
246	CornOnTheCobalt	2
246	Eon_57	2
246	07shiny	2
246	PortlyPete69	2
246	Vellu21	2
246	tartanboy	2
246	FelixPSY375	2
246	momis24	2
277	dudcreeper	1
277	Mocha_Mug	1
277	hm947	1
277	Alteriity	1
277	ITDV	1
277	GingerNeutron	1
277	slkiey	1
277	CrookedKaptain	1
277	gcaisawesome	1
277	hayybails	1
277	KingEgg1	1
277	thebluehippo	1
277	MyNameIsJobo	1
277	yaboo88	1
277	thewindmillman	1
277	calajimi	1
277	andy_rex	1
277	CrateOfBoxes	1
277	WarMachina	1
277	MustardDrinker	1
277	shockdocta	1
277	TheWildMateo	1
277	Mandroch	1
277	Kynigito	1
