rank	username	minecraft:mined/minecraft:birch_planks
99	Lord_Jord	230
100	Giannism	229
101	ProfessorBee	226
101	MadmanRaven	226
103	_Cloverbelle_	221
104	set67	216
105	LexMakesHistory	215
106	luseis	213
106	FelixPSY375	213
108	j5ylim	212
109	lorpus	211
110	LeonelSalamanca	208
111	The_Quack_Dealer	201
112	PortlyPete69	199
113	Rasmanden	196
114	imcombxt	191
115	Jackattack53	190
116	Hoid_the_Roamer	189
117	xolstoi	186
118	ConnorDanky_	170
119	teslawolf38	169
119	_Dean_123	169
121	Kryktal	168
122	ZeroKraken	166
123	Hermanni__	165
124	Hiryu27	164
125	SirPiccardo	158
126	djancak	157
127	SyntheticSurgeon	156
128	bloomkieren	155
128	AltnumberF4	155
130	censorsheep	154
131	XboxPanda	153
132	Di_infiri	151
132	LeeMcGee30	151
134	smarticuno	147
135	BlankityMcBlank	146
136	Iagoku	144
137	UncreativeArtist	141
137	swag_bro2004	141
139	DermeinUser	140
140	DaviusMaximoose	139
141	dendydoom	137
142	fffMike	135
143	CLG_Kata	133
143	Fuad_R	133
143	brofrickcheaters	133
146	SKYPEX_	131
146	Tyrannosplart	131
148	Y_A_N_N_I	130
148	TheTrueClipse	130
148	SvenskaHugo	130
151	Inchef	129
151	MyNameIsJobo	129
153	Austinizzle	127
154	LilLizardWizard	125
154	Deguns123	125
156	diggydog67	123
157	SnowyAvi	121
157	olliebollie48	121
157	Eraxa	121
160	Kijiki	120
160	SammiWolfGirl	120
162	bruh072	119
163	Bazongoman	118
164	PizzaJake	117
164	BlancoFlaco	117
164	little_dUki	117
167	killmeiamtraitor	115
168	parodypatient	114
168	TheEnderMan548	114
170	GingerNeutron	113
171	InfernalMound	112
171	burbankbuilder28	112
171	Deathkob	112
171	Winston_Ingram	112
175	slkiey	108
176	Skyler_Diablo	106
176	noam464	106
176	Spenduh	106
179	Secret_Canary	105
179	Jonafrog99	105
181	ItsHydroMC	104
181	Blu3beast	104
181	Quotary	104
184	picardred	103
184	Steelynan	103
186	SoftSix	102
186	calamariclam_I	102
188	ThePoliteG	101
188	The_Fulgurator	101
188	Sharkbyte0	101
191	GamerDuck123	98
191	Fuhrer_Teemo	98
193	tompup	97
194	Frozil20	96
194	_Nuf	96
194	blimpeey	96
197	Ravenbie	95
198	Astronicky	94
199	Nycteus_	93
199	Soplight	93
201	epiksk8erduck	92
201	Dakar_	92
203	killerzant	90
203	Drewen24	90
205	Archsam	89
205	Russiancat1	89
207	CollinMH06	87
208	Zee_zey	86
208	purpolepickle	86
210	stuy9	85
210	monky_irl	85
210	Zetsey	85
213	EtherealEspresso	84
214	Mariopreeet	83
214	pumpfonzo	83
216	IamCL4SSY	82
217	LeauVox4921	81
218	Kkanot	80
219	ChillenChiggen	78
220	SingedBread	77
221	Jackster03	76
221	DarkS0L	76
221	_Wannabe_	76
224	301851	75
224	IWorkAtIkea	75
224	TinMaster	75
224	brycepants	75
228	E775	74
229	ZeroAbyssTTV	72
229	StarCookiees_	72
229	stellarjay	72
229	potatocan	72
233	Pootis11	70
234	Leyraxos	69
234	MinttyFressh	69
234	Arceus1975	69
237	Luminad3	68
237	EcksD	68
239	Diavri	67
239	Rumpletaezer	67
239	DC_XII	67
239	AvaRosey	67
243	T045RTY	66
243	Hahaa_0	66
245	cyuar	65
246	LunarRedPanda	64
247	Avocadogerms	63
247	pixelviolin	63
247	BreadBacon	63
250	Atroxes	62
250	Malware_Mara	62
250	BumbleBeever	62
250	mobunni	62
254	6king6colt6	61
254	cedric72	61
254	NameGenerat0r	61
257	SirMinza	60
257	intropass	60
259	ApophisNova	59
259	Nargotah	59
259	MyNamaSheff	59
262	MsBeeMan	58
263	Travasaur	57
263	sxc_	57
263	yatsuta	57
266	thatbeanyboi	55
266	AnnieBathory	55
266	StinkyDiplomat	55
269	UMosDiesIrae	54
269	Zielo2017PL	54
269	Syropatathe	54
272	KermitTheKripple	51
273	TheSecondLord	50
273	legal_tax_evader	50
275	nocturne78	49
275	F_Uhre	49
275	PigDab	49
278	ImNotYuqii	48
278	SaucyDark	48
278	NotMeanttoChange	48
278	NYJ	48
282	groofles	47
282	Nateman1000	47
282	Matorz	47
282	Kubeusz2010	47
286	ImpavidArcher	46
286	catandmoose	46
286	stavgod	46
286	infiniteQuery	46
290	bloodbiter	45
290	wwwwinnebagoooo	45
290	ItsDeltaMC	45
293	DrichAldrich	44
293	420BreadLizard	44
295	Zaridey	43
295	ProfessorDiaper	43
297	SOA1RR	42
297	ratglock	42
297	SteveCraftBlocks	42
297	Elastiq	42
