rank	username	minecraft:mined/minecraft:hay_block
272	Gryglu583	21
272	djancak	21
276	Adem192	20
276	Euclidoris	20
276	jushykins	20
276	Hanselhoof	20
276	Jackattack53	20
276	U_Mos_	20
276	fkGrim	20
276	wwwwinnebagoooo	20
276	OPTOMA_KING	20
285	claivin	19
285	Leeeegend	19
285	CheifJumbo	19
285	pixelviolin	19
285	underscore_2	19
285	AppleJacks	19
291	SaltineDream	18
291	lwyl	18
291	Gregward_Smith	18
291	Blackberry1310	18
291	Hetti301	18
291	SpaggeDR	18
291	JosephCW	18
291	hdtpm	18
291	DennyKai	18
291	JungeSchnauzer	18
