rank	username	minecraft:mined/minecraft:soul_soil
125	DTwenty	100
126	Windo_licker	99
127	MrExplorer	98
128	EngagedGrub41	97
129	Mr_Sun15	95
130	Kubeusz2010	92
131	Swexti	88
132	Samificator	86
132	Luminad3	86
134	ogoa	85
135	prizm_	84
135	ZeroKraken	84
137	UncreativeArtist	83
138	Lorcout	81
139	q_wq	80
139	royal_2	80
141	Inchef	74
142	ROY4LE	72
142	DairyNickel756	72
144	BadenStayFly	68
145	Dakar_	62
146	EdGalbraith	61
146	Shogunite	61
148	skatch212	59
148	MinttyFressh	59
148	luseis	59
151	NatalieTW	58
151	EcksD	58
153	Chromary	56
154	masskedman	55
155	NotMyLucKMC	53
156	Crizma_	52
156	Snowflowe	52
156	zToasty69z	52
159	Groovy_MoonBird	51
160	CliffEmAll	49
160	Razzgriz	49
162	Sleek_Storm_721	48
162	Lez_	48
162	gamerlord1324	48
165	Paguz01	47
166	alcremiie_	46
166	DanTheBuilderino	46
168	NinjaKnifeKill	43
168	Tiberonus	43
170	Jimb0nat0r	41
171	craaaash	40
172	SuperPooch06	39
173	ECstardust	38
173	Manaateee	38
175	Secret_Canary	36
176	Paint	35
176	non089	35
176	Serval2000	35
179	hm947	33
179	Killercatty78	33
179	CoffeeNoir	33
179	__TheNorseMan__	33
179	shadowthemonkey	33
184	I_Am_Mushkin	31
184	U_Mos_	31
186	himak1	29
186	DarkS0L	29
188	nattybears	28
188	Nicky_H225	28
190	PegLegPete93	27
191	teqilas	26
191	Z3braYTIL	26
193	Smashic	25
193	lpinfinity	25
193	Awyrlas	25
193	Kura2218	25
193	Erased_Identity	25
198	2extreeme	24
199	ARandomHedge	22
199	Billious	22
199	TheKingK_	22
199	__tomato	22
203	bigstankyy	21
203	gren_ben	21
203	BobDeBouwer1337	21
203	Galactic_Badger	21
203	ScootOfBoot	21
203	kalzor	21
203	jnp_gaming	21
210	Prismyst	20
210	ChampPog_	20
210	Werbe	20
210	mobunni	20
210	00000000-0000-0000-0009-01ff0c3e5e4f	20
215	Hahaa_0	19
216	fanofbands101	18
216	SquadMonster	18
216	ZoomieZoomie	18
216	its_lupus	18
220	PhantomsGhost_	17
220	Yatitay	17
220	SyntheticSurgeon	17
220	jacxhadow	17
220	Luigipunch989	17
225	Kronos42	16
225	thescout7	16
225	xxPipperDipperxx	16
225	StinkyDiplomat	16
225	bluefragmentt	16
225	Shin69	16
225	2blox_	16
232	AlexxO_o	15
232	PaperCanvas	15
232	Wowful	15
232	DarlaMeow	15
232	Racengan	15
232	Moss_2006	15
232	TheSandwhich_	15
239	LAVA124	14
240	Avocadogerms	13
240	_i_ERROR_i_	13
240	Legendosh	13
243	teslawolf38	12
243	M_Patata	12
243	emreknugrlu	12
243	MasterNueve	12
243	Quotary	12
248	H0UNDFRMH3LL	11
248	QuiCreans	11
248	wx4z	11
248	F_Uhre	11
248	LeEricc	11
248	Eczbek	11
254	Saucepeh	10
254	Hetti301	10
254	EnigmaTheYeen	10
254	Juansinmiedo18	10
254	TheDankPlatypus	10
254	Mobstr	10
254	ooga47	10
254	NameGenerat0r	10
262	Apollo_993	9
262	Lazy_geniusig	9
262	Tersea_	9
262	MattieHD	9
262	SpacesickPrism	9
267	Cowison	8
267	fade_emerge78823	8
267	CarltheCuck	8
267	King_Pancake1	8
267	LugusMcGrugus	8
267	Shortest_	8
267	fw3xy	8
274	robertsnose	7
274	lorywithay	7
274	eclipseboi	7
274	Kkanot	7
274	FishisTTV	7
279	BPTY4618	6
279	Atomagus	6
279	_Z3RIX_	6
279	r123moore	6
279	Strangemonkey71	6
279	RadarHz	6
285	CLG_Kata	5
285	MoonWatcher19	5
285	Wooptey	5
285	TheThomas69	5
285	ReSynced	5
285	RoBe__	5
285	miramyu	5
285	CalebDHawk	5
293	Mr_Byzantine	4
293	JohnnyFyes	4
293	King_Rata	4
293	lazioglug	4
293	stevewithclout	4
293	NieToksikpl	4
293	yheece	4
293	Mattesco	4
