rank	username	minecraft:mined/minecraft:spruce_log
265	ImDisconnected_	697
265	Bazongoman	697
267	Jackster03	680
268	ShedJr_	673
269	nut_e	659
269	Bloo2406	659
271	Dedalus36	654
271	Ristebraaten	654
273	dedgt	651
274	Lord_Zacler	649
275	Zoeyfortnite	643
276	fluddd	631
277	hm947	629
278	Serval2000	627
279	gaziter10	626
280	wiqor	624
280	kinas45y5	624
282	Miko_Fullbuster	621
283	Smashic	620
284	Rocco_Lane	619
284	ooga47	619
286	TheGameArchitect	615
287	Shavrin	614
288	sp00ky_ghost977	613
288	Winston_Ingram	613
290	IronArshXS	612
291	__tomato	608
291	MilleGrug	608
293	Sleek_Storm_721	603
293	Chuglyfe	603
295	AuroraValkyrie	599
296	MightyWertu	596
297	Cocoamallows	592
298	Hisiste	580
299	Flores991	577
300	Da_Boss_Rani	576
