rank	username	minecraft:mined/minecraft:purpur_stairs
100	fluddd	19
102	FishyBoy3811	18
103	T045RTY	17
103	rarrq	17
103	EveryonesUncle	17
106	legal_tax_evader	16
106	MineMaster0012	16
108	ThiccExotic	15
108	joethahobo	15
110	DTwenty	14
111	Inchef	13
111	surfinggiraffejp	13
111	MangoTheFish	13
111	brofrickcheaters	13
111	Eczbek	13
111	UrbanPlanningEx	13
117	Houstonion	12
117	Esme_1	12
117	Zaridey	12
117	Groundler	12
117	EcksD	12
117	Powowowow	12
117	bladeefan2009	12
124	SaucyDark	11
124	12Magner05	11
124	Zythose	11
124	TheShyPig	11
124	Rasmanden	11
124	Warlord324	11
130	_Razaria	10
130	shyshyannne	10
132	Mr_Byzantine	9
132	Noah_Bez	9
132	Deodorante	9
132	LazySupport00	9
132	Razzgriz	9
137	BodaciousCake	8
137	CoffeeNoir	8
137	PegLegPete93	8
137	TheSeismicDuck	8
137	lillips	8
137	Tyrannosplart	8
137	_k2x	8
137	ItsJWolff	8
137	33sudo	8
137	voiding_	8
147	Xclax101	7
147	Jij0	7
147	Kijiki	7
147	Steelynan	7
147	JayToe	7
152	Secret_Canary	6
152	mariominejedi	6
152	LilyNova	6
152	501g	6
152	Barlycorn	6
152	geekbird	6
158	ssleepless	5
158	Lez_	5
158	AlexxO_o	5
158	GooseWithin	5
158	MrQuanQuan	5
158	luseis	5
158	Spacewardharpy7	5
158	RealGroot	5
158	__tomato	5
158	Ezekson	5
158	TechnoNinja64	5
169	H0UNDFRMH3LL	4
169	chipklip	4
169	himak1	4
169	RIPB0ZO	4
169	whoaluv	4
169	SkateboardR6	4
169	MovingFish7	4
169	Kura2218	4
169	ElectricDragon81	4
169	SvenskaHugo	4
169	SammiWolfGirl	4
169	Quotary	4
181	diamondgolem35	3
181	JuuustYeet	3
181	Euclidoris	3
181	Smussa	3
181	1442	3
181	SingedBread	3
181	TheDumbHuman	3
181	stavgod	3
181	Eraxa	3
181	Physics_Breaker	3
181	AltnumberF4	3
181	HesDemonPants	3
193	SailiXX	2
193	jessewegottacook	2
193	titanlax	2
193	Blackberry1310	2
193	jushykins	2
193	Moyd_	2
193	SoftSix	2
193	zorin123	2
193	lorpus	2
193	Motsaro	2
193	XboxPanda	2
193	fr_ser	2
193	pappaberg	2
193	Hiryu27	2
193	LeGold	2
193	Ender_Souls	2
193	ClemenPine	2
193	YungWali	2
193	Quaintster	2
193	ItzWqlfy	2
193	WyngGoy	2
193	stellarjay	2
193	PortlyPete69	2
193	obzii	2
193	CalebDHawk	2
193	Aryamanee	2
193	2bolx_	2
193	FishisTTV	2
221	Groovy_MoonBird	1
221	seanitoo	1
221	NatalieTW	1
221	teslawolf38	1
221	ColeSnyder	1
221	LeDuctTape	1
221	tuckerdoodle	1
221	Wooptey	1
221	wickedword	1
221	bloodbiter	1
221	__TheNorseMan__	1
221	Kakolbus	1
221	SuperPooch06	1
221	SamZombie	1
221	domagawha	1
221	Donutt	1
221	MustardDrinker	1
221	ApophisNova	1
221	RobotMinion101	1
221	Shiirazu	1
221	groofles	1
221	Akoot_	1
221	TheTrueClipse	1
221	AuroraSkies	1
221	binman420	1
221	Gab4101	1
221	fkGrim	1
221	Quincannon	1
221	MAns_44	1
221	censorsheep	1
221	BumbleBeever	1
221	Aezekial	1
221	ayamefag	1
221	Mythic1130	1
221	ReyTheLegend	1
221	Juh1s	1
221	gusstationwerker	1
221	tartanboy	1
221	Iamthejo	1
221	MyNamaSheff	1
221	Zoeyfortnite	1
