rank	username	minecraft:mined/minecraft:smooth_stone_slab
202	Jiminie	14
202	chipklip	14
202	DrGrant	14
202	Shogunite	14
202	BreadBacon	14
208	wickedword	13
208	Nicky_H225	13
208	CrateOfBoxes	13
208	Meatlaugh	13
208	JohnPrice	13
213	Euclidoris	12
213	Fullut	12
213	Inbefour	12
213	GravitySaint	12
213	RadarHz	12
218	soundad	11
218	ROY4LE	11
218	Zythose	11
218	wrinkledpiglet	11
218	DizzleJay311	11
218	LilcoinXX	11
218	YungMaki	11
218	HesDemonPants	11
226	dimondking777	10
226	Ze1ig	10
226	EMC_	10
226	slkiey	10
226	Kubelz	10
231	fr0stss	9
231	wiqor	9
231	TeenMomTom	9
231	MustaLoordi	9
231	fffMike	9
236	Hpdinosaur	8
236	Paintz	8
236	Nicky19	8
236	Bloo2406	8
236	LordSpeed37	8
236	AltnumberF4	8
242	PhantomsGhost_	7
242	heckface	7
242	pr33tu	7
242	TastefulBas	7
242	Negriuke	7
242	fkGrim	7
242	claivin	7
242	Pickel_Lord	7
242	Kowcio_	7
242	BlankityMcBlank	7
252	_stets	6
252	nocturne78	6
252	Marbz_	6
252	impossibleteapot	6
252	Kouridragon	6
252	Nagasaki_Riku	6
252	stavgod	6
252	stahouo	6
252	Luigipunch989	6
261	awesomeoneme	5
261	_Dean_123	5
261	Awyrlas	5
261	xxPipperDipperxx	5
261	Karetoko	5
261	Chromary	5
261	Donutt	5
261	_Bguette_	5
261	JoCoLi	5
261	ayamefag	5
261	AssFullaCum	5
261	EcksDofficial	5
273	Dedalus36	4
273	tuckerdoodle	4
273	H72l9w	4
273	Historical_Sand	4
273	Sloths_Ender	4
273	Enigma0251	4
273	Diavri	4
273	eiC_	4
273	WET_WET_WET	4
273	wTXop	4
273	pappaberg	4
273	NomadicRobin_	4
273	Quincannon	4
273	the__Reaper4999	4
273	SammiWolfGirl	4
273	Kubeusz2010	4
273	cichy096	4
273	Jordan_R	4
291	MunkaKris	3
291	Tommhh	3
291	xXTheWolfmanXx	3
291	Cryptacity	3
291	MinttyFressh	3
291	ProfessorBee	3
291	platinumzero	3
291	toj__	3
291	_Boipl_	3
291	domagawha	3
