rank	username	minecraft:mined/minecraft:dispenser
215	SvenskaHugo	4
215	Colmer94	4
215	Powowowow	4
215	Wanjibon	4
245	Groovy_MoonBird	3
245	teslawolf38	3
245	powercas_gamer	3
245	remgrandt	3
245	Jahara	3
245	Gregward_Smith	3
245	Ssor69	3
245	Prodiginus	3
245	Rich_Kat	3
245	SoftSix	3
245	philandr	3
245	set67	3
245	Scathra	3
245	NotMeanttoChange	3
245	eiC_	3
245	CollinMH06	3
245	Giannism	3
245	burbankbuilder28	3
245	Hoid_the_Roamer	3
245	Onennon	3
245	cedric72	3
245	ougstur	3
245	FishyBoy3811	3
245	DrProfAwesome	3
245	hoaimi	3
245	AuroraSkies	3
245	Lutres_	3
245	Toiton	3
245	_Karmaa	3
245	Racengan	3
245	xzvu	3
245	Kubeusz2010	3
277	AuroraValkyrie	2
277	Qalech	2
277	SaucyDark	2
277	SOA1RR	2
277	ShedJr_	2
277	fr0stss	2
277	IWorkAtIkea	2
277	royal_2	2
277	Nicky_H225	2
277	Guillemet	2
277	Motsaro	2
277	emrekn	2
277	Mewar	2
277	Xalithia	2
277	SellyZ	2
277	DisgruntledKoala	2
277	Krowuss	2
277	GildedRemnant	2
277	Voxin2K	2
277	J4k__	2
277	Olib3ar	2
277	MousePlays	2
277	TheShyPig	2
277	Kim_Jong_eel	2
