rank	username	minecraft:mined/minecraft:birch_slab
171	07shiny	11
171	stahouo	11
171	fffMike	11
171	TechnoNinja64	11
177	Ecplosive	10
177	Kokeech	10
177	Rasmanden	10
177	claivin	10
181	Adlair	9
181	_Nuf	9
181	Fullut	9
181	WET_WET_WET	9
181	LilLizardWizard	9
181	wwwwinnebagoooo	9
181	OfficerAnvil	9
188	ProfessorBee	8
188	Megarboh	8
188	Lord_Jord	8
188	DarlaMeow	8
188	ReyTheLegend	8
188	Sral7	8
188	Umbreon900	8
195	tuckerdoodle	7
195	ShedJr_	7
195	Mewar	7
195	cedric72	7
195	Kryktal	7
195	Quinasin	7
195	_Bguette_	7
195	jnp_gaming	7
203	Yatitay	6
203	Wooptey	6
203	killerzant	6
203	Giannism	6
203	dendydoom	6
203	regulator75	6
203	Zielo2017PL	6
203	PuFY	6
203	Pootis11	6
203	HellsSponge	6
203	ItsJunoIGuess	6
203	_Wannabe_	6
203	BreadBacon	6
203	The_SlideV5	6
217	M_Patata	5
217	Vetral1	5
217	wezzzi	5
217	MasterNueve	5
217	UltraZombie	5
217	Winston_Ingram	5
223	Bandito_Roamer	4
223	littlesophiagirl	4
223	FirsTimeGamingTV	4
223	Kkanot	4
223	surfinggiraffejp	4
223	Tjhodskins19	4
223	lizardfightclub	4
223	Sky_light_KING	4
223	ADEXTV	4
223	Wowful	4
223	fluddd	4
223	SingedBread	4
223	Vorlice	4
223	YungMaki	4
223	ediballbearings	4
238	Rorrofighter	3
238	G1ldor	3
238	BilboBaggins23	3
238	Smashic	3
238	CarltheCuck	3
238	N7November	3
238	TheWildMateo	3
238	The11thDoctor	3
238	natajimi	3
238	AvaRosey	3
238	sp00ky_ghost977	3
238	Kyrum2169	3
238	cichy096	3
238	MelodyGaysharks	3
252	Foof13	2
252	joethahobo	2
252	Sparky_KT	2
252	dopplexd	2
252	NotMeanttoChange	2
252	BlueZabu	2
252	mick407	2
252	wTXop	2
252	RobotMinion101	2
252	Austinizzle	2
252	stuy9	2
252	Blamphe	2
252	NomadicRobin_	2
252	Suraidu	2
252	marumochis	2
252	Gustavo_PP	2
252	Deguns123	2
252	bitsplease	2
252	Apicomplexa	2
252	potatocan	2
252	PlasticOtari	2
252	EcksDofficial	2
274	prodby_Lyka	1
274	Mr_Byzantine	1
274	Lotheburgh	1
274	zqw10k	1
274	BigBootyHudge	1
274	T045RTY	1
274	Stright_	1
274	Ozixar	1
274	TheSecondLord	1
274	ashetrays	1
274	Nostrom	1
274	crying_wolf_13	1
274	Kamflame10	1
274	UncreativeArtist	1
274	intropass	1
274	CollinMH06	1
274	loveseeker	1
274	SlayerCrypto	1
274	LunarRedPanda	1
274	_Boipl_	1
274	Kouridragon	1
274	Titani_cus	1
274	Kim_Jong_eel	1
274	yulgur1	1
274	Axemurdermike	1
274	Fuhrer_Teemo	1
274	sufjanlover	1
