rank	username	minecraft:mined/minecraft:redstone_lamp
134	MilleGrug	8
134	Ezekson	8
134	00000000-0000-0000-0009-01fa5d833510	8
142	MuffinManzz	7
142	mwrty	7
142	craaaash	7
145	H0UNDFRMH3LL	6
145	Frozil20	6
145	Reamdin	6
145	Euclidoris	6
145	Mercadies	6
145	gcaisawesome	6
145	Kouridragon	6
145	Maenara	6
145	YungWali	6
145	geekbird	6
145	mobunni	6
156	pr33tu	5
156	lpinfinity	5
156	Touched_Bread	5
156	shadowthemonkey	5
156	legal_tax_evader	5
156	pappaberg	5
156	tobinwilliams	5
156	Donutt	5
156	Werbe	5
165	EMC_	4
165	T045RTY	4
165	CoffeeNoir	4
165	Comma__	4
165	theonlymagikarp	4
165	eiC_	4
165	Snowflowe	4
165	Boipl	4
165	Rasmanden	4
165	yulgur1	4
165	SpouHn	4
165	madderfall	4
165	BumbleBeever	4
165	Eraxa	4
165	Spenduh	4
165	UltraZombie	4
165	taengoos	4
165	vandmanden	4
183	q_wq	3
183	ColeSnyder	3
183	RatatJuice	3
183	LoboTheLobster	3
183	Blackberry1310	3
183	Secret_Canary	3
183	Krowuss	3
183	RobotMinion101	3
183	Matyyy15	3
183	DrProfAwesome	3
183	valkam13	3
183	Deathkob	3
183	claivin	3
183	FreakGenius	3
183	cutelilreno	3
183	sp00ky_ghost977	3
183	00000000-0000-0000-0009-01fe065167f0	3
200	gary_	2
200	RebelAndroid	2
200	McCakeAh	2
200	ThePoliteG	2
200	TheThomas69	2
200	knarian	2
200	RIPB0ZO	2
200	Rumpletaezer	2
200	SirPiccardo	2
200	Bumpy419	2
200	Drewen24	2
200	stuy9	2
200	questbox	2
200	Warlord324	2
200	FiguraDei	2
200	kyouma777	2
200	SvenskaHugo	2
200	Pumpkin_P_Patch	2
200	NATE_the_HALO	2
200	Haadrada	2
200	Wolverine4302	2
200	Jordan_R	2
222	TildaAndrea	1
222	Caribouse	1
222	Houstonion	1
222	bigstankyy	1
222	Alteriity	1
222	Huwulling	1
222	Julmish	1
222	Sleepy_Time_	1
222	shdesolt	1
222	Austine6698	1
222	Fullut	1
222	4774	1
222	UncreativeArtist	1
222	Tjhodskins19	1
222	DrowsyOracle	1
222	r123moore	1
222	mariominejedi	1
222	Queen_Jalapeno	1
222	TruGuire	1
222	thebaddruid	1
222	CaptainDeadBread	1
222	seramalen	1
222	ougstur	1
222	ClemenPine	1
222	MrQuanQuan	1
222	420BreadLizard	1
222	EdGalbraith	1
222	Inbefour	1
222	LexMakesHistory	1
222	GoldTunes	1
222	_flud	1
222	MightyWertu	1
222	Virdose	1
222	Lord_Doob	1
222	Kyrum2169	1
222	Colmer94	1
222	Segotep999	1
222	Dogcorn69420	1
222	CalebDHawk	1
222	mawileite	1
222	Iamthejo	1
222	CattSoup	1
222	TheSandwhich_	1
222	UrbanPlanningEx	1
222	Jimb0nat0r	1
222	es0th	1
222	TwinTowerV2	1
222	00000000-0000-0000-0009-01fc796cc078	1
