rank	username	minecraft:mined/minecraft:red_mushroom
165	poopybh	11
165	DermeinUser	11
165	Windo_licker	11
165	luvRust	11
165	Nicserso	11
172	No_Bena	10
172	dudcreeper	10
172	squigglybones	10
172	ECstardust	10
172	MoistMicrowave	10
172	Sebaschan__	10
172	Swexti	10
172	FirsTimeGamingTV	10
172	MyNameIsJobo	10
172	Tetzel55	10
172	Chuvacevedo	10
172	lizardfightclub	10
172	Manaateee	10
172	The_slideV3	10
172	Dogcorn69420	10
172	Njensen7	10
172	Rainaldus	10
172	CrazyPotater	10
190	hollowww	9
190	_Razaria	9
190	Croqu_	9
190	12Magner05	9
190	himak1	9
190	nitram49b	9
190	bee_gorl	9
190	XeroByMyth	9
190	cringenaynaybaby	9
190	SingedBread	9
190	FedirSpectator	9
190	diggydog67	9
202	rats_life	8
202	UltimuShadow	8
202	Lukeee33	8
202	rarrq	8
202	boog4loo	8
202	Kubelz	8
202	Zaridey	8
202	xFaiithyX	8
202	Malware_Mara	8
202	SuperPooch06	8
202	_Boipl_	8
202	Mpkkiller	8
202	CaptainDeadBread	8
202	RobotMinion101	8
202	Ender_Souls	8
202	theofiel	8
202	Wowful	8
202	Jiminbub	8
202	OtherAnimus	8
202	Xclax101	8
202	critNoxx	8
202	babyjimmyneutron	8
202	Kowcio_	8
202	tsitrawhy	8
226	titanlax	7
226	MrExplorer	7
226	Awyrlas	7
226	2Stout	7
226	ciemacigans	7
226	Marbz_	7
226	TakeThis2UrGrave	7
226	AJplaysMC_	7
226	Eczbox	7
226	Mr_Sun15	7
226	thgrocks	7
226	StinkyDiplomat	7
226	El_Jalapeno	7
226	Eczbek	7
226	Vellu21	7
226	00000000-0000-0000-0009-01ff0c3e5e4f	7
242	Zippyzam	6
242	youhjjhhhjj	6
242	InfernalMound	6
242	lunathelemon	6
242	Ecplosive	6
242	ImDisconnected_	6
242	Rumpletaezer	6
242	SamZombie	6
242	tobinwilliams	6
242	Will_Bee	6
242	skelctal	6
242	cedric72	6
242	TeenMomTom	6
242	sufjanlover	6
242	Tiktola01	6
242	Jaka_Saurus_715	6
242	cytotoxaint	6
242	IamGrey_Lol	6
242	SexcMf	6
242	xzvu	6
242	Nekomin0	6
242	Apicomplexa	6
242	ConnorDanky_	6
242	Kiki_Majiki	6
242	SilentKarma	6
267	Bandito_Roamer	5
267	NatalieTW	5
267	chipklip	5
267	Paint	5
267	FujiBS	5
267	Foof13	5
267	Paleshield	5
267	CoffeeNoir	5
267	Huwulling	5
267	Prismyst	5
267	spaece	5
267	Ssor69	5
267	Vizzoid	5
267	Jokerman369	5
267	crying_wolf_13	5
267	Gingayy	5
267	Dali1465	5
267	IforgotCS_Source	5
267	SomeWanderer	5
267	PegLegPete93	5
267	ROY4LE	5
267	Boogaloo242	5
267	Stealthlens	5
267	fallingemma	5
267	Arceus1975	5
267	Zythose	5
267	RohnJosin	5
267	Ideltic	5
267	YahooScreen9000	5
267	IamCL4SSY	5
267	kiluaemc	5
267	NoChumpChange	5
267	iamNaee	5
267	jambvds	5
