rank	username	minecraft:mined/minecraft:nether_gold_ore
145	Aryamanee	95
147	Moofyman	93
148	chimpmunker	92
148	Historical_Sand	92
148	athereall	92
151	Wolf_Mauler_73	90
152	DemTechAlpha	89
153	CalebDHawk	87
154	NieToksikpl	86
154	PigDab	86
156	Sleepy_Time_	84
156	Luminad3	84
158	ganyuganyu	83
159	ImpavidArcher	81
160	Lez_	80
160	Myszoaz	80
160	ConnorDanky_	80
163	Wooptey	78
163	trexgb	78
165	KGTV	77
165	TheEnderMan548	77
167	Hisiste	76
167	UltraZombie	76
169	Dakar_	75
170	Whiterooster001	73
170	corvidpartyfor6	73
170	xxPipperDipperxx	73
170	Legendosh	73
174	Eon_57	71
175	Decaying_Lotus	70
176	Blackberry1310	69
177	MinttyFressh	68
177	Blaiku	68
179	NameGenerat0r	66
179	MightyWertu	66
181	Lumien_	65
181	LexMakesHistory	65
183	Merv__	64
183	dartwaffle	64
183	Spenduh	64
183	WYFYoyo	64
187	EMC_	63
187	THEKINGLyric10	63
187	PortlyPete69	63
190	PhantomsGhost_	62
190	MineMaster0012	62
192	ARandomHedge	61
193	Secret_Canary	60
194	MissCeleste7	59
194	Nicserso	59
196	mexicancharlie	58
196	Soplight	58
198	Jackattack53	57
199	Di_infiri	56
200	Paint	55
200	fw3xy74	55
200	DarlaMeow	55
200	Fuad_R	55
204	I_Am_Mushkin	54
205	SmashingPump	53
206	eitanzaki	51
207	AuroraSkies	50
207	RoBe__	50
207	Heisenbberrg	50
210	RoskobiOne	49
210	Kubelz	49
212	anbbang	47
213	Racengan	46
213	_Ruzeeq_	46
215	Syropatathe	45
215	Nycteus_	45
217	Master_Kol	44
217	Erased_Identity	44
217	Jimb0nat0r	44
217	00000000-0000-0000-0009-01f898304150	44
221	rarrq	42
221	MilleGrug	42
223	H0UNDFRMH3LL	41
223	Raspberry_Sodas	41
225	Flores991	39
225	FirsTimeGamingTV	39
227	_Razaria	38
227	SkateboardR6	38
229	Krasnal1337	37
229	_Magdo_	37
229	Chromary	37
232	Myrlewen	36
232	BercikV	36
232	brofrickcheaters	36
232	SirBreadward	36
236	AuroraValkyrie	35
236	Megarboh	35
236	Chuvacevedo	35
236	gustarlep	35
240	BPTY4618	34
240	Tiberonus	34
240	spellmre	34
243	soundad	33
243	DinoDoctor_	33
243	4774	33
243	_Karmaa	33
243	SvenskaHugo	33
248	Skippeh	32
249	ccwildfire1	31
249	thescout7	31
249	Gab4101	31
249	XxCookiequeenxX	31
249	shrimp_flips	31
249	jnp_gaming	31
255	Sheldor097	30
255	tartanboy	30
255	Jordan_R	30
258	prizm_	29
258	sp00ky_ghost977	29
260	xPixelRainx	28
260	mwrty	28
260	ReSynced	28
263	Jovaphobic	27
263	mimbo1211	27
263	ReverendSmith	27
263	Shogunite	27
263	2blox_	27
268	Arch3lia	26
268	Enigma0251	26
268	SlayerCrypto	26
268	CACTUSLAD	26
268	cichy096	26
273	ratglock	25
273	ciemacigans	25
273	hanaryheatwave	25
273	ProfessorDiaper	25
273	xolstoi	25
278	QuiCreans	24
278	LazySupport00	24
278	IvarEXE	24
278	Eraxa	24
278	Steelynan	24
283	gren_ben	23
283	tuckerdoodle	23
283	Mattesco	23
283	NATE_the_HALO	23
283	Eczbek	23
288	stevewithclout	22
288	__TheNorseMan__	22
288	seramalen	22
288	groofles	22
288	NoChumpChange	22
288	WhyTho_1	22
288	FishisTTV	22
295	jaimshae	21
295	HesDemonPants	21
297	MixerDixer	20
297	mattybeewrapss	20
297	LeauVox4921	20
297	_Meow_Mix	20
