rank	username	minecraft:mined/minecraft:smoker
218	livingdaydreams	2
218	SidorAlex	2
218	peach0s	2
218	skroobiez	2
218	beeperbeeper5	2
218	Shazzyling	2
218	TheFlfthHorseman	2
218	Mercadies	2
218	NieToksikpl	2
218	Auseawesome	2
218	shdesolt	2
218	Cryptacity	2
218	StanceTB	2
218	catandmoose	2
218	Jokerman369	2
218	slkiey	2
218	mwrty	2
218	Bobby808	2
218	Xalithia	2
218	mipTheQueen	2
218	XboxPanda	2
218	TheDankPlatypus	2
218	SHAOBADMAN	2
218	Di_infiri	2
218	milltesco	2
218	Gzrdy	2
218	Rumpletaezer	2
218	fenkuu	2
218	AnnieBathory	2
218	Solar_Power	2
218	Krowuss	2
218	nut_e	2
218	F_Uhre	2
218	epiksk8erduck	2
218	ougstur	2
218	ClemenPine	2
218	Aangezet	2
218	KlausVonStiglitz	2
218	SolicitedPuma101	2
218	Mr_Gulle_	2
218	JESS_THE_RERE	2
218	1442	2
218	The_slideV3	2
218	Quincannon	2
218	Groundler	2
218	lordpipe	2
218	xyfrs	2
218	WyngGoy	2
218	shuniji_	2
218	SSytex_X	2
218	stellarjay	2
218	c0la_c0ca	2
218	Invintic	2
218	MineCryptian	2
218	mountaingirl311	2
218	TechnoNinja64	2
218	Spaghettatron	2
218	WYFYoyo	2
218	trexgb	2
282	gary_	1
282	funeralhome	1
282	SyK7	1
282	WinterSepp	1
282	dudcreeper	1
282	abramgray	1
282	awesomeweasel	1
282	Paint	1
282	dimondking777	1
282	Adem192	1
282	Nucket	1
282	Sleek_Storm_721	1
282	MikeIsSalty	1
282	Houstonion	1
282	Hyugo	1
282	JokoFiskare	1
282	RatatJuice	1
282	Incinere	1
282	RebelAndroid	1
