rank	username	minecraft:mined/minecraft:large_fern
211	BoopDoop_123	1
211	AshleeCW	1
211	chimpmunker	1
211	TheMilkerOfCats	1
211	bigstankyy	1
211	ImpavidArcher	1
211	Jagyeol	1
211	carsonpuff	1
211	_Razar	1
211	ManyVoices	1
211	Base_Tempest	1
211	NinjaKnifeKill	1
211	Myszoaz	1
211	MSK__	1
211	gaziter10	1
211	Swexti	1
211	Ganjier	1
211	l1dkv	1
211	Prodiginus	1
211	TuesdayEpisode	1
211	Auseawesome	1
211	BobDeBouwer1337	1
211	YungJakobo	1
211	_Nuf	1
211	noodlepack	1
211	isak_oskar	1
211	CyrusIsTired	1
211	Z3braYTIL	1
211	mwrty	1
211	surfinggiraffejp	1
211	Mobstr	1
211	trixterrx	1
211	Orcus113	1
211	Windo_licker	1
211	__Fanda__	1
211	MyNameIsJobo	1
211	Skylord_Luke	1
211	Infernowithazero	1
211	DanielMmm	1
211	FungalCat	1
211	Y0han3	1
211	superGamerBoy_	1
211	AAArcade101	1
211	brycepants	1
211	sammidk	1
211	Dan_Scha	1
211	DScatgirls	1
211	pongo2003	1
211	Klerick	1
211	TheTrueClipse	1
211	masskedman	1
211	WarpRanger	1
211	Deathkob	1
211	_Bguette_	1
211	GlitchMixed	1
211	Frozil12	1
211	yoyoYoloMonke	1
211	lolpoottoot	1
211	BuildTheGondola	1
211	Strangemonkey71	1
211	aywri	1
211	starbits140	1
211	Poppy235	1
211	PortlyPete69	1
211	Dreamdbr14	1
211	TheOuterCore	1
211	smogfrog	1
211	FelixPSY375	1
211	HesDemonPants	1
211	Zoeyfortnite	1
211	Yahrto	1
211	Teebone15	1
211	obtusely	1
211	trexgb	1
211	00000000-0000-0000-0009-01fa3caf2694	1
211	00000000-0000-0000-0009-01f898304150	1
