rank	username	minecraft:mined/minecraft:coarse_dirt
166	FreakGenius	33
168	rotten_mango	32
168	obzii	32
170	claivin	30
171	Tersea_	29
172	ImpavidArcher	28
173	eitanzaki	27
173	Karetoko	27
173	TheWickedBird	27
176	Niklas20114552	26
176	Crowman1	26
176	_Mythic____	26
176	ZoomieZoomie	26
180	StylesK	25
180	Snowflowe	25
182	Skylord_Luke	24
182	El_Jalapeno	24
182	pretty_pink_reno	24
182	SpaceTurtleOX	24
186	CaptainSteve345	23
186	thgrocks	23
186	Akoot_	23
186	fffMike	23
190	H0UNDFRMH3LL	22
190	cog	22
190	SammiWolfGirl	22
193	epiksk8erduck	21
193	QueenShuvi	21
193	Groundler	21
196	ebanana	20
196	CalebDHawk	20
198	The_slideV3	19
199	SirPiccardo	18
200	Stiar	17
200	wirelesstree	17
200	UrbanPlanningEx	17
203	Druid95	16
203	BubblyOrangutan	16
205	fragrantmonke444	15
205	TechnoNinja64	15
207	TooManyDuck	14
207	MattieHD	14
207	kars0n	14
207	IAmTheWalrus910	14
207	elliebelle107	14
207	smogfrog	14
213	SteveCraftBlocks	13
213	selectrix	13
213	Kynigito	13
213	lizardfightclub	13
213	Crumbls	13
213	SwooshBoi	13
213	ConnorTG5	13
220	SquadMonster	12
220	Notta	12
220	Ravenbie	12
220	SpicyMeatballs	12
220	mariominejedi	12
220	JollyDroopy52	12
220	Jiminbub	12
220	ItsJunoIGuess	12
228	Prismyst	11
228	PhantomBionic	11
228	seramalen	11
228	Eon_57	11
232	Sheepwarder	10
232	Euclidoris	10
232	Malorn_Aetherius	10
232	groggregg42	10
232	Reneedium	10
232	Mr_Sun15	10
232	AlexxO_o	10
232	_Karmaa	10
240	Bandito_Roamer	9
240	RatatJuice	9
240	TheSecondLord	9
240	Fullbit_	9
240	Kubelz	9
240	Marbz_	9
240	Hyp3rion_	9
240	bean__salad	9
240	Benzito07	9
240	Optiprimus	9
240	Skippeh	9
251	abdomera	8
251	Covalents	8
251	eiC_	8
251	bl1ss0	8
251	Nyxiom_	8
251	Juk3b0x	8
257	Deodorante	7
257	xX_Stalin69_Xx	7
257	00000000-0000-0000-0009-01ff0c3e5e4f	7
260	gren_ben	6
260	Hpdinosaur	6
260	MoistMicrowave	6
260	cyuar	6
260	YellowpowR	6
260	Koffeeinz	6
260	eviltunix	6
260	hcb238	6
260	wfk7	6
260	Maenara	6
260	IamCL4SSY	6
260	yulgur1	6
260	Deathkob	6
260	fluddd	6
260	Racengan	6
260	starbits140	6
260	Biites	6
260	Faart	6
278	Ze1ig	5
278	Nucket	5
278	w3nd3lbo3	5
278	heckface	5
278	Vizzoid	5
278	NieToksikpl	5
278	Boipl	5
278	K2IROS	5
278	Tyrannosplart	5
278	markaus77	5
278	33sudo	5
278	BlankityMcBlank	5
278	xzvu	5
278	Wolverine4302	5
278	FishisTTV	5
293	ExtraDumb	4
293	ZigzagLily43042	4
293	_Nat666	4
293	r123moore	4
293	caesarleon	4
293	Jonafrog99	4
293	U_Mos_	4
293	Corbsman	4
