rank	username	minecraft:mined/minecraft:sea_lantern
212	Gregward_Smith	31
212	Cryptacity	31
212	SuperPooch06	31
215	gamerlord1324	30
216	MSK__	29
216	Manaateee	29
218	Akoot_	28
218	TheKingK_	28
218	TheWickedBird	28
221	ShedJr_	27
221	Zaridey	27
221	GooseWithin	27
221	wezzzi	27
225	skroobiez	26
226	Bandito_Roamer	25
226	Kkanot	25
226	Olib3ar	25
226	SpouHn	25
226	_Karmaa	25
226	Kubeusz2010	25
232	Blammm	24
232	Fuad_R	24
234	dudcreeper	23
234	Notta	23
234	Elastiq	23
234	Fuhrer_Teemo	23
234	ChocolatePepsi	23
234	Skippeh	23
240	Ssor69	22
240	Crowman1	22
240	Gregory_Hause	22
243	mwrty	21
243	r123moore	21
243	Hoid_the_Roamer	21
243	_TCARREIRA_	21
247	whoaluv	20
247	Jiminbub	20
247	Segotep999	20
247	Eczbek	20
251	MattieHD	19
251	djancak	19
251	fffMike	19
251	Dreamdbr14	19
251	OfficerAnvil	19
256	6king6colt6	18
256	jacobsoy	18
256	BumbleBeever	18
259	AuroraValkyrie	17
259	kerryfull1	17
259	Eczbox	17
259	Kouridragon	17
259	Soplight	17
264	Jakobo1337	16
264	Touched_Bread	16
264	Skylord_Luke	16
264	bpmm	16
264	JoCoLi	16
269	soundad	15
269	benediktine1	15
269	fw3xy74	15
269	MovingFish7	15
273	Tersea_	14
273	ratglock	14
273	John6970	14
273	pappaberg	14
273	DairyNickel756	14
278	wickedword	13
278	Z3braYTIL	13
278	seramalen	13
278	LazySupport00	13
282	Sleepy_Evelyn	12
282	SpacesickPrism	12
282	little_dUki	12
282	trexgb	12
286	Da_Boss_Rani	11
286	NotMeanttoChange	11
286	LeauVox4921	11
286	platinumzero	11
286	Windo_licker	11
286	Donutt	11
286	ooga47	11
286	dartwaffle	11
286	thgrocks	11
286	XxCookiequeenxX	11
286	fluddd	11
286	sp00ky_ghost977	11
286	diggydog67	11
299	KarlKaek	10
299	SaucyDark	10
