rank	username	minecraft:mined/minecraft:smithing_table
175	DarlaMeow	1
175	The_slideV3	1
175	GlitchMixed	1
175	ewpunk	1
175	Steven1282598	1
175	the__Reaper4999	1
175	BumbleBeever	1
175	DeGodz4life	1
175	SkateboardR6	1
175	MovingFish7	1
175	WyngGoy	1
175	Razzgriz	1
175	stavgod	1
175	Eraxa	1
175	_Tilariel_	1
175	IdeallyGrey	1
175	djancak	1
175	starbits140	1
175	Spenduh	1
175	stahouo	1
175	Western_1	1
175	MilleGrug	1
175	alderban107	1
175	mobunni	1
175	anbbang	1
175	EcksD	1
175	cichy096	1
175	smogfrog	1
175	JungeSchnauzer	1
175	little_dUki	1
175	AltnumberF4	1
175	2blox	1
175	TechnoNinja64	1
175	Earlesstrain4	1
175	00000000-0000-0000-0009-01ff0c3e5e4f	1
