rank	username	minecraft:mined/minecraft:dark_oak_leaves
173	MakeHistory157	127
176	Comma__	126
176	AlphaWolfPlaysMC	126
178	CrazyPotater	125
179	rarrq	124
180	CookTheChef3	123
181	H72l9w	122
182	Kijiki	120
183	GingerNeutron	117
183	_Cloverbelle_	117
183	_Karmaa	117
186	imthatpikachu	116
186	paranoid_plant	116
188	6king6colt6	113
189	Sky_light_KING	112
189	Akoot_	112
191	tobinwilliams	111
192	ExtraDumb	108
192	PortlyPete69	108
192	annoyingenderman	108
195	Hoid_the_Roamer	107
195	PigDab	107
195	stuy9	107
195	GravitySaint	107
199	audiocracked	106
200	Matek_	104
201	07shiny	100
202	MattieHD	97
203	benediktine1	94
203	Rumpletaezer	94
203	dezxalo	94
203	SquidZooka2	94
207	MustaLoordi	93
208	sp00ky_ghost977	92
209	Xclax101	90
209	FishisTTV	90
211	Incinere	88
211	Ssor69	88
211	Queen_Jalapeno	88
214	MightyWertu	87
215	_Razar	85
215	NNikitas	85
217	the__Reaper4999	82
218	Base_Tempest	81
218	dragonstalker21	81
218	Smiguli_	81
218	PabloGonza02	81
222	bigstankyy	80
222	MissCeleste7	80
224	RobotMinion101	79
225	Lukeee33	78
226	TildaAndrea	76
226	r123moore	76
228	intropass	74
228	selectrix	74
230	eviltunix	73
230	KeruNatsema	73
232	BobDeBouwer1337	72
232	Darkgon	72
234	Mr_Byzantine	69
234	CollinMH06	69
234	2blox	69
237	wezzzi	68
238	livingdaydreams	67
238	smogfrog	67
240	ShedJr_	66
240	Hyp3rion_	66
242	Paintz	64
242	Avermu	64
242	ooga47	64
242	Kryktal	64
246	BlancoFlaco	63
246	natajimi	63
246	WYFYoyo	63
246	mediumBev	63
250	PncakeUniverse	61
251	PegLegPete93	60
251	SeverianTheLame	60
253	censorsheep	59
253	djancak	59
255	hollowww	57
255	yulgur1	57
257	Ardennes	56
257	MindyDooWho	56
257	DemTechAlpha	56
260	Steelynan	55
261	Harotio	54
261	Rich_Kat	54
261	Jij0	54
261	GlitchyPlate810	54
265	Cowison	53
265	Lumien_	53
265	Kakolbus	53
268	yatsuta	52
268	Luigipunch989	52
270	Scattman_	51
271	RoskobiOne	50
271	__tomato	50
273	felincaus	49
274	AuroraValkyrie	47
274	cowgirlkasia	47
274	The_slideV3	47
277	the_russell1611	46
277	RadarHz	46
279	KingFaenor	45
280	Skylord_Luke	44
281	Mr_Worthless	42
281	Nicky_H225	42
281	NormanFetus	42
281	YoshikageBites	42
281	Kateesaur	42
281	Tristankill	42
287	cringenaynaybaby	41
288	BINKENSTOCK	40
288	Drewen24	40
290	Yatitay	39
290	DangusCnt	39
292	peach0s	38
292	MSK__	38
294	BigBootyHudge	37
294	Inchef	37
296	PhantomsGhost_	36
296	Armattillo	36
296	JESS_THE_RERE	36
296	Nekomin0	36
300	fallingemma	35
