rank	username	minecraft:mined/minecraft:blast_furnace
177	Ezekson	4
177	smogfrog	4
177	WYFYoyo	4
205	TheBiggestFeller	3
205	SugarMyNuggets	3
205	freeandrew	3
205	hm947	3
205	JokoFiskare	3
205	_Razaria	3
205	livingdaydreams	3
205	Jahara	3
205	Base_Tempest	3
205	Lez_	3
205	fr0stss	3
205	uhm__okay	3
205	m_be9	3
205	Guillemet	3
205	thescout7	3
205	PegLegPete93	3
205	xxPipperDipperxx	3
205	Marbz_	3
205	SuperPooch06	3
205	whoaluv	3
205	Chromary	3
205	hanaryheatwave	3
205	JitteryJared2	3
205	The_Fulgurator	3
205	ooga47	3
205	PigDab	3
205	ADEXTV	3
205	ReSynced	3
205	NoChumpChange	3
205	Blu3beast	3
205	OffWithTheirHead	3
205	CalebDHawk	3
237	seanitoo	2
237	elicobnoah	2
237	abramgray	2
237	Cowison	2
237	teslawolf38	2
237	EMC_	2
237	Jagyeol	2
237	Incinere	2
237	Wooptey	2
237	Raltemoxitonica	2
237	NoHaHeHa	2
237	Alteriity	2
237	AlazelTheReal	2
237	Reamdin	2
237	sejekasper1	2
237	Swexti	2
237	QuiCreans	2
237	Pofen	2
237	TheFlfthHorseman	2
237	Stynxy	2
237	NieToksikpl	2
237	Ravenbie	2
237	_Dean_123	2
237	_lildarki3	2
237	Awyrlas	2
237	Mariopreeet	2
237	Inchef	2
237	Cellcorgi649	2
237	2Stout	2
237	Paintz	2
237	ARandomHedge	2
237	XboxPanda	2
237	SHAOBADMAN	2
237	Zorin_Blitz	2
237	issazumi	2
237	Hyp3rion_	2
237	Zythose	2
237	oscminus	2
237	TheWildMateo	2
237	The_Cruncy	2
237	F_Uhre	2
237	epiksk8erduck	2
237	AlexxO_o	2
237	ougstur	2
237	SaintJosie	2
237	Leonidas2k17	2
237	rotten_mango	2
237	Toiton	2
237	Dakar_	2
237	DarlaMeow	2
237	Quincannon	2
237	NameGenerat0r	2
237	claivin	2
237	Racengan	2
237	xyfrs	2
237	Optiprimus	2
237	xzvu	2
237	_TCARREIRA_	2
237	nonarso	2
237	Iamthejo	2
237	JungeSchnauzer	2
237	2blox_	2
237	vandmanden	2
300	gary_	1
