rank	username	minecraft:mined/minecraft:mossy_cobblestone
207	KingFaenor	36
207	Soap_Bender	36
207	Xclax101	36
207	Dusk_95	36
211	Groovy_MoonBird	35
211	Crowvens	35
211	TheMilkerOfCats	35
211	Ssor69	35
211	XeroByMyth	35
216	LittleBug562	34
216	Nesquiczek	34
216	Blackberry1310	34
216	wwwwinnebagoooo	34
220	Ozixar	33
220	WarMachina	33
220	remmisrat	33
223	gaziter10	32
224	lOlmantschi	31
224	Luigipunch989	31
226	pixelviolin	30
227	bloodbiter	29
227	Arceus1975	29
227	killmeiamtraitor	29
227	Rebytre	29
231	Matyyy15	28
232	CaptainSteve345	27
232	AnnieBathory	27
232	Fizznut909	27
235	SquadMonster	26
235	MilleGrug	26
237	Yellowpowr	25
237	chlorinex	25
237	InfernalMound	25
240	SuperPooch06	23
240	Pickel_Lord	23
242	AuroraValkyrie	22
242	FirsTimeGamingTV	22
242	benediktine1	22
242	Lord_Jord	22
242	MAns_44	22
242	SUN_DREAM	22
248	NinjaKnifeKill	21
248	JESS_THE_RERE	21
250	Historical_Sand	20
250	Dan_Scha	20
250	DTwenty	20
250	Juk3b0x	20
250	tsitrawhy	20
255	CruncyIsTaken	19
255	Steelynan	19
257	grislgrobl	18
257	jnp_gaming	18
259	Stynxy	17
259	Hoid_the_Roamer	17
259	The_Skramz	17
259	claivin	17
263	Cryptacity	16
263	MinttyFressh	16
263	MonitorLizards	16
263	Fuhrer_Teemo	16
267	Bruh77	15
267	301851	15
267	Mewar	15
267	Deodorante	15
267	DarkS0L	15
267	adiccting01	15
273	livingdaydreams	14
273	Smashic	14
273	Useless_Relic	14
273	Donutt	14
273	Will_Bee	14
273	lordpipe	14
279	PhantomsGhost_	13
279	Sabby65	13
279	fade_emerge78823	13
279	hcb238	13
279	HypixelForums	13
279	DarlaMeow	13
279	cytotoxaint	13
279	LordSpeed37	13
279	UCP_TheKingK	13
279	djancak	13
289	Notta	12
289	_8man	12
289	Nyxiom_	12
289	Lord_Zacler	12
289	ayamefag	12
289	h2p_emrld	12
295	Tommhh	11
295	Koffeeinz	11
295	Nycteus_	11
295	Airem_Core	11
299	lewieinnit	10
299	hm947	10
