rank	username	minecraft:mined/minecraft:deepslate_diamond_ore
129	I_Moose	54
129	NomadicRobin_	54
129	EngagedGrub41	54
129	Legendosh	54
129	Jimb0nat0r	54
134	CowOfTheNile	53
134	THEKINGLyric10	53
136	Flores991	52
136	ApophisNova	52
136	dartwaffle	52
136	MyNamaSheff	52
140	Prismyst	51
141	QuiCreans	50
142	ccwildfire1	49
142	Veillax135	49
144	PazinGaming	48
144	chrolus	48
144	KingEgg1	48
144	Racengan	48
144	Kekoo	48
149	kyouma777	47
150	ZaneABrain	46
150	PigDab	46
150	Hail_the_wombat	46
150	Weepingbiel	46
154	eitanzaki	44
154	noam464	44
156	yulgur1	43
156	OffWithTheirHead	43
156	Hisiste	43
156	Meeerkat	43
160	UCP_TheKingK	42
161	LeDuctTape	41
161	Silvo614	41
161	TheEnderMan548	41
164	ConJaBz	40
164	Lord_Doob	40
166	RoofTyler	38
166	weabis	38
168	Toriankel	37
169	masskedman	36
169	RoBe__	36
169	mobunni	36
169	2bolx_	36
173	Skylord_Luke	35
173	Steelynan	35
173	Aryamanee	35
176	EtherealSilveon	33
176	H_O_M_H	33
176	ATurtle4936	33
176	ChronoSounds	33
176	IdeallyGrey	33
181	MuffinManzz	32
181	ChampPog_	32
181	CuzIm2Kev	32
184	PortlyPete69	31
185	SBean737	30
185	Methalox1	30
187	Ze_BaronKrigler	29
188	verynothing	28
188	00000000-0000-0000-0009-01f073f37a91	28
190	kidel03	27
190	bananamix994	27
190	Yahir091	27
190	sylvstarr	27
194	NieToksikpl	26
194	Cellcorgi649	26
194	MyNameIsDakar	26
197	Lord_Zacler	25
197	FreakGenius	25
197	WYFYoyo	25
200	CoffeeNoir	24
201	WeebleSock	23
201	youarefrench_	23
203	Mr_Byzantine	22
203	Vegvisir	22
205	Zackran	21
206	rarrq	20
206	_Karmaa	20
206	RadarHz	20
209	ImpavidArcher	19
209	ShedJr_	19
209	SquadMonster	19
209	Vicemaniac	19
209	its_lupus	19
214	Hermanni__	18
214	00000000-0000-0000-0009-01fbab7ea71d	18
216	CloroxBleach385	17
216	catandmoose	17
216	_Boipl_	17
216	Jeteight	17
216	Dennid	17
216	NameGenerat0r	17
216	Sheldor097	17
223	Merv__	16
223	ZeroAbyssTTV	16
223	GlitchyPlate810	16
226	CollinMH06	15
226	DubDoesGams	15
226	CalebDHawk	15
229	JuuustYeet	14
229	Blackberry1310	14
229	wilgot_	14
229	Deathkob	14
229	EtherealEspresso	14
229	uDank	14
235	Gemstuff	13
235	MogusBussy69	13
235	Koffeeinz	13
238	Enigma0251	12
238	videogames_	12
238	Toasty_Tom	12
238	Bonzaidalek	12
238	alderban107	12
243	RatatJuice	11
243	noful	11
243	Solar_Power	11
243	lizardfightclub	11
243	Human_Resource	11
248	Creativebuilder2	10
248	DinoDoctor_	10
248	Khelvoryk	10
248	SuperPooch06	10
248	StinkyDiplomat	10
253	PhantomBionic	9
253	Kamflame10	9
253	lorpus	9
253	breadbowlgamer	9
253	BenPenguin	9
253	Lord_Jord	9
253	Sepulcro	9
253	Eczbek	9
261	The_lost_his_tea	8
261	crying_wolf_13	8
261	Glowhetic	8
261	SpaggeDR	8
261	athereall	8
266	Ev0luti0nz	7
266	_stets	7
266	T045RTY	7
266	Mookle96	7
266	Ezekson	7
271	rachcl	6
271	Chickenchaser2	6
271	hcb238	6
271	benediktine1	6
271	smarticuno	6
271	DarkS0L	6
271	underscore_2	6
271	Skippeh	6
271	Umbreon900	6
280	mix9ine_maz	5
280	shineh10	5
280	VG_RDF	5
280	Harobrime	5
280	kekhon	5
280	Ghemmah	5
280	Luminad3	5
280	Joestra	5
280	sp00ky_ghost977	5
289	Lumien_	4
289	BINKENSTOCK	4
289	4774	4
289	Covalents	4
289	LitoDelvito	4
289	Klerick	4
289	xolstoi	4
296	q_wq	3
296	IronArshXS	3
296	dimitri0s	3
296	tlal002	3
296	4383	3
