rank	username	minecraft:mined/minecraft:pink_tulip
87	diggydog67	11
96	Prismyst	10
96	Blackberry1310	10
96	SoftSix	10
96	wobn	10
96	Njensen7	10
101	eitanzaki	9
102	Bandito_Roamer	8
102	AJplaysMC_	8
102	Bumpy419	8
102	_zzoe	8
102	sadvavilloso	8
102	CattSoup	8
102	mountaingirl311	8
102	TechnoNinja64	8
110	SugarMyNuggets	7
110	m_be9	7
110	Nicky_H225	7
110	M_Patata	7
110	Zaridey	7
110	MasterNueve	7
110	Ezekson	7
117	Zippyzam	6
117	301851	6
117	Scathra	6
117	mwrty	6
117	Vetral1	6
117	chipklip	6
117	ozekigod	6
117	lolpoottoot	6
117	SexcMf	6
117	bloomkieren	6
117	HesDemonPants	6
117	561cool	6
129	Jorrdi	5
129	Natty	5
129	TheMaster972	5
129	ratglock	5
129	KillerNekoRain	5
129	epiksk8erduck	5
129	Leyna3	5
129	cog	5
129	Vicemaniac	5
129	AvaRosey	5
129	Hermanni__	5
129	ScarmedLeft	5
141	BilboBaggins23	4
141	set67	4
141	Avrelion	4
141	Winklepicker279	4
141	Nicole_Plus	4
141	Skylord_Luke	4
141	HellsSponge	4
141	Xclax101	4
141	Blaiku	4
141	Mistruth	4
141	Eraxa	4
141	IdeallyGrey	4
141	Sheldor097	4
141	mawileite	4
141	Enderslayerxz3	4
141	Sral7	4
157	rats_life	3
157	fanofbands101	3
157	squigglybones	3
157	jspwn	3
157	DinoDoctor_	3
157	Reamdin	3
157	Myszoaz	3
157	TheSecondLord	3
157	Nab3rius	3
157	thescout7	3
157	emrekn	3
157	Inchef	3
157	Xalithia	3
157	Ecplosive	3
157	vampgey	3
157	bee_gorl	3
157	Maenara	3
157	NameGenerat0r	3
157	stahouo	3
157	a_smol_bean	3
157	ZoomieZoomie	3
157	imaginek1d	3
157	PlasticOtari	3
157	h2p_emrld	3
181	BleachedBussy	2
181	Jalvajar	2
181	I_Am_Mushkin	2
181	whitewolfy101	2
181	Adlair	2
181	jacxhadow	2
181	MattieHD	2
181	Cortexia	2
181	GingerNeutron	2
181	TheDiamondCG	2
181	AngalexikCZ	2
181	Dali1465	2
181	Diavri	2
181	Covalents	2
181	NotoriousNina	2
181	0nly_sn1per	2
181	BigMoneyH	2
181	sarahlynn00	2
181	grislgrobl	2
181	PigDab	2
181	Shavrin	2
181	PhoenixAlpha	2
181	tyraxxx	2
181	DarkS0L	2
181	fluddd	2
181	Groundler	2
181	Barlycorn	2
181	halfbakedlasagna	2
181	Typadopoulos	2
181	monky_irl	2
181	LordSpeed37	2
181	UCP_TheKingK	2
181	obzii	2
214	Froste131	1
214	diminub	1
214	pZygh0st	1
214	EMC_	1
214	Houstonion	1
214	IrateGamer	1
214	LoganDSA	1
214	bra1nbrain	1
214	RebelAndroid	1
214	ShedJr_	1
214	nocturne78	1
214	titanlax	1
214	cowgirlkasia	1
214	DarkFisto	1
214	Gary120	1
214	Comma__	1
214	bloodbiter	1
214	Ravenbie	1
214	ProfessorBee	1
214	shyshyannne	1
214	G1ldor	1
214	boog4loo	1
214	_Minnty_	1
214	Z3braYTIL	1
214	peecies	1
214	LavenderBi1ch	1
214	2Stout	1
214	Cerbric	1
214	mimbo1211	1
214	fallingemma	1
214	Typkazprahe	1
214	Rocketlaunchers	1
214	mariominejedi	1
214	yorgisomregy	1
214	CARGOESVROOM_7	1
214	MyNameIsJobo	1
214	wTXop	1
214	Fast_Turtle	1
214	Prayingninja	1
214	regulator75	1
214	DAD_1996	1
214	TheWildMateo	1
214	Werbe	1
214	DanielMmm	1
214	iNotSpeak	1
214	MikeTheMan4423	1
214	Ender_Souls	1
214	brycepants	1
214	LilLizardWizard	1
214	Luminad3	1
214	Blackerstons	1
214	Sky_light_KING	1
214	Negriuke	1
214	LibertyMutual	1
214	NomadicRobin_	1
214	audiocracked	1
214	1442	1
214	claivin	1
214	Deerfoot	1
214	Frozil12	1
214	sollyumber	1
214	Kowcio_	1
214	AssFullaCum	1
214	Bawbman	1
214	brofrickcheaters	1
214	Poppy235	1
214	fffMike	1
214	jcool7	1
214	LeeMcGee30	1
214	KingMatthew506	1
214	Skippeh	1
214	LUICHA	1
214	BiggieDawg	1
