rank	username	minecraft:mined/minecraft:grass
168	mwrty	1206
169	_stets	1195
170	Deodorante	1170
171	set67	1163
172	Zythose	1158
173	Seindi	1152
174	j5ylim	1151
175	IAmTheWalrus910	1132
176	TheWildMateo	1108
177	Windo_licker	1098
178	Killercatty78	1077
179	Bandito_Roamer	1075
180	Euclidoris	1047
181	emrekn	1043
182	legal_tax_evader	1041
183	StinkyDiplomat	1040
184	Druid95	1034
185	Saucepeh	1026
186	00000000-0000-0000-0009-01ff0c3e5e4f	1020
187	Touched_Bread	1017
187	monky_irl	1017
189	NLKBuilder	1011
190	aldplaysmc	1007
191	RobotMinion101	995
192	firesgal3116	989
193	wobn	986
194	cichy096	978
195	ZoomieZoomie	974
196	KeruNatsema	972
197	stellarjay	968
198	NotMeanttoChange	954
199	diggydog67	944
200	Nicky_H225	931
201	I_Am_Mushkin	928
202	TheSeismicDuck	920
203	Winklepicker279	914
204	Hyugo	912
205	epiksk8erduck	905
206	CalebDHawk	884
207	Motsaro	875
208	Blazebit	861
209	CornOnTheCobalt	854
210	Bolete	850
211	Silvo614	849
211	laron58	849
213	AstreaTSS	846
214	NieToksikpl	840
215	shdesolt	835
216	Hahaa_0	827
217	Megarboh	826
218	AspenLightVT	819
219	AnnieBathory	815
220	paranoid_plant	811
221	CLG_Kata	803
222	Kferno	802
223	__tomato	801
224	Blasterboy54	799
225	Gzrdy	796
225	ReyTheLegend	796
227	LavenderBi1ch	795
228	fffMike	792
229	annebolyn	790
230	EngagedGrub41	780
231	Moss_2006	767
232	True_Clipse	761
232	ebanana	761
232	Schlitzman	761
235	WyngGoy	757
236	MovingFish7	756
236	FormulaNewt3627	756
238	6king6colt6	755
239	prizm_	754
240	grislgrobl	748
241	jillian12345	741
242	Cryptacity	737
243	_vlex	736
244	Ssor69	733
245	SaucyDark	728
245	PartyPhoenix	728
247	Maenara	727
248	lunaticusx	717
248	RohnJosin	717
250	MrMeisterProper	711
251	SlayerCrypto	710
252	SaphLaseer	705
252	IamCL4SSY	705
254	bigstankyy	704
255	EdGalbraith	700
256	iElijahi	696
257	NoChumpChange	695
258	gcaisawesome	685
259	q_wq	684
260	Ozixar	683
260	groofles	683
262	Boipl	682
262	audiocracked	682
264	Quincannon	681
265	Leaille	679
266	Darkgon	678
267	301851	677
268	tortillatitan	676
268	tartanboy	676
270	DanTheBuilderino	675
270	DennyKai	675
272	r123moore	673
273	SPUDonSTEROIDS	667
274	IronicUwU1	664
275	Sebaschan__	663
276	Ilinca_Io	658
277	o0z	655
278	BRRRN179	652
279	Kateesaur	651
280	Cowison	646
281	parodypatient	644
282	natajimi	638
283	AJplaysMC_	637
284	stuy9	632
285	Eraxa	631
286	MinuteMira	630
287	zorin123	629
288	FelixPSY375	628
289	Crowman1	626
290	kiluaemc	625
291	Presisor	623
291	Smashic	623
291	jewbacaman	623
294	belly0_0	617
295	Shychelsoo	611
296	KingMatthew506	607
297	Myszoaz	597
298	MightyWertu	596
299	YairZaki	595
300	Malorn_Aetherius	591
