rank	username	minecraft:mined/minecraft:cactus
204	Blu3beast	14
204	ProfessorDiaper	14
204	monky_irl	14
204	LordSpeed37	14
204	Luigipunch989	14
216	ECstardust	13
216	Pofen	13
216	Vizzoid	13
216	xxPipperDipperxx	13
216	Hiryu27	13
216	Dakar_	13
216	Barlycorn	13
223	Incinere	12
223	oreee	12
223	SvenskaSara	12
223	lordpipe	12
223	hdtpm	12
228	Ajax6	11
228	Lord_Jord	11
228	dvlle	11
228	GravitySaint	11
228	Racengan	11
228	jcool7	11
228	MissCeleste7	11
235	k_ce	10
235	Bandito_Roamer	10
235	Mowelan	10
235	ImNotYuqii	10
235	livingdaydreams	10
235	ougstur	10
235	Romeom175	10
235	ori0le	10
235	cytotoxaint	10
235	IAmTheWalrus910	10
235	lcvezra	10
235	MirielThePastor	10
247	TAKrules	9
247	ehunt54	9
247	Taddaiv	9
247	WarMachina	9
247	bearlystraight	9
247	Karbl	9
247	BartekB19	9
247	EngagedGrub41	9
247	tompup	9
247	2blox_	9
257	PhantomsGhost_	8
257	KarlKaek	8
257	Valoth	8
257	_Nat666	8
257	GLLogan2	8
257	intropass	8
257	SPUDonSTEROIDS	8
257	whoaluv	8
257	hanaryheatwave	8
257	RobotMinion101	8
257	Kynigito	8
257	LilLizardWizard	8
257	avalan64	8
257	_Karmaa	8
257	LeeMcGee30	8
257	MilleGrug	8
273	Elprone266	7
273	Pearlplatinum	7
273	Creativebuilder2	7
273	DinoDoctor_	7
273	RebelAndroid	7
273	Prismyst	7
273	MattieHD	7
273	Masssonnn	7
273	AnnieBathory	7
273	Mattesco	7
273	Skomo	7
273	Warlord324	7
273	mihimihimihi	7
273	Soul_Atreus	7
273	xzvu	7
273	stellarjay	7
273	jnp_gaming	7
273	CrazyPotater	7
273	FishisTTV	7
292	MunkaKris	6
292	Jorrdi	6
292	Wolf_Mauler_73	6
292	SirUnderpants	6
292	12Magner05	6
292	Pelbo	6
292	potato292	6
292	Smashic	6
292	Awyrlas	6
