rank	username	minecraft:mined/minecraft:jungle_planks
173	h2p_emrld	7
177	dimondking777	6
177	301851	6
177	noodlepack	6
177	Toriankel	6
177	Optiprimus	6
177	Eraxa	6
183	Silenttieg	5
183	Historical_Sand	5
183	Smashic	5
183	set67	5
183	Giannism	5
183	RefluxRatio	5
183	natajimi	5
183	jambvds	5
191	hollowww	4
191	Sabby65	4
191	MLG_Kirby69	4
191	zorin123	4
191	corvidpartyfor6	4
191	egglapras	4
191	andy_rex	4
191	ese_wn_po	4
191	lillips	4
191	cringenaynaybaby	4
191	stellarjay	4
191	Nicserso	4
191	The_SlideV5	4
191	KASAN420	4
205	jjettii	3
205	TooManyDuck	3
205	_Razar	3
205	MOSS000	3
205	nocturne78	3
205	ToxicHauntling	3
205	Motsaro	3
205	_naturell	3
205	Kim_Jong_eel	3
205	lizardfightclub	3
205	LexMakesHistory	3
205	HELLO_I_AM_BEAR	3
205	splatterhawk	3
205	Keeogwi	3
205	MakeHistory157	3
205	Fizznut909	3
205	Nekomin0	3
205	Soffbord	3
205	EcksDofficial	3
205	coobert42	3
225	Jovaphobic	2
225	PhantomsGhost_	2
225	fanofbands101	2
225	SlowMoNinja1994	2
225	neurotic_a	2
225	capn__crunch	2
225	youhjjhhhjj	2
225	Natty	2
225	MSK__	2
225	FirsTimeGamingTV	2
225	Euclidoris	2
225	MrExplorer	2
225	ProfessorBee	2
225	LotusProject	2
225	Stiar	2
225	Noah_Bez	2
225	_Boipl_	2
225	epiksk8erduck	2
225	sxc_	2
225	Lord_Zacler	2
225	XxCookiequeenxX	2
225	LargeCarl	2
225	Warlord324	2
225	Dusk_95	2
225	SammiWolfGirl	2
225	2blox	2
225	JayToe	2
252	Jalvajar	1
252	Dedalus36	1
252	Yeltzin	1
252	hm947	1
252	Sna_Ke	1
252	TheEnusa	1
252	Shazzyling	1
252	Vizzoid	1
252	QuakerOatsGod	1
252	Gary120	1
252	Megarboh	1
252	G1ldor	1
252	crying_wolf_13	1
252	Inchef	1
252	intropass	1
252	SellyZ	1
252	noam464	1
252	eiC_	1
252	Zaridey	1
252	BlueZabu	1
252	mariominejedi	1
252	GOOBERGABE04	1
252	burbankbuilder28	1
252	Nyxiom_	1
252	Donutt	1
252	Nickitoe	1
252	k1ngGilgamesh	1
252	KartivGal	1
252	CarryLine	1
252	RodSerlingCringe	1
252	masskedman	1
252	Qorbyn	1
252	sufjanlover	1
252	ori0le	1
252	DemTechAlpha	1
252	Darkgon	1
252	GlitchMixed	1
252	claivin	1
252	Steven1282598	1
252	BumbleBeever	1
252	Hisiste	1
252	IvarEXE	1
252	WytchKraft	1
252	07shiny	1
252	Chayula	1
252	somegirl12_	1
252	MissCeleste7	1
252	Quotary	1
252	FelixPSY375	1
