rank	username	minecraft:mined/minecraft:glass
227	Ailmast	95
227	masskedman	95
227	lcvezra	95
231	KartivGal	94
232	PegLegPete93	93
233	Louiis123	92
233	Hoshi	92
233	hdtpm	92
236	Masssonnn	91
237	madderfall	90
238	Tjhodskins19	89
239	Quincannon	88
240	Russiancat1	87
240	Factoroni	87
242	SuperPooch06	86
242	KlausVonStiglitz	86
242	laron58	86
242	little_dUki	86
246	ItsJunoIGuess	85
246	jnp_gaming	85
248	FirsTimeGamingTV	83
248	Fizznut909	83
250	KGTV	82
251	censorsheep	81
252	Panoe	79
253	Kubelz	78
253	pappaberg	78
255	hm947	75
256	GarthWiest	74
256	YungJakobo	74
258	kinas45y5	72
259	Frxnkz	70
259	KeruNatsema	70
261	Cortexia	69
261	ProbsNotNova	69
261	KingMatthew506	69
264	heckface	68
264	jiggywraps	68
266	Solar_Power	67
266	Soffbord	67
266	Kubeusz2010	67
269	m_be9	66
269	arcanemagic	66
271	jspwn	65
271	Hpdinosaur	65
271	Alteriity	65
271	Xalithia	65
271	JoCoLi	65
276	Groovy_MoonBird	64
276	tikitikitik4	64
276	burbankbuilder28	64
276	Studyhallsaver	64
276	UltraZombie	64
281	WyngGoy	63
281	Kowcio_	63
283	BodaciousCake	62
283	starbits140	62
285	LexMakesHistory	61
286	SaucyDark	60
286	Winklepicker279	60
286	Kynigito	60
286	camando92	60
290	fade_emerge78823	59
290	John6970	59
292	ItzYaBoiPicard	58
292	Kyrum2169	58
294	CookTheChef3	57
294	h2p_emrld	57
296	LionelHutzESQ	56
296	YahooScreen9000	56
296	BumbleBeever	56
296	2blox	56
300	VentiHilton	55
