rank	username	minecraft:mined/minecraft:ice
150	Awyrlas	104
151	Jackattack53	99
152	Fuhrer_Teemo	94
153	Kubeusz2010	93
154	Natofthese	92
155	THExMuffinx	91
155	Nycteus_	91
157	hm947	90
158	TheShyPig	89
159	PlzNoBM	85
160	Kowcio_	83
161	Enigma0251	81
162	QueenShuvi	80
163	SaucyDark	79
164	JESS_THE_RERE	78
165	_Karmaa	75
166	EMC_	73
167	lizardfightclub	72
168	Slapface522	71
169	Myszoaz	66
170	h2p_emrld	65
171	Guillemet	63
171	IforgotCS_Source	63
171	GlitchyPlate810	63
174	mwrty	62
175	Os_qq	61
176	ssleepless	60
177	benediktine1	59
178	ThatMan_Dave	58
179	Covalents	57
180	Inchef	56
181	strongman951753	51
181	RedcatVII	51
181	vandmanden	51
181	TechnoNinja64	51
185	WyngGoy	50
186	RadarHz	49
187	M_Patata	48
187	MasterNueve	48
189	Rasmanden	47
190	T045RTY	46
191	cedric72	45
192	tobinwilliams	44
193	Natty	43
193	SingedBread	43
195	tramizu	42
195	wrinkledpiglet	42
197	Bandito_Roamer	41
197	masskedman	41
199	AlazelTheReal	40
199	EfficientC52	40
201	Powowowow	39
202	xxPipperDipperxx	37
202	Sqwishy	37
202	HyperCave	37
205	SoftSix	36
206	6king6colt6	35
206	Nicky19	35
206	NameGenerat0r	35
206	IAmTheWalrus910	35
210	Dedalus36	30
210	sammidk	30
212	lordofthelight95	28
212	Kyrum2169	28
214	NotMeanttoChange	27
214	RobotMinion101	27
214	CaptainAvenger7	27
214	rotten_mango	27
214	Miko_Fullbuster	27
219	Skippeh	25
219	MelodyGaysharks	25
221	heysushii	24
221	BlancoFlaco	24
221	kyouma777	24
224	TTNG	23
225	SidorAlex	22
225	The11thDoctor	22
227	Harotio	21
227	LovelyDane	21
227	Euclidoris	21
230	teslawolf38	20
230	Comma__	20
230	DeeDeeThonk	20
230	jambvds	20
234	peachfuzz1267	19
234	Adlair	19
236	rats_life	18
236	Jahara	18
236	Donutt	18
236	KartivGal	18
236	Shiirazuku	18
236	BlankityMcBlank	18
236	Moetis	18
236	scarletwarrior1	18
244	Jovaphobic	17
244	seanitoo	17
244	ratglock	17
244	surfinggiraffejp	17
244	Nekomin0	17
249	MinttyFressh	16
249	Dabatha	16
251	xyct	15
251	H72l9w	15
251	OfficerAnvil	15
254	Flapjacker687	14
254	_naturell	14
256	bigstankyy	13
256	Arceus1975	13
256	burbankbuilder28	13
256	Juh1s	13
260	MattieHD	12
260	Leyna3	12
260	englandlondon	12
260	SvenskaHugo	12
264	purpolepickle	11
264	yulgur1	11
264	audiocracked	11
264	madderfall	11
264	fluddd	11
264	stahouo	11
264	AltnumberF4	11
271	TiborSterle	10
271	pixelviolin	10
273	Gary_	9
273	Kubelz	9
273	HolyVenom	9
273	MovingFish7	9
273	00000000-0000-0000-0009-01faf1bfa8f4	9
278	Blu3beast	8
278	Xclax101	8
278	Steven1282598	8
278	TheOuterCore	8
278	Legendosh	8
278	Kiki_Majiki	8
284	123louis456	7
284	dabloons	7
284	Nach0Bear	7
284	Peeing	7
284	fred870d	7
284	Oragious	7
284	RodSerlingCringe	7
284	ediballbearings	7
284	2blox	7
293	CueMix	6
293	jspwn	6
293	IWorkAtIkea	6
293	Auseawesome	6
293	shyshyannne	6
293	420BreadLizard	6
293	Racengan	6
293	erkada	6
