rank	username	minecraft:mined/minecraft:stripped_birch_log
108	stellarjay	11
108	anbbang	11
108	Lowjinx	11
115	Sleek_Storm_721	10
115	livingdaydreams	10
115	CarltheCuck	10
115	Inbefour	10
115	SingedBread	10
115	smogfrog	10
121	_Bguette_	9
122	LoboTheLobster	8
122	surfinggiraffejp	8
122	DC_XII	8
122	KlausVonStiglitz	8
122	UrbanPlanner1978	8
122	DkansK	8
128	Groovy_MoonBird	7
128	Arceus1975	7
128	Leeeegend	7
128	Human_Resource	7
128	07shiny	7
133	Travasaur	6
133	nataliecool	6
133	Wooptey	6
133	nocturne78	6
133	Ssor69	6
133	TheSecondLord	6
133	Chazama	6
133	purpolepickle	6
133	ItsDeltaMC	6
133	Spenduh	6
143	Ailmast	5
143	Simon_Lowell	5
143	0nly_sn1per	5
143	Zielo2017PL	5
143	Katsuragi0243218	5
143	chipklip	5
143	HellsSponge	5
143	LokisCharredFace	5
143	a_smol_bean	5
143	knzil	5
143	trexgb	5
143	h2p_emrld	5
155	joethahobo	4
155	DermeinUser	4
155	GreedyFern8581	4
155	Rasmanden	4
155	claivin	4
155	Racengan	4
155	Optiprimus	4
155	YungMaki	4
163	Franco093	3
163	heckface	3
163	Cryptacity	3
163	pr33tu	3
163	eviltunix	3
163	XboxPanda	3
163	Hiryu27	3
163	Truckoss	3
163	HyperCave	3
163	Kokeech	3
163	KliBeast21	3
163	DarlaMeow	3
163	BumbleBeever	3
163	SammiWolfGirl	3
163	Powowowow	3
178	PhantomsGhost_	2
178	ExtraDumb	2
178	Kuragari_	2
178	Comma__	2
178	_Nuf	2
178	Awyrlas	2
178	MitexFTW	2
178	phomic	2
178	Jackattack53	2
178	MangoTheFish	2
178	Mpkkiller	2
178	grislgrobl	2
178	jewbacaman	2
178	yulgur1	2
178	Fuhrer_Teemo	2
178	n0qtrnL	2
178	Yahir091	2
178	Xovalt_	2
178	Sank34	2
178	stahouo	2
178	_3Stump_	2
178	cichy096	2
178	2blox	2
178	vandmanden	2
178	PlasticOtari	2
178	YoshikageBites	2
204	Bandito_Roamer	1
204	Skyler_Diablo	1
204	fanofbands101	1
204	dabloons	1
204	teslawolf38	1
204	q_wq	1
204	Tommhh	1
204	_Razar	1
204	Incinere	1
204	T045RTY	1
204	AlazelTheReal	1
204	ccormacs	1
204	MrMattyPatt	1
204	Prodiginus	1
204	Zedducius	1
204	FemboyFwuit	1
204	AngalexikCZ	1
204	Masssonnn	1
204	Nach0Bear	1
204	Mariopreeet	1
204	Dali1465	1
204	IforgotCS_Source	1
204	Inchef	1
204	ROY4LE	1
204	xxPipperDipperxx	1
204	Zaridey	1
204	Kakolbus	1
204	BlueZabu	1
204	Winklepicker279	1
204	ibarker21	1
204	kars0n	1
204	DebbieBrunswick	1
204	k1ngGilgamesh	1
204	seramalen	1
204	LilLizardWizard	1
204	HolyVenom	1
204	DScatgirls	1
204	RodSerlingCringe	1
204	Maenara	1
204	ADEXTV	1
204	stuy9	1
204	natajimi	1
204	Russiancat1	1
204	thechoosenone69	1
204	lillips	1
204	The_Quack_Dealer	1
204	Frozil12	1
204	MightyWertu	1
204	Blaiku	1
204	DeGodz4life	1
204	Warlord324	1
204	Vorlice	1
204	TheTommyGun63	1
204	Godspirit249	1
204	radioactv_jelly	1
204	IAmTheWalrus910	1
204	OG_Songsee	1
204	PabloGonza02	1
204	sadvavilloso	1
204	Shin69	1
204	__tomato	1
204	al626win52	1
204	jcool7	1
204	Kferno	1
204	Kubeusz2010	1
204	Dr0xzy	1
204	FelixPSY375	1
204	AltnumberF4	1
204	momis24	1
204	kinas45y5	1
204	MelodyGaysharks	1
204	diggydog67	1
