rank	username	minecraft:mined/minecraft:white_wool
93	dopplexd	97
94	KingMatthew506	95
95	T045RTY	94
95	CalebDHawk	94
97	ImpavidArcher	88
98	Nicky19	87
99	The_slideV3	85
100	Ssor69	82
101	Jiminie	81
102	egglapras	78
103	ShedJr_	75
104	NomadicRobin_	73
105	Dusk_95	71
106	Quaintster	68
106	TheGameArchitect	68
108	theonlymagikarp	63
109	Historical_Sand	61
110	Nach0Bear	60
110	Lutres_Torane	60
112	Tobinator_007	58
112	UCP_TheKingK	58
114	HAIRYCLOUD626	56
114	Th6masss	56
116	diamondgolem35	53
117	jcool7	52
118	noam464	51
118	kinas45y5	51
120	Sky_light_KING	50
121	EMC_	47
121	Onennon	47
123	Lil_Breadboy	46
123	Hoid_the_Roamer	46
125	Arceus1975	45
126	bigstankyy	44
126	Blu3beast	44
128	I_Am_Mushkin	43
129	LeGold	42
130	_Karmaa	41
130	NameGenerat0r	41
132	Shin69	40
133	Frozil12	38
133	Luigipunch989	38
135	proxivitoid	35
136	301851	34
137	BlankityMcBlank	32
138	The11thDoctor	31
139	nocturne78	29
139	ProfessorBee	29
139	Leyna3	29
139	ewpunk	29
143	LilyNova	28
143	Warlord324	28
143	brofrickcheaters	28
146	CACTUSLAD	27
146	Kiki_Majiki	27
148	FelixPSY375	26
149	LoboTheLobster	25
149	Rumpletaezer	25
149	__Auspicious	25
152	sufjanlover	24
153	Jalvajar	23
153	hollowww	23
153	RatatJuice	23
156	IWorkAtIkea	22
156	ManlyAdjective	22
156	ccormacs	22
156	RobotMinion101	22
160	K_a__a_n	21
161	Fuad_R	20
161	__tomato	20
161	Quotary	20
164	Frxnkz	19
164	Kkanot	19
164	MovingFish7	19
167	Ozixar	18
167	Chromary	18
167	Akoot_	18
167	marumochis	18
171	ratglock	17
171	Snowflowe	17
171	Truckoss	17
174	ROY4LE	15
174	Rasmanden	15
176	Prismyst	14
176	Winklepicker279	14
176	mariominejedi	14
176	WyngGoy	14
176	JayToe	14
181	SaucyDark	13
181	hm947	13
181	_3Stump_	13
184	ReverendSmith	12
184	fr_ser	12
184	kars0n	12
184	fred870d	12
184	StinkyDiplomat	12
184	Njensen7	12
184	Powowowow	12
191	TheDankPlatypus	11
191	Xclax101	11
191	RedcatVII	11
191	Steelynan	11
191	h2p_emrld	11
196	Vizzoid	10
196	__TheNorseMan__	10
196	BlueZabu	10
196	Inbefour	10
196	Quinasin	10
196	33sudo	10
196	Dreamdbr14	10
203	KarlKaek	9
203	M_Patata	9
203	MasterNueve	9
206	Cowison	8
206	AshleeCW	8
206	Tolhart	8
206	Tmb1	8
206	SuperPooch06	8
206	impossibleteapot	8
206	fw3xywashere	8
206	Joestra	8
206	yulgur1	8
206	natajimi	8
206	Dooinfe	8
206	IAmTheWalrus910	8
206	ayamefag	8
206	xX_Stalin69_Xx	8
206	anbbang	8
221	PhantomsGhost_	7
221	Comma__	7
221	wezzzi	7
221	Kijiki	7
221	CassiusDio	7
221	blimpeey	7
227	BigMaoguai	6
227	youhjjhhhjj	6
227	Master_Kol	6
227	himak1	6
227	HypixelForums	6
227	Lord_Zacler	6
227	DanTheBuilderino	6
227	SingedBread	6
227	yoyoYoloMonke	6
227	wwwwinnebagoooo	6
227	sp00ky_ghost977	6
227	Kyrum2169	6
227	Nekomin0	6
227	MissCeleste7	6
241	Elprone266	5
241	nataliecool	5
241	dabloons	5
241	Rox_The_Box	5
241	Valoth	5
241	Cortexia	5
241	zMarciano	5
241	hcb238	5
241	NNikitas	5
241	thgrocks	5
241	Maenara	5
241	Russiancat1	5
241	Captain_Nasty	5
241	MAns_44	5
241	_ritter	5
256	soundad	4
256	Tommhh	4
256	6king6colt6	4
256	BodaciousCake	4
256	Batman922	4
256	Barjas	4
256	Stynxy	4
256	jushykins	4
256	MinttyFressh	4
256	MattieHD	4
256	SteveCraftBlocks	4
256	SeverianTheLame	4
256	Jackattack53	4
256	zielkairos	4
256	zStriqe	4
256	sitrollover	4
256	groofles	4
256	TJawesome09	4
256	Aangezet	4
256	LexMakesHistory	4
256	MyNameIsDakar	4
256	ProfessorDiaper	4
256	Poppy235	4
256	obzii	4
256	obtusely	4
256	Sangre88	4
282	Groovy_MoonBird	3
282	Mr_Byzantine	3
282	SyK7	3
282	dudcreeper	3
282	error10101	3
282	Paleshield	3
282	Incinere	3
282	Jahara	3
282	Alteriity	3
282	QuakerOatsGod	3
282	Cryptacity	3
282	bloodbiter	3
282	intropass	3
282	Kakolbus	3
282	swag_bro2004	3
282	DukeBoy1646	3
282	ibarker21	3
282	HyperCave	3
282	epiksk8erduck	3
