rank	username	minecraft:mined/minecraft:nether_bricks
269	Paleshield	33
269	BlankityMcBlank	33
271	Lez_	32
271	pappaberg	32
273	PegLegPete93	31
273	aec9	31
273	GoofyBread	31
273	NameGenerat0r	31
273	ayamefag	31
273	EcksD	31
279	H0UNDFRMH3LL	30
279	DepressedCubic	30
279	lunathelemon	30
279	corvidpartyfor6	30
279	Skylord_Luke	30
279	Winston_Ingram	30
285	Tmb1	29
285	_Boipl_	29
285	Wowful	29
285	Typadopoulos	29
289	Batman922	28
289	stellarjay	28
291	Sabby65	27
291	BilboBaggins23	27
291	yheece	27
291	hanaryheatwave	27
291	Sorry_Arey	27
291	RedcatVII	27
297	SaucyDark	26
297	brofrickcheaters	26
299	Franco093	25
299	Hisiste	25
