rank	username	minecraft:mined/minecraft:scaffolding
262	QuacksonThe3rd	151
264	wezzzi	150
265	Mr_Sun15	148
266	Skippeh	147
267	Nycteus_	145
268	emrekn	144
268	Eczbek	144
270	Historical_Sand	143
271	Sheldor097	142
272	the__Reaper4999	141
272	Dogcorn69420	141
274	Hoid_the_Roamer	139
274	CheifJumbo	139
276	Auseawesome	138
277	LeauVox4921	135
278	Da_Boss_Rani	134
279	NieToksikpl	131
280	benediktine1	128
280	EtherealEspresso	128
282	MakeHistory157	125
282	MilleGrug	125
284	chipklip	122
285	non089	121
286	Ze1ig	119
287	Whiterooster001	118
287	Notta	118
287	groofles	118
290	Skylord_Luke	117
290	WyngGoy	117
292	Louiis123	116
293	Tyrannosplart	114
293	SpacesickPrism	114
293	Sral7	114
296	Groundler	111
297	luvphan	110
297	2blox_	110
299	djancak	108
300	GLLogan2	107
