rank	username	minecraft:mined/minecraft:repeater
98	diamondgolem35	43
99	pintsizedrogue	42
99	r123moore	42
99	Cocoamallows	42
99	Legendosh	42
103	Groundler	41
103	lordpipe	41
105	FishyBoy3811	40
106	DanTheBuilderino	39
106	Sheldor097	39
108	Kowcio_	38
109	_Virify_	37
109	soundad	37
109	Scathra	37
109	Eraxa	37
109	erkada	37
114	eiC_	36
114	Kouridragon	36
114	NoChumpChange	36
114	Conrad139	36
114	PortlyPete69	36
114	Steelynan	36
120	Covalents	35
120	Bumpy419	35
120	Syropatathe	35
123	TheSeismicDuck	34
124	_Nuf	33
124	mariominejedi	33
124	lillips	33
124	BumbleBeever	33
128	parodypatient	32
128	Mythic1130	32
128	stellarjay	32
128	alderban107	32
128	Quotary	32
133	audiocracked	31
133	Dusk_95	31
133	pixelviolin	31
136	Esme_1	30
136	BlueZabu	30
136	IamCL4SSY	30
136	__tomato	30
136	EngagedGrub41	30
141	The_slideV3	29
141	LordSpeed37	29
143	mwrty	28
143	ApophisNova	28
143	Jimi7hits	28
143	ReSynced	28
143	_Bguette_	28
143	MyNamaSheff	28
149	claivin	27
150	Tobinator_007	26
150	Merv__	26
150	Sleek_Storm_721	26
150	ImpavidArcher	26
150	Ssor69	26
150	RobotMinion101	26
150	HesDemonPants	26
157	Hisiste	25
157	Factoroni	25
159	youhjjhhhjj	24
159	_Dean_123	24
159	Fildyr	24
159	Sral7	24
163	Paintz	23
163	Solar_Power	23
163	SvenskaHugo	23
163	Skippeh	23
167	Prismyst	22
167	MinttyFressh	22
167	500am	22
167	Mr_Teddiursa_K	22
171	MattieHD	21
171	TheDankPlatypus	21
171	seramalen	21
171	stavgod	21
171	tsitrawhy	21
176	Jovaphobic	20
176	bigstankyy	20
176	Azmodan_246	20
176	xolstoi	20
180	Alteriity	19
180	Prodiginus	19
180	_TCARREIRA_	19
183	SaucyDark	18
183	_8man	18
183	andy_rex	18
186	picardred	17
186	Touched_Bread	17
186	BartekB19	17
186	voiding_	17
190	Jackster03	16
190	Purplehere	16
190	ZA07	16
190	GravitySaint	16
190	non089	16
190	bladeefan2009	16
196	Iagoku	15
196	Lord_Jord	15
196	Karbl	15
196	djancak	15
200	wwwwinnebagoooo	14
201	abramgray	13
201	CoffeeNoir	13
201	Inchef	13
201	Donutt	13
201	RoofTyler	13
201	NameGenerat0r	13
201	Kferno	13
208	ExtraDumb	12
208	emrekn	12
208	Chromary	12
208	binman420	12
208	Soap_Bender	12
208	AltnumberF4	12
214	heysushii	11
214	Da_Boss_Rani	11
214	heckface	11
214	zorin123	11
214	SlayerCrypto	11
214	tobinwilliams	11
214	Rebytre	11
214	Wowful	11
214	valkam13	11
214	KlausVonStiglitz	11
214	Rainaldus	11
225	Incinere	10
225	Comma__	10
225	jacxhadow	10
225	Rich_Kat	10
225	Leyna3	10
225	Gryglu583	10
225	fluddd	10
225	Lord_Doob	10
225	Jij0	10
225	Winston_Ingram	10
225	tartanboy	10
236	dimondking777	9
236	Houstonion	9
236	ThiccExotic	9
236	MOSS000	9
236	Masssonnn	9
236	legal_tax_evader	9
236	Doom_melon	9
236	AnnieBathory	9
236	Hoid_the_Roamer	9
236	censorsheep	9
236	Bloo2406	9
236	malgosia14	9
236	bruh072	9
236	yatsuta	9
236	UltraZombie	9
251	Groovy_MoonBird	8
251	6king6colt6	8
251	Kegradigm	8
251	KGTV	8
251	gabriels543	8
251	Quincannon	8
251	TheDumbHuman	8
251	Logain42	8
259	I_Am_Mushkin	7
259	H72l9w	7
259	TheThomas69	7
259	SharpDev	7
259	Luminad3	7
259	balin55	7
259	vandmanden	7
266	The_Thund	6
266	Cowison	6
266	ShedJr_	6
266	rarrq	6
266	Kkanot	6
266	SellyZ	6
266	Meatlaugh	6
266	weabis	6
266	Strangemonkey71	6
266	Kubeusz2010	6
266	MirielThePastor	6
266	UrbanPlanningEx	6
266	2bolx_	6
279	q_wq	5
279	tuckerdoodle	5
279	Franco093	5
279	fr0stss	5
279	NotMeanttoChange	5
279	ooga47	5
279	Drewen24	5
279	KliBeast21	5
279	ori0le	5
279	Tyrannosplart	5
279	DarlaMeow	5
279	Typadopoulos	5
279	ProbsNotNova	5
279	Dreamdbr14	5
279	smogfrog	5
279	camando92	5
295	Lez_	4
295	LoboTheLobster	4
295	Vizzoid	4
295	Malorn_Aetherius	4
295	bloodbiter	4
295	Aatronix	4
