rank	username	minecraft:mined/minecraft:dark_oak_planks
143	6king6colt6	323
143	Snowflowe	323
143	DarlaMeow	323
146	Jakobo1337	321
147	Barlycorn	320
148	smogfrog	312
149	Bumpy419	306
150	Nach0Bear	303
151	sp00ky_ghost977	297
152	SmashingPump	294
153	NormanFetus	292
153	ZoomieZoomie	292
155	Natty	290
156	_Huge_Male_	285
156	fkGrim	285
158	Steelynan	280
159	ratglock	277
160	Kyrum2169	269
161	thebaddruid	264
162	_Karmaa	262
163	olliebollie48	259
164	RoskobiOne	256
165	benediktine1	247
166	SvenskaHugo	241
167	claivin	240
168	thescout7	238
169	ImpavidArcher	237
169	Sheldor097	237
171	Nicserso	232
172	Mr_Byzantine	230
173	Cowison	226
173	fragrantmonke444	226
175	abdomera	224
175	Prodiginus	224
177	SOA1RR	223
178	Matorz	216
178	Jimb0nat0r	216
180	CollinMH06	213
181	T045RTY	211
182	Ecplosive	209
183	XxCookiequeenxX	205
184	parodypatient	203
185	12Magner05	201
185	LeeMcGee30	201
187	HUNTERmaun	195
188	CharlieButt	194
189	FelixPSY375	193
190	pretty_pink_reno	183
191	Hyugo	182
191	NomadicRobin_	182
191	Zetsey	182
194	PegLegPete93	181
195	Jackattack53	178
196	brycepants	177
197	I_Am_Mushkin	176
197	KliBeast21	176
199	Leyna3	175
199	IamCL4SSY	175
201	thgrocks	174
202	BlankityMcBlank	173
203	remgrandt	172
204	bl1ss0	170
205	Typadopoulos	169
206	Skomo	168
206	EcksD	168
208	TheOnlyRake	162
209	PncakeUniverse	161
210	Stiar	160
210	cichy096	160
212	theofiel	158
213	Rumpletaezer	157
214	Hydro___________	154
214	felincaus	154
216	Chromary	152
217	Tobinator_007	151
217	U_Mos_	151
219	SammiWolfGirl	146
220	Bandito_Roamer	144
221	jnp_gaming	143
222	PazinGaming	142
222	420BreadLizard	142
224	Miroryk	139
224	Reneedium	139
224	KlausVonStiglitz	139
227	Incinere	138
228	snizv1	137
229	emreknugrlu	135
229	Blaiku	135
231	Chayula	132
232	corvidpartyfor6	131
232	Nekomin0	131
232	Eczbek	131
235	intropass	130
235	AlphaWolfPlaysMC	130
235	MakeHistory157	130
238	MinttyFressh	129
238	blackeemperor	129
240	1442	127
240	weabis	127
240	_i_ERROR_i_	127
243	SpartanNamor	126
243	ShedJr_	126
243	brofrickcheaters	126
246	Deathkob	125
247	hermmm_	124
248	Eraza	120
249	Jalvajar	118
249	CoffeeNoir	118
249	MSK__	118
249	prizm_	118
253	Tristankill	117
254	groofles	116
254	07shiny	116
256	selectrix	114
256	VentiHilton	114
258	Zaridey	112
258	Kubeusz2010	112
260	mwrty	110
260	LilLizardWizard	110
260	EdGalbraith	110
263	NinjaKnifeKill	109
263	Ozixar	109
263	Smashic	109
266	catandmoose	108
267	Blazebit	106
267	Avrelion	106
267	hanaryheatwave	106
270	SaucyDark	102
270	RebytreGT	102
272	Touched_Bread	100
272	MAns_44	100
272	tompup	100
275	Historical_Sand	98
275	MrExplorer	98
277	noam464	96
277	fffMike	96
277	KingMatthew506	96
280	AmmiDesu	95
281	bigstankyy	94
281	Sorry_Arey	94
281	Toriankel	94
284	TildaAndrea	93
284	Lekol	93
284	DairyNickel756	93
287	Shogunite	92
288	Winston_Ingram	91
289	ARandomHedge	90
289	Werbe	90
291	Ch4osDoom64	89
292	ZigzagLily43042	88
292	annebolyn	88
294	Lord_Zacler	87
295	emrekn	85
295	Gamergirl420628	85
297	Motsaro	84
297	Juansinmiedo18	84
299	Airem_Core	83
300	MindyDooWho	82
