rank	username	minecraft:mined/minecraft:oak_sign
87	MyNameIsDakar	15
87	Soplight	15
87	Skippeh	15
87	h2p_emrld	15
87	00000000-0000-0000-0009-01f898304150	15
96	Dedalus36	14
96	Zippyzam	14
96	BobDeBouwer1337	14
96	Truckoss	14
96	_naturell	14
96	Gryglu583	14
96	SammiWolfGirl	14
96	jcool7	14
96	Njensen7	14
105	500am	13
105	Snowflowe	13
105	Lord_Jord	13
105	Spenduh	13
105	Luigipunch989	13
105	Steelynan	13
105	Nicserso	13
105	EcksDofficial	13
113	Groovy_MoonBird	12
113	titanlax	12
113	gabriels543	12
113	stickwhiskers	12
113	fred870d	12
113	epiksk8erduck	12
113	sxc_	12
113	fluddd	12
113	Quotary	12
122	Whiterooster001	11
122	bloodbiter	11
122	Donutt	11
122	Skylord_Luke	11
122	ILoveCarrot	11
122	claivin	11
122	CSG_Haru	11
129	heysushii	10
129	PhantomsGhost_	10
129	gcaisawesome	10
129	burbankbuilder28	10
129	wezzzi	10
129	Jiminie	10
129	chipklip	10
129	Typadopoulos	10
137	KarlKaek	9
137	Wooptey	9
137	Xalithia	9
137	wirelesstree	9
137	AuroraSkies	9
137	Soap_Bender	9
137	Nagasaki_Riku	9
137	ayamefag	9
145	LionelHutzESQ	8
145	awesomeoneme	8
145	Swexti	8
145	MrExplorer	8
145	TheDiamondCG	8
145	DermeinUser	8
145	loveseeker	8
145	Zythose	8
145	MAns_44	8
145	UltraZombie	8
145	Kferno	8
145	Ezekson	8
145	kinas45y5	8
158	Incinere	7
158	CoffeeNoir	7
158	H72l9w	7
158	shdesolt	7
158	2Stout	7
158	XboxPanda	7
158	PeteO1995	7
158	Doom_melon	7
158	SuperPooch06	7
158	_Boipl_	7
158	LilyNova	7
158	CaptainDeadBread	7
158	Kouridragon	7
158	Maenara	7
158	natajimi	7
158	_Bguette_	7
158	_Karmaa	7
158	33sudo	7
158	Dreamdbr14	7
158	Powowowow	7
158	Amontillado	7
158	MelodyGaysharks	7
180	nataliecool	6
180	Hyugo	6
180	error10101	6
180	hzs91	6
180	AdvertisingMerc	6
180	Stiar	6
180	CharlieButt	6
180	CarltheCuck	6
180	CrateOfBoxes	6
180	Corbsman	6
180	Quincannon	6
180	Nycteus_	6
180	__Auspicious	6
180	MakeHistory157	6
180	EtherealEspresso	6
180	CalebDHawk	6
180	SirBreadward	6
180	xorompole	6
180	oxfordschool	6
180	Sral7	6
200	Hpdinosaur	5
200	FirsTimeGamingTV	5
200	Aatronix1	5
200	Tmb1	5
200	Scathra	5
200	Inchef	5
200	eiC_	5
200	Avermu	5
200	Chromary	5
200	thewindmillman	5
200	SamZombie	5
200	MangoTheFish	5
200	ooga47	5
200	p4lp	5
200	hagridfedpik	5
200	TTNG	5
200	NameGenerat0r	5
200	AvaRosey	5
200	Cocoamallows	5
200	Nekomin0	5
200	_TCARREIRA_	5
200	PortlyPete69	5
200	KingMatthew506	5
200	vandmanden	5
200	JayToe	5
225	Louiis123	4
225	LovelyDane	4
225	Foof13	4
225	q_wq	4
225	EMC_	4
225	ewsophie	4
225	T045RTY	4
225	Myszoaz	4
225	Auseawesome	4
225	TheThomas69	4
225	Guillemet	4
225	Z3braYTIL	4
225	SpicyMeatballs	4
225	Paintz	4
225	SHAOBADMAN	4
225	Zaridey	4
225	Karetoko	4
225	Marbz_	4
225	RyuNeko932000	4
225	KillerNekoRain	4
225	RobotMinion101	4
225	Vetral1	4
225	Sky_light_KING	4
225	bpmm	4
225	yulgur1	4
225	Lord_Zacler	4
225	Travka100	4
225	_czarny	4
225	Leithz6	4
225	ItsDeltaMC	4
225	kyouma777	4
225	MilleGrug	4
225	VentiHilton	4
225	laron58	4
225	UrbanPlanner1978	4
225	CrazyPotater	4
261	weezygator	3
261	Paint	3
261	dabloons	3
261	AuroraValkyrie	3
261	teslawolf38	3
261	bigstankyy	3
261	rachcl	3
261	heckface	3
261	Ozixar	3
261	cowgirlkasia	3
261	Nicky_H225	3
261	12Magner05	3
261	MinttyFressh	3
261	Megarboh	3
261	_Nuf	3
261	slkiey	3
261	NotMeanttoChange	3
261	hcb238	3
261	mariominejedi	3
261	fr_ser	3
261	AJplaysMC_	3
261	LAVA129	3
261	Fast_Turtle	3
261	regulator75	3
261	738b4f65-6cbd-4ead-ba31-c14211abfb06	3
261	Jimi7hits	3
261	RodSerlingCringe	3
261	AlphaWolfPlaysMC	3
261	ElderRifken	3
261	KnightmareD	3
261	Jiminbub	3
261	ChocolatePepsi	3
261	lillips	3
261	Karbl	3
261	Quaintster	3
261	cog	3
261	Lord_Doob	3
261	stavgod	3
261	IdeallyGrey	3
261	Segotep999	3
