rank	username	minecraft:mined/minecraft:purpur_pillar
117	Ender_Souls	29
117	LazySupport00	29
119	set67	27
119	Marbz_	27
121	diamondgolem35	26
121	eviltunix	26
121	MilleGrug	26
124	Rasmanden	25
124	Skippeh	25
126	titanlax	24
126	Hyp3rion_	24
126	AuroraSkies	24
126	Deodorante	24
126	Quotary	24
131	Lepthymo	23
132	TheSeismicDuck	21
132	_Karmaa	21
134	skrongus	20
135	Nycteus_	19
136	_Razaria	18
136	excelsionprime	18
138	SingedBread	17
138	Kowcio_	17
140	Akoot_	16
140	DTwenty	16
140	MakeHistory157	16
140	SvenskaHugo	16
144	Myszoaz	15
144	__TheNorseMan__	15
144	Snowflowe	15
144	fw3xy74	15
144	MovingFish7	15
144	stellarjay	15
150	rarrq	14
150	jushykins	14
150	Inchef	14
150	pappaberg	14
150	Segotep999	14
155	chipklip	13
155	RebelAndroid	13
155	LeGold	13
155	MineMaster0012	13
155	MissCeleste7	13
155	PlasticOtari	13
161	ssleepless	12
161	SaucyDark	12
161	Eczbox	12
161	Donutt	12
161	Eczbek	12
161	Iamthejo	12
167	Houstonion	11
167	MAns_44	11
167	TheDumbHuman	11
167	xolstoi	11
171	12Magner05	10
171	LilyNova	10
171	_k2x	10
171	ItsJWolff	10
171	FishisTTV	10
176	SoftSix	9
176	TheShyPig	9
176	halfwayup	9
176	SkateboardR6	9
176	Kura2218	9
176	LeEricc	9
176	PortlyPete69	9
176	ProbsNotNova	9
176	2blox_	9
185	Apollo_993	8
185	q_wq	8
185	Noah_Bez	8
185	M_Patata	8
185	AlexxO_o	8
185	TheTrueClipse	8
185	Quaintster	8
185	MasterNueve	8
193	Moyd_	7
193	lillips	7
193	Powowowow	7
196	pintsizedrogue	6
196	SmashingPump	6
196	The_Cruncy	6
196	ClemenPine	6
196	Chuglyfe	6
196	CalebDHawk	6
196	ConnorDanky_	6
203	whoaluv	5
203	MrQuanQuan	5
203	LeonelSalamanca	5
203	1442	5
203	ReyTheLegend	5
203	SammiWolfGirl	5
203	Physics_Breaker	5
210	ExtraDumb	4
210	Euclidoris	4
210	pr33tu	4
210	zorin123	4
210	himak1	4
210	CollinMH06	4
210	SuperPooch06	4
210	Barlycorn	4
210	_Mythic____	4
210	__tomato	4
210	EcksD	4
210	HesDemonPants	4
222	Batman922	3
222	CoffeeNoir	3
222	Mahoose	3
222	MattieHD	3
222	lorpus	3
222	theonlymagikarp	3
222	ApophisNova	3
222	epiksk8erduck	3
222	TeenMomTom	3
222	ougstur	3
222	Leyna3	3
222	Cocoamallows	3
222	ElectricDragon81	3
222	Kijiki	3
222	MyNamaSheff	3
237	H0UNDFRMH3LL	2
237	Mr_Byzantine	2
237	soundad	2
237	Merv__	2
237	teslawolf38	2
237	itburb	2
237	Hpdinosaur	2
237	JuuustYeet	2
237	ARandomHedge	2
237	ibarker21	2
237	domagawha	2
237	MustardDrinker	2
237	RobotMinion101	2
237	SvenskaAlvar	2
237	FishyBoy3811	2
237	luseis	2
237	501g	2
237	censorsheep	2
237	GravitySaint	2
237	BumbleBeever	2
237	iSammael	2
237	Strangemonkey71	2
237	ayamefag	2
237	Spenduh	2
237	Legendosh	2
262	gary_	1
262	Groovy_MoonBird	1
262	_Virify_	1
262	livingdaydreams	1
262	Lez_	1
262	_lildarki3	1
262	Z3braYTIL	1
262	Scathra	1
262	r123moore	1
262	Kakolbus	1
262	ImDisconnected_	1
262	groofles	1
262	GooseWithin	1
262	wezzzi	1
262	DarkS0L	1
262	Karbl	1
262	Druid95	1
262	WyngGoy	1
262	stavgod	1
262	Eraxa	1
262	VentiHilton	1
262	Aryamanee	1
262	h2p_emrld	1
