rank	username	minecraft:mined/minecraft:infested_stone
168	SpaceGrenadier	12
168	potato292	12
168	XeroByMyth	12
168	Tyrannosplart	12
168	monky_irl	12
168	LordSpeed37	12
168	Slapface522	12
179	Reamdin	11
179	301851	11
179	surfinggiraffejp	11
179	Kakolbus	11
179	SuperPooch06	11
179	HAIRYCLOUD626	11
179	Vetral1	11
179	Wowful	11
179	madderfall	11
179	autisticcupcake	11
179	iGotUrHost	11
179	annebolyn	11
191	mattybeewrapss	10
191	zorin123	10
191	JMK208	10
191	Cruncy_	10
191	FreakGenius	10
191	blackeemperor	10
191	Groundler	10
191	sp00ky_ghost977	10
191	_TCARREIRA_	10
191	TheSandwhich_	10
191	MusicMe1005	10
202	ProbablyNick	9
202	Mahoose	9
202	M_Patata	9
202	killmeiamtraitor	9
202	Boipl	9
202	Mattesco	9
202	Lord_Jord	9
202	NYJ	9
202	YungWali	9
202	BigCronkin	9
202	MasterNueve	9
202	Segotep999	9
202	ProbsNotNova	9
215	Kegradigm	8
215	MSK__	8
215	chlorinex	8
215	Allanon1235	8
215	i2f8x4h8ro	8
215	intropass	8
215	drunkeeez	8
215	_Cloverbelle_	8
215	CaptainAvenger7	8
215	PuFY	8
215	EveryonesUncle	8
215	LexMakesHistory	8
215	FiguraDei	8
215	Burge_r	8
215	Vamperouge	8
215	Rainaldus	8
215	xorompole	8
232	Astronicky	7
232	RosaDoesMC	7
232	SpartanNamor	7
232	ECstardust	7
232	DepressedCubic	7
232	Huwulling	7
232	Jokerman369	7
232	lpinfinity	7
232	fragrantmonke444	7
232	BRRRN179	7
232	Manaateee	7
232	the__Reaper4999	7
232	geekbird	7
232	brofrickcheaters	7
232	QueenOfDirt	7
232	vandmanden	7
232	TechnoNinja64	7
249	BadenStayFly	6
249	Paint	6
249	maliraspberry	6
249	Sebaschan__	6
249	Jackster03	6
249	elleparo	6
249	Kronos42	6
249	FirsTimeGamingTV	6
249	xxPipperDipperxx	6
249	BlueZabu	6
249	Aavermu	6
249	King_Pancake1	6
249	andy_rex	6
249	PaperCanvas	6
249	Meepcraft	6
249	emreknugrlu	6
249	censorsheep	6
249	SkateboardR6	6
249	Sank34	6
249	SirBreadward	6
249	OutcryOfEnkidu	6
270	SaltineDream	5
270	Killswitch_RW	5
270	Healthing	5
270	Chroikey	5
270	Meme25327	5
270	Ozixar	5
270	ATrojansLegend	5
270	Ravenbie	5
270	MindyDooWho	5
270	Covalents	5
270	burbankbuilder28	5
270	brycepants	5
270	ogoa	5
270	420BreadLizard	5
270	Dakar_	5
270	DarlaMeow	5
270	DukBob	5
270	419mmurphy	5
270	Warlord324	5
270	33sudo	5
270	Kyrum2169	5
270	BlankityMcBlank	5
270	MilleGrug	5
293	Bruh77	4
293	Krimys	4
293	2xil2	4
293	abramgray	4
293	hollowww	4
293	SailiXX	4
293	dopplexd	4
293	gilesmcriles	4
