rank	username	minecraft:mined/minecraft:grass_path
119	stavgod	22
124	SkateboardR6	21
124	The_SlideV5	21
124	Teebone15	21
127	NoChumpChange	20
128	Darkgon	19
128	DeGodz4life	19
128	ReyTheLegend	19
131	Stynxy	18
131	kiluaemc	18
131	SSytex_X	18
131	JasmineGK	18
135	Ozixar	17
135	UncleDanDan	17
135	EfficientC52	17
135	OfficerAnvil	17
139	Comma__	16
139	ehunt54	16
139	andy_rex	16
139	censorsheep	16
139	JayToe	16
144	TooManyDuck	15
144	Fuhrer_Teemo	15
144	Aezekial	15
147	TheWaterWraith	14
147	Bolete	14
147	Hiryu27	14
147	N7November	14
147	TTNG	14
147	Warlord324	14
153	IAmTheWalrus910	13
153	Kateesaur	13
155	fr0stss	12
155	MattieHD	12
155	slkiey	12
155	RyuNeko932000	12
155	MustaLoordi	12
155	Groundler	12
161	seanitoo	11
161	livingdaydreams	11
161	awesomeoneme	11
161	PegLegPete93	11
161	Paintz	11
161	Ecplosive	11
161	rotten_mango	11
168	maxdacatv2	10
168	ratglock	10
168	paranoid_plant	10
168	sarahlynn00	10
168	CranialBlowout	10
168	WyngGoy	10
168	CSG_Haru	10
168	ayamefag	10
168	Smaldo	10
168	fastPREDATOR	10
178	NinjaKnifeKill	9
178	gaziter10	9
178	Rich_Kat	9
178	SHAOBADMAN	9
178	Sqwishy	9
178	Vetral1	9
178	wezzzi	9
178	cog	9
178	LordAurum	9
178	MentheMan09	9
178	Mistruth	9
178	bloomkieren	9
178	LeeMcGee30	9
191	HBA00_	8
191	ssleepless	8
191	lotarp	8
191	falcn15	8
191	TableTim	8
191	gabriels543	8
191	AlphaWolfPlaysMC	8
191	NYJ	8
191	HELLO_I_AM_BEAR	8
191	Airem_Core	8
191	Dusk_95	8
191	TheGameArchitect	8
203	MunkaKris	7
203	Froste131	7
203	Hanselhoof	7
203	ImDisconnected_	7
203	AlexStrange	7
203	natajimi	7
203	audiocracked	7
203	HuangMeiHua	7
203	FelixPSY375	7
203	HesDemonPants	7
213	I_Am_Mushkin	6
213	Tolhart	6
213	PlasticPrinter	6
213	StanceTB	6
213	ProfessorBee	6
213	CrookedKaptain	6
213	Mariopreeet	6
213	Windo_licker	6
213	killmeiamtraitor	6
213	thgrocks	6
213	ElderRifken	6
213	ese_wn_po	6
213	_k2x	6
213	_Ruzeeq_	6
213	Faart	6
228	Jovaphobic	5
228	Tobinator_007	5
228	Mowelan	5
228	CliffEmAll	5
228	jushykins	5
228	SoftSix	5
228	TakeThis2UrGrave	5
228	DeeDeeThonk	5
228	duqboy	5
228	PartyPhoenix	5
228	PabloGonza02	5
228	sleepdrifter_	5
228	Dogcorn69420	5
228	UrbanPlanner1978	5
228	Jordan_R	5
243	TheBiggestFeller	4
243	xyct	4
243	AuroraValkyrie	4
243	Nucket	4
243	awsomedude5	4
243	nocturne78	4
243	GingerNeutron	4
243	Guillemet	4
243	ConcretePirate	4
243	AngalexikCZ	4
243	TylerDupree	4
243	King_Pancake1	4
243	_8man	4
243	Drewen24	4
243	dezxalo	4
243	Katsuragi0243218	4
243	YungWali	4
243	__hinterland__	4
243	Nagasaki_Riku	4
243	legoclone09	4
243	gaming4Naming	4
243	_AAZAR	4
243	FGamerJ	4
266	123louis456	3
266	chimpmunker	3
266	Hyugo	3
266	Franco093	3
266	HavickMC	3
266	SidorAlex	3
266	SpaceGrenadier	3
266	TheFlfthHorseman	3
266	InfernalMound	3
266	cowgirlkasia	3
266	ItzYaBoiPicard	3
266	Matek_	3
266	Ch4osDoom64	3
266	Rocketlaunchers	3
266	pappaberg	3
266	SokaOtaku	3
266	MustardDrinker	3
266	CaptainDeadBread	3
266	ItsAki_	3
266	avalan64	3
266	ElKaySVK	3
266	MakeHistory157	3
266	Cocoamallows	3
266	33sudo	3
266	BioKing99	3
266	felincaus	3
266	Apicomplexa	3
266	Powowowow	3
266	MusicMe1005	3
295	prodby_Lyka	2
295	zeebruh__	2
295	BigMaoguai	2
295	SyK7	2
295	zqw10k	2
295	Ze1ig	2
