rank	username	minecraft:mined/minecraft:cocoa
180	PartyPhoenix	8
189	dudcreeper	7
189	123louis456	7
189	AuroraValkyrie	7
189	q_wq	7
189	ImpavidArcher	7
189	mimbo1211	7
189	TheDankPlatypus	7
189	Toiton	7
189	DanTheBuilderino	7
189	QueenShuvi	7
189	FlashMigma	7
189	djancak	7
201	RoskobiOne	6
201	ratglock	6
201	PegLegPete93	6
201	regulator75	6
201	unren	6
201	AlexxO_o	6
201	Maenara	6
201	Bismarck_KMS	6
201	CookTheChef3	6
201	cog	6
201	Soplight	6
201	PlasticOtari	6
213	youhjjhhhjj	5
213	ZaneABrain	5
213	AJplaysMC_	5
213	whoaluv	5
213	S4tox	5
213	Ender_Souls	5
213	wezzzi	5
213	natajimi	5
213	HELLO_I_AM_BEAR	5
213	WhyTho_1	5
213	_zzoe	5
213	Barlycorn	5
213	deerm	5
213	Skippeh	5
227	IWorkAtIkea	4
227	Comma__	4
227	BilboBaggins23	4
227	Windo_licker	4
227	Hoid_the_Roamer	4
227	TTNG	4
227	The_slideV3	4
227	claivin	4
227	Nycteus_	4
227	Xovalt_	4
227	Optiprimus	4
227	07shiny	4
227	yatsuta	4
227	Drawgirll	4
241	KingFaenor	3
241	EMC_	3
241	Lukeee33	3
241	livingdaydreams	3
241	Prismyst	3
241	_Nuf	3
241	SteveCraftBlocks	3
241	Awyrlas	3
241	Xalithia	3
241	nitram49b	3
241	Di_infiri	3
241	Roikdean	3
241	_Crimson_Legate	3
241	ItsDeltaMC	3
241	33sudo	3
241	Soul_Atreus	3
241	Slovitypagus	3
241	jnp_gaming	3
259	teslawolf38	2
259	openatheclose	2
259	Myszoaz	2
259	CedeMC	2
259	Vizzoid	2
259	m_be9	2
259	ToxicHauntling	2
259	ProfessorBee	2
259	Megarboh	2
259	CarbonatedCola	2
259	Scathra	2
259	KingEgg1	2
259	Zaridey	2
259	Winklepicker279	2
259	CarltheCuck	2
259	jedi_george	2
259	popcanter	2
259	WET_WET_WET	2
259	mofojojo	2
259	RefluxRatio	2
259	SokaOtaku	2
259	BronkerBrum	2
259	msJabberwock	2
259	PigDab	2
259	Dabatha	2
259	olmul	2
259	yulgur1	2
259	Inbefour	2
259	Gryglu583	2
259	StinkyDiplomat	2
259	SwooshBoi	2
259	Steven1282598	2
259	LargeCarl	2
259	Hisiste	2
259	geekbird	2
259	Razzgriz	2
259	Ossem	2
259	Spenduh	2
259	Luigipunch989	2
259	striker90333	2
259	Steelynan	2
259	adiccting01	2
