rank	username	minecraft:mined/minecraft:deepslate_lapis_ore
118	StinkyDiplomat	28
118	Aryamanee	28
120	kyouma777	27
120	SkinnyBois	27
122	MuffinManzz	26
122	KeruNatsema	26
124	KGTV	25
124	Fuad_R	25
126	Mr_Byzantine	24
126	NotRemets	24
126	Flores991	24
126	ITDV	24
126	Glowhetic	24
126	HoltGrim	24
126	SvenskaAlvar	24
126	Ezekson	24
134	diamondgolem35	23
134	noam464	23
136	Koffeeinz	22
137	shineh10	21
137	NieToksikpl	21
137	shadowthemonkey	21
137	Veillax135	21
137	lillips	21
137	EngagedGrub41	21
143	Ev0luti0nz	20
143	kidel03	20
143	SyntheticSurgeon	20
143	SquadMonster	20
143	uDank	20
148	Valoth	19
148	Khelvoryk	19
148	I_Moose	19
148	TheWildMateo	19
148	shrimp_flips	19
148	Vicemaniac	19
148	infiniteQuery	19
155	tuckerdoodle	18
155	mrnosetackle	18
155	Jonafrog99	18
155	corpsecity	18
159	IronArshXS	17
159	rarrq	17
159	Enigma0251	17
159	ConJaBz	17
159	GlitchyPlate810	17
159	Weepingbiel	17
159	WYFYoyo	17
166	FazeObama69	16
166	hm947	16
166	RatatJuice	16
166	ZeroAbyssTTV	16
166	H_O_M_H	16
166	Lord_Doob	16
172	ChampPog_	15
172	BronkerBrum	15
172	BungalowBeet	15
175	nattybears	14
175	The_Fulgurator	14
175	nut_e	14
175	ZA07	14
175	Kekoo	14
175	Sheldor097	14
175	MilleGrug	14
175	athereall	14
175	_Dri_	14
184	Gemstuff	13
184	nopekk	13
184	CowOfTheNile	13
184	iElijah	13
188	T045RTY	12
188	crying_wolf_13	12
188	Ithaca19	12
188	ARandomHedge	12
188	Kubelz	12
188	Skylord_Luke	12
188	FreakGenius	12
188	Sepulcro	12
188	Vegvisir	12
188	IdeallyGrey	12
198	_Huge_Male_	11
198	teslawolf38	11
198	cubecutter124	11
198	Jackattack53	11
198	SvenskaSara	11
198	Luminad3	11
198	ATurtle4936	11
198	youarefrench_	11
198	Legendosh	11
207	dimondking777	10
207	NoHaHeHa	10
207	Alfred603	10
207	Fuxs_V	10
207	Hail_the_wombat	10
207	DubDoesGams	10
207	Human_Resource	10
207	Toriankel	10
207	EcksD	10
216	_stets	9
216	LeDuctTape	9
216	Myszoaz	9
216	dimitri0s	9
216	ccwildfire1	9
216	PigDab	9
216	MNMann44	9
223	ImpavidArcher	8
223	MogusBussy69	8
223	PhantomBionic	8
223	stickymonkeyboy	8
223	CarryLine	8
223	Leonidas2k17	8
223	RoBe__	8
230	SuperPooch06	7
230	LeGold	7
230	Tiktola01	7
230	weabis	7
230	UCP_TheKingK	7
230	Steelynan	7
230	Hermanni__	7
230	00000000-0000-0000-0009-01fbab7ea71d	7
238	Chickenchaser2	6
238	catandmoose	6
238	_HoneySlime_	6
238	KaptainKornhole	6
238	LitoDelvito	6
238	SBean737	6
238	smarticuno	6
238	Silvo614	6
238	lizardfightclub	6
238	Joestra	6
238	LukeBBM12	6
238	underscore_2	6
238	zOnlyKroks	6
238	Eczbek	6
238	2bolx_	6
238	Umbreon900	6
254	DinoDoctor_	5
254	Lumien_	5
254	thebaddruid	5
254	floodjon	5
254	Toasty_Tom	5
254	CuzIm2Kev	5
254	NATE_the_HALO	5
254	alderban107	5
254	its_lupus	5
263	chipklip	4
263	Pofen	4
263	Blackberry1310	4
263	noful	4
263	yulgur1	4
263	_Karmaa	4
263	NameGenerat0r	4
263	censorsheep	4
263	OffWithTheirHead	4
263	EricAurum	4
263	smogfrog	4
274	ThreeAmMan	3
274	neurotic_a	3
274	chrolus	3
274	Creativebuilder2	3
274	lorpus	3
274	fluddd	3
274	Yahir091	3
274	sp00ky_ghost977	3
274	FishisTTV	3
283	rachcl	2
283	fuyyuu_oke	2
283	TerraVl	2
283	Inchef	2
283	xxPipperDipperxx	2
283	Btabtab	2
283	SpaggeDR	2
283	Dennid	2
283	Deathkob	2
283	MinuteMira	2
283	DarkS0L	2
283	Racengan	2
283	ChronoSounds	2
283	jcool7	2
283	Skippeh	2
283	00000000-0000-0000-0009-01f26ea966c4	2
299	CloroxBleach385	1
299	JohnnyMines	1
