rank	username	minecraft:mined/minecraft:smooth_stone
122	wiqor	106
122	lordpipe	106
124	TheSeismicDuck	102
125	HyperCave	99
126	Optiprimus	93
127	Freak_Genius	90
128	ROY4LE	89
128	Deguns123	89
130	RobotMinion101	85
131	wezzzi	84
132	censorsheep	83
133	littlesophiagirl	77
133	AlexxO_o	77
135	K_a__a_n	76
135	EcksD	76
137	Hyugo	74
138	_Bguette_	73
139	xo_Marren_xo	70
139	BlankityMcBlank	70
141	ExtraDumb	67
141	beeperbeeper5	67
143	Lukeee33	66
143	Gundam_Steven	66
145	Ristebraaten	63
146	Soplight	62
146	mobunni	62
148	kekhon	61
149	Arceus1975	60
150	MakeHistory157	57
150	Vector1209	57
152	Auseawesome	55
153	LilcoinXX	54
154	CarltheCuck	50
154	TiborSterle	50
154	Barlycorn	50
154	TechnoNinja64	50
158	CruncyIsTaken	49
159	livingdaydreams	48
159	r123moore	48
159	Shogunite	48
159	Fildyr	48
159	Legendosh	48
164	__tomato	47
165	CoffeeNoir	46
165	BlueZabu	46
165	cog	46
165	FelixPSY375	46
169	Soap_Bender	45
169	claivin	45
169	WyngGoy	45
172	Nicky_H225	44
172	Blaiku	44
174	teslawolf38	42
175	XboxPanda	40
176	KingFaenor	39
176	Meatlaugh	39
178	Groovy_MoonBird	38
178	Maenara	38
180	Ssor69	37
180	MattieHD	37
180	Queen_Jalapeno	37
183	NotKaden_	35
183	PigDab	35
183	HELLO_I_AM_BEAR	35
186	ApophisNova	34
186	GravitySaint	34
186	MyNamaSheff	34
189	platinumzero	33
189	Nagasaki_Riku	33
191	wobn	32
192	Matek_	31
193	ThePoliteG	30
193	theonlymagikarp	30
193	SexcMf	30
196	6king6colt6	29
196	Fullut	29
196	Kouridragon	29
199	Dusk_95	28
199	Wolverine4302	28
201	_Dean_123	27
201	gabriels543	27
201	avalan64	27
201	DemTechAlpha	27
201	561cool	27
206	Otto_chan	26
206	ProfessorBee	26
208	_Virify_	25
208	Hpdinosaur	25
208	Incinere	25
211	MunkaKris	24
211	I_Am_Mushkin	24
211	DC_XII	24
211	Jimi7hits	24
211	JohnPrice	24
216	Touched_Bread	23
217	Akoot_	22
217	VentiHilton	22
217	FallenCorps	22
220	Lez_	21
220	Jonte0599	21
220	MAns_44	21
220	mihimihimihi	21
224	calamariclam_I	20
225	SteveCraftBlocks	19
225	slkiey	19
225	Jiminie	19
225	smogfrog	19
229	Windo_licker	18
229	Bloo2406	18
229	Sral7	18
232	Sleek_Storm_721	17
232	Enigma0251	17
232	Deathkob	17
235	DinoDoctor_	16
235	MinttyFressh	16
235	Kubelz	16
235	Lowjinx	16
239	Natty	15
239	Myszoaz	15
239	TableTim	15
239	Fuad_R	15
239	fluddd	15
244	KeruNatsema	14
244	KnightmareD	14
246	viziqs	13
246	Notta	13
246	toj__	13
246	Werbe	13
246	x86assembly	13
251	PhantomsGhost_	12
251	ewsophie	12
251	zorin123	12
251	_Boipl_	12
251	tobinwilliams	12
251	Fuhrer_Teemo	12
251	stellarjay	12
258	mwrty	11
258	impossibleteapot	11
258	chipklip	11
261	LetsDoItLive	10
261	IdeallyGrey	10
261	annoyingenderman	10
261	cichy096	10
265	CueMix	9
265	PegLegPete93	9
265	HypixelForums	9
265	Chromary	9
265	420BreadLizard	9
265	RadarHz	9
265	AltnumberF4	9
272	abramgray	8
272	wTXop	8
272	masskedman	8
272	Nycteus_	8
272	djancak	8
272	tsitrawhy	8
272	non089	8
272	jcool7	8
272	CattSoup	8
281	_stets	7
281	Dedalus36	7
281	SyntheticSurgeon	7
281	Huwulling	7
281	TinMaster	7
281	whoaluv	7
281	k1ngGilgamesh	7
281	lillips	7
281	07shiny	7
281	PortlyPete69	7
291	UncreativeArtist	6
291	Awyrlas	6
291	emrekn	6
291	Inchef	6
291	loveseeker	6
291	Freeman666	6
291	SuperPooch06	6
291	Rumpletaezer	6
291	RefluxRatio	6
291	cedric72	6
