rank	username	minecraft:mined/minecraft:glowstone
261	robonya_	87
262	Prismyst	86
262	Jackattack53	86
262	UltraZombie	86
265	Historical_Sand	85
265	Ozixar	85
265	Comma__	85
265	Megarboh	85
265	bloomkieren	85
270	Chuglyfe	84
271	IWorkAtIkea	83
271	AnnieBathory	83
271	Nyxiom_	83
274	Tyrannosplart	82
275	CLG_Kata	81
275	Nicky_H225	81
277	_Huge_Male_	80
277	sp00ky_ghost977	80
277	__tomato	80
280	gary_	79
281	Spaghettatron	78
282	Tobinator_007	77
282	Sral7	77
284	12Magner05	76
284	Powowowow	76
286	SaucyDark	75
286	CliffEmAll	75
286	ItsAki_	75
286	weabis	75
290	Secret_Canary	74
290	orxngejuice	74
290	burbankbuilder28	74
290	DemTechAlpha	74
294	MusicMe1005	73
295	Yahrto	71
296	XboxPanda	70
296	podduszenie	70
296	EfficientC52	70
299	SellyZ	69
299	prizm_	69
