rank	username	minecraft:mined/minecraft:redstone_wire
238	zorin123	49
238	Rasmanden	49
238	AltnumberF4	49
241	Fildyr	48
242	tobinwilliams	46
242	KlausVonStiglitz	46
244	Houstonion	45
244	Chromary	45
246	Crowvens	44
246	Iagoku	44
246	Comma__	44
246	emrekn	44
246	M_Patata	44
246	BlueZabu	44
246	andy_rex	44
253	_czarny	43
253	MasterNueve	43
253	UrbanPlanner1978	43
256	500am	41
256	TheSeismicDuck	41
258	Arteriana	40
258	Mercadies	40
260	JEWISHBadenBeele	39
260	CoffeeNoir	39
260	hcb238	39
260	SammiWolfGirl	39
264	audiocracked	38
265	Tjhodskins19	37
265	pappaberg	37
265	SvenskaHugo	37
268	Aangezet	36
268	Karbl	36
270	irregularshed	35
270	PegLegPete93	35
270	LexMakesHistory	35
270	Nagasaki_Riku	35
270	ayamefag	35
275	6king6colt6	34
275	TheThomas69	34
275	Kim_Jong_eel	34
275	EveryonesUncle	34
275	proxivitoid	34
275	BigCronkin	34
275	Soul_Atreus	34
282	ColeSnyder	33
282	ShedJr_	33
282	arcanemagic	33
282	HolyVenom	33
282	AuroraSkies	33
282	_ritter	33
282	MeetTheWollo	33
289	TheDumbHuman	32
289	Cocoamallows	32
291	groggregg42	31
291	Meepcraft	31
291	Lutres_Torane	31
291	Steven1282598	31
291	silverpopcorn	31
296	I_Am_Mushkin	30
296	SuperPooch06	30
296	Kowcio_	30
296	djancak	30
300	Mewar	29
