rank	username	minecraft:mined/minecraft:emerald_ore
147	MinttyFressh	13
147	ROY4LE	13
147	Orcus113	13
147	SlinkyPinky	13
147	Bloo2406	13
147	brofrickcheaters	13
147	Erased_Identity	13
155	CollinMH06	12
155	_Boipl_	12
155	SwooshBoi	12
155	Dusk_95	12
155	TheRealHi	12
155	kinas45y5	12
161	seanitoo	11
161	Tobinator_007	11
161	Jackster03	11
161	Blackberry1310	11
161	SuperPooch06	11
161	Kouridragon	11
161	Choco_Spy	11
161	Russiancat1	11
161	Freak_Genius	11
161	WyngGoy	11
161	pixelviolin	11
161	Miko_Fullbuster	11
173	boog4loo	10
173	PeteO1995	10
173	Arceus1975	10
173	King_Pancake1	10
173	Corbsman	10
173	Vetral1	10
173	Xovalt_	10
173	Rainaldus	10
173	YoshikageBites	10
182	chlorinex	9
182	picardred	9
182	FalconOW	9
182	MyNameIsJobo	9
182	Bumpy419	9
182	fred870d	9
182	TeenMomTom	9
182	TJawesome09	9
182	RodSerlingCringe	9
182	ogoa	9
182	NomadicRobin_	9
182	wobn	9
182	EfficientC52	9
182	TheTommyGun63	9
182	Chaotic1s	9
182	07shiny	9
182	AssFullaCum	9
199	2xil2	8
199	_Razar	8
199	MOSS000	8
199	MSK__	8
199	12Magner05	8
199	surfinggiraffejp	8
199	gcaisawesome	8
199	willowcherrytree	8
199	Sagaram	8
199	burbankbuilder28	8
199	Rebytre	8
199	DarlaMeow	8
199	Nagasaki_Riku	8
199	krutas2000	8
199	laron58	8
199	QueenOfDirt	8
215	The_Thund	7
215	fanofbands101	7
215	_stets	7
215	Drlzyy	7
215	bigstankyy	7
215	BlancoFlaco	7
215	AlazelTheReal	7
215	rarrq	7
215	Tjhodskins19	7
215	nitram49b	7
215	sammidk	7
215	Nycteus_	7
215	ayamefag	7
228	JEWISHBadenBeele	6
228	hollowww	6
228	Merv__	6
228	teslawolf38	6
228	Healthing	6
228	DepressedCubic	6
228	Begformurrcy	6
228	openatheclose	6
228	PhantomBionic	6
228	Stynxy	6
228	Kamflame10	6
228	MindyDooWho	6
228	CrookedKaptain	6
228	intropass	6
228	ayqq	6
228	Noah_Bez	6
228	Kubelz	6
228	fallingemma	6
228	loveseeker	6
228	tobinwilliams	6
228	_Cloverbelle_	6
228	jewbacaman	6
228	KeruNatsema	6
228	Austinizzle	6
228	BigCronkin	6
228	Quaintster	6
228	501g	6
228	El_Jalapeno	6
228	ThatMan_Dave	6
228	iGotUrHost	6
228	Barlycorn	6
228	geekbird	6
228	stavgod	6
228	Jij0	6
228	Shin69	6
228	__tomato	6
228	little_dUki	6
228	Legendosh	6
266	MunkaKris	5
266	maliraspberry	5
266	Reamdin	5
266	Meme25327	5
266	ratglock	5
266	Leksanda	5
266	mwrty	5
266	Mewar	5
266	JMK208	5
266	M_Patata	5
266	faulder	5
266	andy_rex	5
266	SpaggeDR	5
266	aec9	5
266	Warlord324	5
266	MasterNueve	5
266	IvarEXE	5
266	stahouo	5
284	abramgray	4
284	Lukeee33	4
284	Chroikey	4
284	fr0stss	4
284	Boboczus	4
284	Cortexia	4
284	Megarboh	4
284	DermeinUser	4
284	ImDisconnected_	4
284	__Fanda__	4
284	LunarRedPanda	4
284	Rocco_Lane	4
284	The_Fulgurator	4
284	BronkerBrum	4
284	Roosje69	4
284	Onennon	4
284	BRRRN179	4
