rank	username	minecraft:mined/minecraft:acacia_leaves
96	SpacesickPrism	209
97	Winklepicker279	208
98	jspwn	207
98	shadowthemonkey	207
100	joethahobo	203
101	FreeMoCo2009	201
102	Kowcio_	195
103	Zaridey	192
104	tartanboy	188
105	cutelilreno	186
105	jnp_gaming	186
107	Kamflame	184
108	Lord_Jord	183
109	Vanni9	178
109	TheWickedBird	178
111	xX_Stalin69_Xx	176
112	fkGrim	174
113	MattieHD	169
114	Legendosh	164
115	Swexti	163
116	HellsSponge	153
117	QuesoCrusaderIII	151
118	Literally_Rat	147
119	Kyrum2169	144
120	Jimb0nat0r	143
121	Seindi	137
122	ThePoliteG	133
123	FelixPSY375	132
124	thewindmillman	130
124	MelodyGaysharks	130
126	PortlyPete69	129
127	SaucyDark	127
127	Hyp3rion_	127
129	Arceus1975	125
130	Frozil20	124
130	Malorn_Aetherius	124
132	Barlycorn	120
133	Soplight	117
133	smogfrogg	117
135	potatocan	116
136	Studio4x32	115
137	LeeMcGee30	112
138	jewbacaman	111
139	Kattma	109
140	PaperCanvas	108
141	TheSecondLord	106
142	DemTechAlpha	105
143	fw3xy	104
144	_Karmaa	103
145	Vellu21	102
146	Onennon	101
147	Kim_Jong_eel	99
148	Alexanderjac	98
148	Zythose	98
150	SammiWolfGirl	97
150	MisfitsMike	97
152	legal_tax_evader	96
153	himak1	94
153	Powowowow	94
155	Aavermu	92
156	SuperPooch06	91
156	Lutres_	91
156	Quaintster	91
156	Drawgirl	91
160	spaece	88
161	shineh10	87
162	_stets	85
162	MilleGrug	85
164	U_Mos_	83
164	audiocracked	83
164	Quotary	83
167	Rich_Kat	82
167	Skylord_Luke	82
169	TheThomas69	79
169	Nicserso	79
171	__tomato	78
171	erkada	78
173	m_be9	76
174	Dblikstad	74
174	KlausVonStiglitz	74
174	Groundler	74
174	starbits140	74
178	calamariclam_I	71
179	OfficerAnvil	70
179	KamFurnace	70
181	Jackattack53	69
182	peach0s	68
183	TinMaster	67
183	_beep_boop	67
183	Skippeh	67
186	AnnieBathory	66
187	ConnorDanky_	65
188	Creativebuilder2	64
189	JasmineGK	62
190	BigBootyHudge	61
190	craaaash	61
192	DSYisDizzy	59
192	mountaingirl311	59
194	Kubeusz2010	58
195	BlueZabu	57
195	Doom_melon	57
195	DietSoda1	57
195	theofiel	57
199	CLG_Kata	55
199	DeeDeeThonk	55
199	thgrocks	55
202	mihimihimihi	54
203	Pelbo	52
203	DarlaMeow	52
203	Fuad_R	52
203	taengoos	52
207	Prodiginus	51
208	laron58	49
209	Rani_R	47
209	oscminus	47
211	slkiey	45
212	xxPipperDipperxx	44
213	Huwulling	43
213	TylerDupree	43
213	ProfessorDiaper	43
213	bitsplease	43
213	JayToe	43
218	powercas_gamer	42
218	cedric72	42
220	Cowison	41
220	SellyZ	41
220	Ajax6	41
223	dudcreeper	40
223	ECstardust	40
223	eviltunix	40
223	epiksk8erduck	40
227	Zxhir	39
227	Cryptacity	39
227	bananowySigma	39
227	SvenskaHugo	39
231	dimondking777	38
231	Myrosia	38
231	_MeowMix	38
231	_Mythic____	38
235	ShedJr_	37
235	IncoherentTaylor	37
235	CoryJJ	37
238	abdomera	36
238	dopplexd	36
238	_flud	36
238	robonya_	36
242	JESS_THE_RERE	35
242	Schlitzman	35
244	EMC_	34
244	Hanselhoof	34
244	csendeslol	34
244	DennyKai	34
248	KingFaenor	33
248	TastyPorkchop	33
248	Auseawesome	33
248	AspenLightVT	33
252	Secret_Canary	32
252	IlkeCookes_	32
254	kars0n	31
254	Toowny	31
254	es0th	31
257	Saucepeh	30
257	Ecplosive	30
257	Tyrannosplart	30
257	Bairhug	30
261	AuroraValkyrie	29
261	DabKeepaBlicky	29
261	MAns_44	29
261	MS_Pryxx	29
261	Chayula	29
266	Lukeee33	28
266	CoffeeNoir	28
266	Galactic_Badger	28
266	Fuhrer_Teemo	28
270	FishyBoy3811	27
270	NomadicRobin_	27
270	WyngGoy	27
270	MakeHistory157	27
270	stellarjay	27
270	Slapface522	27
276	xXTheWolfmanXx	26
276	Rorrofighter	26
276	gamerlord1324	26
276	ItsAki_	26
276	KartivGal	26
276	Inbefour	26
282	Krimys	25
282	abramgray	25
282	foxncat	25
282	yyatsuta	25
286	planc_	24
286	TheDankPlatypus	24
286	B3nzito	24
289	thescout7	23
289	TableTim	23
289	ooga47	23
289	claivin	23
289	00000000-0000-0000-0009-01fc3bb26159	23
294	_Huge_Male_	22
294	JureJurko	22
296	cheerytomato	21
296	lordsaladito	21
296	wrinkledpiglet	21
296	Paul_Katan	21
296	TheALV	21
