rank	username	minecraft:mined/minecraft:polished_diorite
118	dongli	62
118	xxPipperDipperxx	62
118	jedi_george	62
118	audiocracked	62
118	PortlyPete69	62
124	Groundler	58
124	Toriankel	58
124	ProbsNotNova	58
127	seanitoo	54
127	ougstur	54
127	Deerfoot	54
130	Werbe	53
131	Tjhodskins19	52
132	SkateboardR6	51
133	JETrotter	48
134	Arceus1975	47
135	Matorz	46
136	FreakGenius	45
136	TheEnderMan548	45
138	Smashic	44
139	CrateOfBoxes	43
140	Ajax6	42
141	BilboBaggins23	41
141	Snowflowe	41
141	Enderxz3	41
144	SyK7	39
145	HAIRYCLOUD626	38
146	Bandito_Roamer	37
146	EcksD	37
148	jushykins	36
148	stavgod	36
150	sufjanlover	34
151	Groovy_MoonBird	31
151	DSYisDizzy	31
151	Njensen7	31
154	_Boipl_	30
154	Jaka_Saurus_715	30
154	layabout100	30
154	fffMike	30
158	Skylord_Luke	28
158	ItsAki_	28
160	H72l9w	27
160	Manaateee	27
160	djancak	27
160	brofrickcheaters	27
164	q_wq	26
164	Jackster03	26
164	Shychelsoo	26
164	SSytex_X	26
168	r123moore	25
168	SpacesickPrism	25
170	skrongus	24
171	MangoSalad316	23
171	LordSpeed37	23
171	BlankityMcBlank	23
174	SoftSix	22
174	Kowcio_	22
176	Purplehere	21
176	Elastiq	21
178	CLG_Kata	20
178	drunkeeez	20
178	ReflexCode	20
181	olliebollie48	19
181	theofiel	19
183	Mr_Byzantine	18
183	Cortexia	18
185	RobotMinion101	17
185	Shiirazu	17
185	Nekomin0	17
185	Dogcorn69420	17
189	MineMaster0012	16
190	CoffeeNoir	15
190	MyNameIsJobo	15
190	Haadrada	15
193	slkiey	14
193	lorpus	14
193	legal_tax_evader	14
193	groofles	14
193	IamCL4SSY	14
193	Warlord324	14
199	eviltunix	13
199	theonlymagikarp	13
199	Freeman666	13
199	RefluxRatio	13
199	Tyrannosplart	13
199	DemTechAlpha	13
199	Sheldor097	13
199	jnp_gaming	13
207	Jovaphobic	12
207	MoistMicrowave	12
207	titanlax	12
207	500am	12
207	set67	12
207	pappaberg	12
207	Strangemonkey71	12
207	Dreamdbr14	12
215	oscminus	11
215	selectrix	11
215	GooseWithin	11
215	claivin	11
215	Racengan	11
220	hayybails	10
220	parodypatient	10
220	shrimp_flips	10
220	YungMaki	10
220	TechnoNinja64	10
225	Bruh77	9
225	mariominejedi	9
225	CaptainDeadBread	9
225	Eraxa	9
225	Jij0	9
225	UCP_TheKingK	9
225	AltnumberF4	9
225	Jimb0nat0r	9
225	Sral7	9
234	wiqor	8
234	NotMeanttoChange	8
234	AlphaWolfPlaysMC	8
234	CuzIm2Kev	8
234	Seashimi	8
234	IdeallyGrey	8
234	Vellu21	8
241	Tolhart	7
241	Alteriity	7
241	Myszoaz	7
241	Mattesco	7
241	Spacewardharpy7	7
246	Historical_Sand	6
246	ratglock	6
246	Kamflame10	6
246	Xalithia	6
246	platinumzero	6
246	Jonafrog99	6
246	dendydoom	6
246	Tergandius	6
246	avalan64	6
246	al626win52	6
256	SaucyDark	5
256	SquadMonster	5
256	Motsaro	5
256	Mookle96	5
256	PegLegPete93	5
256	Di_infiri	5
256	thewindmillman	5
256	NarwhalTaco	5
256	Rasmanden	5
256	NameGenerat0r	5
256	Shin69	5
267	ryan521	4
267	jessewegottacook	4
267	XHectorSalamanca	4
267	Crowman1	4
267	Auseawesome	4
267	_Nuf	4
267	420BreadLizard	4
267	FlashMigma	4
267	Nycteus_	4
267	carbo_bro	4
267	__tomato	4
278	heysushii	3
278	jpoxman	3
278	Arteriana	3
278	bloodbiter	3
278	Kkanot	3
278	thescout7	3
278	Hiryu27	3
278	The11thDoctor	3
278	dnlksl	3
278	halfwayup	3
278	valkam13	3
278	KlausVonStiglitz	3
278	LexMakesHistory	3
278	Barlycorn	3
278	markaus77	3
278	sadvavilloso	3
278	Kyrum2169	3
278	CLUBN2	3
278	xof_on_microwave	3
278	Hermanni__	3
298	TildaAndrea	2
298	I_Am_Mushkin	2
298	diamondgolem35	2
