rank	username	minecraft:mined/minecraft:blue_ice
116	burbankbuilder28	25
116	XxCookiequeenxX	25
119	Kkanot	24
120	MikeIsSalty	23
121	Groovy_MoonBird	22
121	Akoot_	22
123	Blu3beast	21
124	ssleepless	20
124	himak1	20
124	Steven1282598	20
127	BlancoFlaco	19
127	MousePlays	19
127	Smiguli_	19
127	MakeHistory157	19
131	Spacewardharpy7	18
131	kinas45y5	18
133	Myszoaz	17
133	Snowflowe	17
135	JESS_THE_RERE	15
136	chipklip	14
136	Ze_BaronKrigler	14
138	Racengan	13
138	SkateboardR6	13
140	Powowowow	12
140	JayToe	12
142	ShedJr_	11
143	set67	10
143	Jimi7hits	10
143	Yogscast_Manden	10
146	Drlzyy	9
146	eviltunix	9
146	_Bguette_	9
146	zmpeg	9
150	Cowison	8
150	tuckerdoodle	8
150	T045RTY	8
150	Scathra	8
150	Arceus1975	8
150	_8man	8
150	GravitySaint	8
150	Nicserso	8
158	dartwaffle	7
158	Lord_Zacler	7
158	proxivitoid	7
158	censorsheep	7
162	CruncyIsTaken	6
162	voiding_	6
164	gaziter10	5
164	Vizzoid	5
164	Austine6698	5
164	Lord_Jord	5
164	Sheldor097	5
169	peachfuzz1267	4
169	ZoeyBrookesPCA2k	4
169	SullyhS	4
169	ApophisNova	4
169	NomadicRobin_	4
169	SingedBread	4
169	Vorlice	4
169	KG1999	4
169	Rainaldus	4
169	MyNamaSheff	4
169	EcksDofficial	4
180	ewsophie	3
180	LionelHutzESQ	3
180	MSK__	3
180	301851	3
180	Stynxy	3
180	Cryptacity	3
180	mariominejedi	3
180	loveseeker	3
180	Rumpletaezer	3
180	DTwenty	3
180	Xclax101	3
180	carbo_bro	3
180	anbbang	3
180	oxfordschool	3
194	Elprone266	2
194	bigstankyy	2
194	SidorAlex	2
194	awesomeoneme	2
194	pr33tu	2
194	_Dean_123	2
194	Anhedonist	2
194	RobotMinion101	2
194	Mattesco	2
194	Drewen24	2
194	HolyVenom	2
194	Rasmanden	2
194	KliBeast21	2
194	stavgod	2
194	KingMatthew506	2
194	smogfrog	2
194	HesDemonPants	2
211	rats_life	1
211	strongman951753	1
211	jspwn	1
211	IronArshXS	1
211	Isaac70096	1
211	RebelAndroid	1
211	_Frepp_	1
211	PhantomBionic	1
211	Whiterooster001	1
211	Shadoko_	1
211	Ardennes	1
211	Megarboh	1
211	Robby_Cream	1
211	intropass	1
211	Avrelion	1
211	BlueZabu	1
211	Winklepicker279	1
211	dj1121	1
211	Jackattack53	1
211	whoaluv	1
211	Rocco_Lane	1
211	Voxin2K	1
211	Zenoia	1
211	The11thDoctor	1
211	JWiseheart	1
211	PigDab	1
211	Oragious	1
211	TTNG	1
211	Inbefour	1
211	EveryonesUncle	1
211	WarpRanger	1
211	Jiminie	1
211	E775	1
211	EfficientC52	1
211	El_Jalapeno	1
211	_ritter	1
211	DeGodz4life	1
211	DolphinLaugh	1
211	OG_Songsee	1
211	longbowx29	1
211	Chayula	1
211	__tomato	1
211	Poppy235	1
211	ProbsNotNova	1
211	little_dUki	1
211	Zoeyfortnite	1
211	nicktx73	1
211	trexgb	1
211	MelodyGaysharks	1
211	Wanjibon	1
211	Faart	1
