rank	username	minecraft:mined/minecraft:potatoes
147	TheOnlyRake	288
148	Malorn_Aetherius	287
149	yulgur1	285
149	lcvezra	285
151	Smiguli_	284
152	peach0s	279
153	LeauVox4921	277
154	ItsAki_	276
155	Tiktola01	273
156	AngalexikCZ	271
157	FlashMigma	269
158	BuildTheGondola	267
159	6king6colt6	266
160	Zoeyfortnite	258
161	Saucepeh	256
162	TheSeismicDuck	249
163	Vorlice	248
163	Hermanni__	248
165	drunkeeez	247
166	Elastiq	245
167	00000000-0000-0000-0009-01ff0c3e5e4f	242
168	_Karmaa	240
169	Mariopreeet	239
170	Njensen7	237
170	EcksD	237
172	33sudo	236
172	Dreamdbr14	236
174	Onennon	235
174	starbits140	235
174	HAruSAme14	235
177	Reneedium	232
178	ApophisNova	230
178	MyNamaSheff	230
180	PartyPhoenix	229
181	Cocoamallows	226
182	_Cloverbelle_	225
183	MustaLoordi	224
184	Lutres_	223
185	MonitorLizards	219
186	WYFYoyo	217
187	Zaridey	216
187	Legendosh	216
189	TheALV	215
190	_TCARREIRA_	212
191	TheSecondLord	210
192	Typadopoulos	209
192	stellarjay	209
194	rotten_mango	206
195	Windo_licker	205
196	Tyrannosplart	203
197	Barlycorn	202
197	ReyTheLegend	202
199	pixelviolin	200
200	Dogcorn69420	199
201	Huwulling	195
202	BodaciousCake	194
203	Bobby808	189
204	Azmodan_246	188
205	Druid95	187
206	nonarso	186
207	emrekn	181
208	_Virify_	180
209	titanlax	178
210	sp00ky_ghost977	177
211	Alteriity	176
211	_Nuf	176
213	XboxPanda	171
213	Nyxiom_	171
213	Vicemaniac	171
213	PlasticOtari	171
217	KlausVonStiglitz	170
218	jacxhadow	169
218	cichy096	169
220	500am	168
220	Russiancat1	168
222	StylesK	166
223	Hiryu27	161
223	Jij0	161
225	pumpfonzo	160
225	TheWildMateo	160
225	BreadBacon	160
228	Arceus1975	158
228	drumine	158
230	toj__	156
231	sufjanlover	154
232	Maenara	153
233	TheThomas69	151
234	The_Cruncy	149
234	RedcatVII	149
236	Drawgirl	146
237	Felenov	144
238	Razzgriz	142
239	Professor_x8	140
240	Smaldo	139
240	JayToe	139
242	Yahrto	138
243	Rasaq	136
243	EveryonesUncle	136
245	Lumien_	134
246	xxPipperDipperxx	133
246	ImDisconnected_	133
246	mountaingirl311	133
249	Incinere	132
250	Dan_Scha	131
251	StinkyDiplomat	130
252	Ailmast	126
252	TAKrules	126
252	Kouridragon	126
252	Quaintster	126
252	Zetsey	126
257	Reamdin	125
257	smarticuno	125
257	OG_Songsee	125
257	xolstoi	125
261	firesgal3116	122
261	FGamerJ	122
263	CLG_Kata	121
264	bearlystraight	120
264	ediballbearings	120
264	CoryJJ	120
267	HoltGrim	118
267	ComplexSquirrel	118
267	FishisTTV	118
270	ECstardust	117
270	BiggieDawg	117
272	TiborSterle	116
272	Powowowow	116
274	Sleek_Storm_721	115
274	weabis	115
276	zToasty69z	114
276	bloomkieren	114
278	CaptainDeadBread	112
279	Jalvajar	110
279	Cowison	110
281	robotemo	109
282	diamondgolem35	108
282	ehunt54	108
282	Purplehere	108
282	MineMaster0012	108
286	Pickel_Lord	107
287	Ev0luti0nz	106
287	Valoth	106
287	Frxnkz	106
287	Toriankel	106
291	victorLIE	103
291	DanTheBuilderino	103
291	Vellu21	103
294	skrongus	102
295	ItsColin11	101
296	jushykins	100
297	fallingemma	99
297	MustardDrinker	99
297	KeruNatsema	99
297	_Bguette_	99
