rank	username	minecraft:mined/minecraft:blue_shulker_box
201	HolyVenom	8
201	Agent108	8
201	_Dri_	8
209	Sky_light_KING	7
209	KnightmareD	7
209	Miko_Fullbuster	7
209	FelixPSY375	7
213	Mahoose	6
213	shyshyannne	6
213	UncreativeArtist	6
213	SellyZ	6
213	King_Pancake1	6
213	Truckoss	6
213	Leyna3	6
213	Nycteus_	6
213	IdeallyGrey	6
213	88Hazza88	6
213	Eczbek	6
213	Smoke____	6
225	IWorkAtIkea	5
225	MangoTheFish	5
225	DTwenty	5
225	Racengan	5
225	Dogcorn69420	5
230	Octatrack	4
230	WET_WET_WET	4
230	Queen_Jalapeno	4
230	Arceus1975	4
230	k1ngGilgamesh	4
230	anbbang	4
236	itburb	3
236	fr0stss	3
236	Nach0Bear	3
236	ROY4LE	3
236	nitram49b	3
236	pappaberg	3
236	TheCordicus	3
236	_Bguette_	3
236	KSI	3
236	K_a__a_n	3
236	JayToe	3
247	Groovy_MoonBird	2
247	Wooptey	2
247	livingdaydreams	2
247	Huwulling	2
247	Sparky_KT	2
247	Nostrom	2
247	Tjhodskins19	2
247	DominusBeryl	2
247	fw3xywashere	2
247	SexcMf	2
247	KG1999	2
247	microcrisp	2
247	The_SlideV5	2
260	Bandito_Roamer	1
260	Sleek_Storm_721	1
260	ExtraDumb	1
260	TooManyDuck	1
260	NatrixxddxYT	1
260	ShedJr_	1
260	nocturne78	1
260	Malorn_Aetherius	1
260	NotMeanttoChange	1
260	LotusProject	1
260	M_Patata	1
260	CollinMH06	1
260	xambsam	1
260	ooga47	1
260	CruncyIsTaken	1
260	sxc_	1
260	Maenara	1
260	MyNameIsDakar	1
260	Typadopoulos	1
260	Dusk_95	1
260	TheTommyGun63	1
260	MasterNueve	1
260	moolerbooler	1
260	Cocoamallows	1
260	voiding_	1
260	sadvavilloso	1
260	Kowcio_	1
260	UCP_TheKingK	1
260	stahouo	1
260	J03K	1
260	Sheldor097	1
260	striker90333	1
260	ZoomieZoomie	1
260	Sral7	1
260	YoshikageBites	1
260	EcksDofficial	1
