rank	username	minecraft:mined/minecraft:lectern
190	Dusk_95	7
190	anbbang	7
190	EcksD	7
190	Enderslayerxz3	7
200	Swexti	6
200	m_be9	6
200	UncreativeArtist	6
200	Lord_Zacler	6
200	ediballbearings	6
200	SammiWolfGirl	6
200	Dogcorn69420	6
200	cichy096	6
200	Nicserso	6
209	teslawolf38	5
209	KingFaenor	5
209	arcanemagic	5
209	whoaluv	5
209	Skylord_Luke	5
209	Kim_Jong_eel	5
209	audiocracked	5
209	UCP_TheKingK	5
209	stahouo	5
209	Vellu21	5
209	Powowowow	5
220	Isaac70096	4
220	SirDoctorAllonsy	4
220	Megarboh	4
220	xXxSebastianLxXx	4
220	Smokydv	4
220	BlueZabu	4
220	SuperPooch06	4
220	HesDemonPants	4
228	fr0stss	3
228	Telerobocop	3
228	Euclidoris	3
228	titanlax	3
228	Windo_licker	3
228	AnnieBathory	3
228	Akoot_	3
228	XxCookiequeenxX	3
228	_Bguette_	3
228	DemTechAlpha	3
228	MyNameIsDakar	3
228	Eczbek	3
228	MissCeleste7	3
241	prodby_Lyka	2
241	Jovaphobic	2
241	Qennny	2
241	RoskobiOne	2
241	bigstankyy	2
241	KomputerDude	2
241	Huwulling	2
241	Ssor69	2
241	CliffEmAll	2
241	bloodbiter	2
241	12Magner05	2
241	Enigma0251	2
241	Scattman_	2
241	dante_francesco	2
241	Tmb1	2
241	Mewar	2
241	2Stout	2
241	SHAOBADMAN	2
241	M_Patata	2
241	0nly_sn1per	2
241	GreedyFern8581	2
241	_8man	2
241	kars0n	2
241	Rebytre	2
241	Drewen24	2
241	wezzzi	2
241	NomadicRobin_	2
241	Gryglu583	2
241	MinuteMira	2
241	ChocolatePepsi	2
241	godipose	2
241	Quaintster	2
241	MAns_44	2
241	MustaLoordi	2
241	NotMeowMix	2
241	CSG_Haru	2
241	stavgod	2
241	Eraxa	2
241	Kijiki	2
241	lcvezra	2
241	MilleGrug	2
241	Mr_Teddiursa_K	2
241	FelixPSY375	2
241	Lowjinx	2
241	Zoeyfortnite	2
241	Calbo_	2
241	00000000-0000-0000-0009-01ff0c3e5e4f	2
288	Thaumatarge	1
288	heysushii	1
288	PhantomsGhost_	1
288	fanofbands101	1
288	Paint	1
288	Sleek_Storm_721	1
288	KarlKaek	1
288	CompAir	1
288	Wooptey	1
288	Jahara	1
288	SailiXX	1
288	AlazelTheReal	1
288	MSK__	1
