rank	username	minecraft:mined/minecraft:short_grass
144	ee_echo_oo	240
145	lunkuku	235
146	Niklas20114552	214
147	Aakvaa	212
148	gamerlord1324	211
149	falcon244	201
150	bl1ss0	197
151	yulgur1	196
152	LovableFemboy	188
152	LugusMcGrugus	188
154	robertsnose	187
155	Colmer94	185
156	Felenov	180
157	TheDiamondCG	176
158	DJzombiehunter	175
159	Eczbek	171
160	shadowthemonkey	159
161	That_tech_head	154
162	Kamflame	153
162	BTL_craft	153
164	Kyrum2169	148
165	creatineshakes	135
166	00000000-0000-0000-0009-01fe065167f0	123
167	hm947	122
168	RatatJuice	120
169	Kronos42	119
170	BronkerBrum	115
171	CalvinCandie17	114
172	H0UNDFRMH3LL	111
172	Athenaeaen	111
174	Zee_zey	110
175	mipTheQueen	107
175	Spankathor	107
175	little_dUki	107
178	Eeppari	105
179	MinttyFressh	104
180	Crizma_	102
181	gren_ben	100
181	andy_rex	100
183	crying_wolf_13	97
184	_Mythic____	96
185	NatrixxddxYT	88
186	nagyvad	78
187	technic_squirrel	77
188	infiniteQuery	76
189	GildedRemnant	73
190	KamFurnace	67
191	ZeroAbyssTTV	63
191	Penguinllama517	63
193	MrQuanQuan	60
194	Samificator	59
195	ElectricDragon81	56
196	Captain_Nasty	54
196	Paul_Katan	54
198	steppe_nomad	51
199	Lazy_geniusig	48
200	lizardfightclub	47
201	DisgruntledKoala	45
202	out1s	44
203	_Duckery	42
203	GustavoMS_64	42
205	Kekoo	40
205	Corkchef	40
207	kaiwill0w	39
208	YATO202010	34
209	McCakeAh	33
209	Mekae	33
211	Hetti301	27
211	0xharshv	27
213	TipDuy3010	24
213	Mobstr	24
215	ItzClutch_	22
216	nev_s	21
217	Gelberkodo	18
218	podduszenie	16
219	BungalowBeet	15
220	TheRomanNoodles1	14
221	Pandarus_	13
221	TheRealAndrin	13
223	Zehrforce1	12
223	skonos	12
225	00000000-0000-0000-0009-01f9ef10a9a2	11
226	MoonWatcher19	10
226	BobDeBouwer1337	10
226	_LooneX_	10
229	Minimize501	9
229	net_flex	9
229	SkullxKandyz	9
229	CannedSam	9
229	sammidk	9
234	Pistol_Hydra	8
234	Doriok0817	8
234	mafiKiwi	8
237	Emp_Saltshaker	7
237	AdmiralMoszi	7
239	foxyrouxYT	6
239	Hail_the_wombat	6
239	ArshKetchup04	6
239	Zeradox	6
239	ZeroKraken	6
244	SteadyFeather77	5
244	MrZeroSkill	5
246	AgentDeception	4
246	Lumien_	4
246	Gregory_Hause	4
246	Fireworks	4
246	TriflingToad	4
251	doxicusmaximus	3
251	JSiscool123	3
253	Clown_Shuay12	2
253	Zeezap	2
253	VittoValenttino	2
256	Poliitikko	1
256	Dalcose	1
256	NutellaPenguinz	1
256	Apexaman	1
256	acatter	1
256	SirSpace	1
256	iWillEatUrPizza	1
256	Loky_0819	1
256	Mad_Magic	1
256	ChampBoii	1
256	NerfWarrior784	1
256	PlsUpdateGeyser	1
256	00000000-0000-0000-0009-01fd1edc022d	1
256	00000000-0000-0000-0009-000000798ad6	1
