rank	username	minecraft:mined/minecraft:dirt
171	TheKingK_	11583
172	Alteriity	11394
173	SaucyDark	11253
174	diggydog67	11223
175	teslawolf38	11215
176	Quincannon	11191
177	SkateboardR6	11188
178	excelsionprime	10956
179	powercas_gamer	10808
179	Swexti	10808
181	Maenara	10717
182	Cocoamallows	10676
183	SammiWolfGirl	10612
184	Mistruth	10592
185	pretty_pink_reno	10562
186	pixelviolin	10560
187	Gzrdy	10550
188	fragrantmonke444	10476
189	StinkyDiplomat	10451
190	Njensen7	10438
191	groofles	10383
192	Eczbek	10380
193	Saucepeh	10241
194	audiocracked	10225
195	Quotary	10192
196	sp00ky_ghost977	10126
197	_i_ERROR_i_	10116
198	Historical_Sand	9937
199	_Huge_Male_	9904
200	Jimb0nat0r	9854
201	KingEgg1	9749
202	yheece	9739
203	Warlord324	9671
204	XxCookiequeenxX	9596
205	corvidpartyfor6	9574
206	DemTechAlpha	9553
207	NomadicRobin_	9491
208	Shogunite	9454
209	PaperCanvas	9444
210	taengoos	9426
211	Euclidoris	9403
212	H0UNDFRMH3LL	9371
213	Galactic_Badger	9184
214	Bandito_Roamer	9169
215	6king6colt6	9123
216	PortlyPete69	9077
217	MilleGrug	9066
218	TheBiggestFeller	9054
219	WyngGoy	9050
220	Xalithia	9043
221	FishyBoy3811	8977
222	theonlymagikarp	8918
223	Secret_Canary	8768
224	thebaddruid	8685
225	_Mythic____	8639
226	Paintz	8586
227	NieToksikpl	8548
228	eviltunix	8512
229	_8man	8497
230	lorpus	8478
231	SyntheticSurgeon	8462
232	ZeroAbyssTTV	8373
233	WET_WET_WET	8361
234	jcool7	8324
235	ShedJr_	8254
236	AstreaTSS	8240
237	tsitrawhy	8195
238	ogoa	8148
239	catandmoose	8127
240	ConnorDanky_	8119
241	Cache3	8053
242	Pofen	7955
243	NameGenerat0r	7889
244	AspenLightVT	7885
245	M_Patata	7875
246	iSammael	7855
247	Ryan_GEMS	7724
248	CalebDHawk	7708
249	titanlax	7695
250	cog	7617
250	MasterNueve	7617
252	DarlaMeow	7594
253	Smashic	7506
254	BumbleBeever	7389
255	Wooptey	7346
256	Zoeyfortnite	7344
257	Niklas20114552	7295
258	TheSandwhich_	7277
259	Elastiq	7273
260	PlzNoBM	7120
261	Jekyll	7111
262	MAns_44	7058
263	Barlycorn	7047
264	Ssor69	7014
265	XboxPanda	7000
266	Dakar_	6988
267	VentiHilton	6954
268	IamCL4SSY	6912
269	AlphaWolfPlaysMC	6866
270	skroobiez	6849
271	__tomato	6823
272	r123moore	6735
273	Tyrannosplart	6639
274	AuroraValkyrie	6595
275	ECstardust	6478
276	4774	6475
277	Razzgriz	6326
278	SmashingPump	6304
279	crying_wolf_13	6253
280	I_Am_Mushkin	6130
281	Comma__	6113
282	Xclax101	6108
283	firesgal3116	6096
284	Luigipunch989	6084
285	IAmTheWalrus910	6074
286	weabis	6046
287	tuckerdoodle	6041
288	Deodorante	5935
289	TheThomas69	5926
290	AlexxO_o	5890
291	The_slideV3	5874
292	Druid95	5842
293	gamerlord1324	5835
294	robonya_	5807
295	abdomera	5695
296	Covalents	5692
297	blackeemperor	5680
298	TheDankPlatypus	5674
299	Airem_Core	5633
300	Winston_Ingram	5603
