rank	username	minecraft:mined/minecraft:birch_wall_sign
114	Hoshi	15
114	Nicky19	15
114	Ripzch	15
114	Winston_Ingram	15
118	Mr_Byzantine	14
118	SPUDonSTEROIDS	14
118	Stiar	14
118	Hyp3rion_	14
122	Paint	13
122	tsohomie	13
122	mwrty	13
122	EtherealEspresso	13
122	gusstationwerker	13
122	Fizznut909	13
122	Sheldor097	13
129	KarlKaek	12
129	CoffeeNoir	12
129	Awyrlas	12
129	Smussa	12
129	MakeHistory157	12
129	SexcMf	12
135	livingdaydreams	11
135	SteveCraftBlocks	11
135	TheDiamondCG	11
135	TheTrueClipse	11
135	NameGenerat0r	11
135	JoCoLi	11
135	bladeefan2009	11
142	Jovaphobic	10
142	MuffinManzz	10
142	m_be9	10
142	Dragonfest	10
142	KeruNatsema	10
142	BlankityMcBlank	10
148	Cowison	9
148	bloodbiter	9
148	r123moore	9
148	Windo_licker	9
148	ChrisKyleST3	9
148	DarlaMeow	9
148	Optiprimus	9
148	Jordan_R	9
156	Groovy_MoonBird	8
156	Frozil20	8
156	6king6colt6	8
156	T045RTY	8
156	TheMaster972	8
156	heckface	8
156	12Magner05	8
156	Covalents	8
156	SuperPooch06	8
156	AlexStrange	8
156	jillian12345	8
156	Maenara	8
156	MAns_44	8
156	GoofySilly	8
156	LetsDoItLive	8
156	SvenskaHugo	8
156	UCP_TheKingK	8
156	CalebDHawk	8
156	Steelynan	8
156	calamariclam_I	8
176	SugarMyNuggets	7
176	hm947	7
176	rarrq	7
176	MattieHD	7
176	burbankbuilder28	7
176	PigDab	7
176	xKhoshekh	7
176	Elastiq	7
176	binman420	7
176	claivin	7
176	Kowcio_	7
176	__tomato	7
176	brofrickcheaters	7
189	Alteriity	6
189	ProfessorBee	6
189	lorpus	6
189	M_Patata	6
189	rileyrocks29	6
189	Winklepicker279	6
189	AlexxO_o	6
189	ougstur	6
189	dezxalo	6
189	sxc_	6
189	IamCL4SSY	6
189	ReflexCode	6
189	Kura2218	6
189	Mythic1130	6
189	non089	6
189	jcool7	6
189	Nicserso	6
189	HesDemonPants	6
207	NasdaqCrash	5
207	Megarboh	5
207	SoftSix	5
207	Kakolbus	5
207	fr_ser	5
207	MyNameIsJobo	5
207	dendydoom	5
207	F_Uhre	5
207	Drewen24	5
207	Luminad3	5
207	Austinizzle	5
207	LexMakesHistory	5
207	_Karmaa	5
207	Leithz6	5
207	KingMatthew506	5
207	Jimb0nat0r	5
223	diamondgolem35	4
223	Iagoku	4
223	Incinere	4
223	oreee	4
223	Ssor69	4
223	LoboTheLobster	4
223	MinttyFressh	4
223	_Nuf	4
223	Inchef	4
223	surfinggiraffejp	4
223	SHAOBADMAN	4
223	Voxin2K	4
223	HyperCave	4
223	Deathkob	4
223	RoofTyler	4
223	DukBob	4
223	Xclax101	4
223	Hisiste	4
223	MasterNueve	4
223	OfficialDrewie	4
223	33sudo	4
223	ayamefag	4
223	sleepdrifter_	4
223	ediballbearings	4
223	Sral7	4
223	561cool	4
249	Crowvens	3
249	FazeObama69	3
249	Ze1ig	3
249	TooManyDuck	3
249	RatatJuice	3
249	tuckerdoodle	3
249	Ryker	3
249	Swexti	3
249	Cryptacity	3
249	Tjhodskins19	3
249	2Stout	3
249	swag_bro2004	3
249	gabriels543	3
249	Chromary	3
249	wTXop	3
249	Felenov	3
249	Corbsman	3
249	p4lp	3
249	Truckoss	3
249	Lord_Zacler	3
249	JoeSaysBingBong	3
249	ChocolatePepsi	3
249	lillips	3
249	The_slideV3	3
249	Tap2304	3
249	Quincannon	3
249	Racengan	3
249	Fildyr	3
249	Paigefly	3
249	iSammael	3
249	OG_Songsee	3
249	Razzgriz	3
249	stavgod	3
249	rejenita	3
249	SC0RCHEDD	3
249	jaimshae	3
249	c0la_c0ca	3
249	SpicyDuckMan	3
249	SpacesickPrism	3
249	PlzNoBM	3
249	Ir0npack	3
249	Hermanni__	3
249	SirBreadward	3
249	Skippeh	3
249	TitanCrafting	3
249	MirielThePastor	3
249	Zoeyfortnite	3
249	nino_ebks	3
249	Deliriohm	3
298	TheBiggestFeller	2
298	nuk3	2
298	jspwn	2
